geoid,county,region,pop
27001,Aitkin,Northeast,15834
27003,Anoka,Metro suburbs,350253
27005,Becker,West Central,34011
27007,Beltrami,Northwest,46403
27009,Benton,East Central,40129
27011,Big Stone,Southwest,4996
27013,Blue Earth,Southeast,66795
27015,Brown,Southeast,25163
27017,Carlton,Northeast,35633
27019,Carver,Metro suburbs,101949
27021,Cass,East Central,29268
27023,Chippewa,Southwest,11953
27025,Chisago,East Central,55315
27027,Clay,West Central,63446
27029,Clearwater,Northwest,8821
27031,Cook,Northeast,5376
27033,Cottonwood,Southwest,11299
27035,Crow Wing,East Central,64217
27037,Dakota,Metro suburbs,421453
27039,Dodge,Southeast,20669
27041,Douglas,West Central,37513
27043,Faribault,Southeast,13801
27045,Fillmore,Southeast,20949
27047,Freeborn,Southeast,30463
27049,Goodhue,Southeast,46246
27051,Grant,West Central,5935
27053,Hennepin,Hennepin/Ramsey,1245837
27055,Houston,Southeast,18648
27057,Hubbard,Northwest,21019
27059,Isanti,East Central,39430
27061,Itasca,Northeast,45141
27063,Jackson,Southwest,9954
27065,Kanabec,East Central,16089
27067,Kandiyohi,Southwest,42841
27069,Kittson,Northwest,4311
27071,Koochiching,Northeast,12515
27073,Lac Qui Parle,Southwest,6719
27075,Lake,Northeast,10560
27077,Lake Of The Woods,Northwest,3771
27079,Le Sueur,Southeast,28242
27081,Lincoln,Southwest,5677
27083,Lyon,Southwest,25758
27087,Mahnomen,Northwest,5501
27089,Marshall,Northwest,9372
27091,Martin,Southeast,19852
27085,Mcleod,Southwest,35832
27093,Meeker,Southwest,23105
27095,Mille Lacs,East Central,25865
27097,Morrison,East Central,33064
27099,Mower,Southeast,39807
27101,Murray,Southwest,8296
27103,Nicollet,Southeast,33954
27105,Nobles,Southwest,21734
27107,Norman,Northwest,6520
27109,Olmsted,Southeast,154809
27111,Otter Tail,West Central,58195
27113,Pennington,Northwest,14183
27115,Pine,East Central,29223
27117,Pipestone,Southwest,9191
27119,Polk,Northwest,31521
27121,Pope,West Central,11048
27123,Ramsey,Hennepin/Ramsey,544442
27125,Red Lake,Northwest,4015
27127,Redwood,Southwest,15261
27129,Renville,Southwest,14652
27131,Rice,Southeast,66185
27133,Rock,Southwest,9402
27135,Roseau,Northwest,15361
27139,Scott,Metro suburbs,145275
27141,Sherburne,East Central,94463
27143,Sibley,Southeast,14892
27137,St. Louis,Northeast,199759
27145,Stearns,East Central,158452
27147,Steele,Southeast,36683
27149,Stevens,West Central,9789
27151,Swift,Southwest,9359
27153,Todd,East Central,24494
27155,Traverse,West Central,3311
27157,Wabasha,Southeast,21537
27159,Wadena,East Central,13654
27161,Waseca,Southeast,18740
27163,Washington,Metro suburbs,255938
27165,Watonwan,Southeast,10972
27167,Wilkin,West Central,6291
27169,Winona,Southeast,50725
27171,Wright,East Central,134438
27173,Yellow Medicine,Southwest,9814
