SUMLEV,REGION,DIVISION,STATE,NAME,SEX,AGE,ESTBASE2010_CIV,POPEST2010_CIV,POPEST2011_CIV,POPEST2012_CIV,POPEST2013_CIV,POPEST2014_CIV,POPEST2015_CIV,POPEST2016_CIV,POPEST2017_CIV,POPEST2018_CIV,POPEST2019_CIV
040,2,4,27,Minnesota,0,0,69009,69265,68499,68103,68955,69960,69638,69710,69429,67799,67629
040,2,4,27,Minnesota,0,1,69762,69406,69866,68914,68680,69557,70526,70598,70699,70351,68358
040,2,4,27,Minnesota,0,2,72316,72055,69674,70119,69361,69410,70006,71282,71665,71468,70924
040,2,4,27,Minnesota,0,3,72956,72726,72365,69945,70641,69881,70043,70696,72160,72283,71994
040,2,4,27,Minnesota,0,4,71460,71792,72988,72529,70388,70919,70153,70706,71510,72823,72717
040,2,4,27,Minnesota,0,5,71922,71865,71992,73034,72734,70619,71263,70684,71354,72193,73198
040,2,4,27,Minnesota,0,6,72357,72394,72014,71963,73231,73053,70901,71722,71232,71866,72479
040,2,4,27,Minnesota,0,7,70247,70825,72607,72155,72234,73410,73195,71294,72189,71671,72218
040,2,4,27,Minnesota,0,8,69722,69477,70937,72623,72326,72487,73566,73548,71878,72639,72021
040,2,4,27,Minnesota,0,9,71288,70924,69547,71068,72841,72654,72653,73960,73865,72248,72930
040,2,4,27,Minnesota,0,10,71021,71378,71022,69725,71287,73095,72752,72997,74309,74307,72470
040,2,4,27,Minnesota,0,11,70140,70127,71556,71110,69873,71476,73221,73146,73432,74633,74606
040,2,4,27,Minnesota,0,12,69918,70034,70287,71687,71401,70152,71600,73564,73467,73734,74885
040,2,4,27,Minnesota,0,13,70479,70383,70135,70319,71758,71499,70174,71892,73934,73661,73855
040,2,4,27,Minnesota,0,14,70784,70611,70617,70243,70542,71981,71657,70570,72293,74282,73931
040,2,4,27,Minnesota,0,15,72224,71966,70746,70610,70380,70657,72101,72010,70798,72605,74482
040,2,4,27,Minnesota,0,16,73582,73486,72205,70866,70844,70611,70908,72519,72418,71201,72997
040,2,4,27,Minnesota,0,17,74875,74567,73819,72489,71221,71265,70944,71231,72886,72673,71463
040,2,4,27,Minnesota,0,18,74656,74600,73889,73018,71420,70449,70121,69689,69751,71122,70682
040,2,4,27,Minnesota,0,19,72445,73646,76583,75523,74111,73038,71493,71072,70414,70247,71502
040,2,4,27,Minnesota,0,20,72633,72599,72477,75498,74573,73810,72596,71115,70979,70431,70522
040,2,4,27,Minnesota,0,21,70468,70629,72069,71986,75126,74506,73759,72558,71227,71049,70464
040,2,4,27,Minnesota,0,22,70394,70171,70512,72101,71856,75367,74769,74049,72869,71629,71550
040,2,4,27,Minnesota,0,23,69442,69199,68377,68813,70529,70072,73666,73509,72836,71974,70602
040,2,4,27,Minnesota,0,24,71873,71369,69650,68898,69550,71088,70705,74615,74147,73639,72650
040,2,4,27,Minnesota,0,25,74012,73983,71792,70396,69814,70249,71970,71779,75659,74923,74232
040,2,4,27,Minnesota,0,26,72681,72642,74495,72720,71628,70840,71348,73033,73149,76719,75688
040,2,4,27,Minnesota,0,27,74761,74415,73065,75171,73452,72330,71436,72318,74271,74084,77170
040,2,4,27,Minnesota,0,28,75089,75362,74824,73668,75924,74252,73257,72649,73583,75398,75080
040,2,4,27,Minnesota,0,29,75051,74969,75735,75399,74348,76628,75037,74214,73585,74423,76260
040,2,4,27,Minnesota,0,30,74809,75334,75256,76075,75711,74795,77136,75782,75069,74534,74930
040,2,4,27,Minnesota,0,31,69715,70872,75745,75648,76730,76059,75151,77756,76600,75779,75180
040,2,4,27,Minnesota,0,32,68356,68325,71016,76017,76009,76973,76388,75813,78576,77131,76242
040,2,4,27,Minnesota,0,33,64992,66275,68445,71331,76377,76456,77359,76823,76391,79130,77512
040,2,4,27,Minnesota,0,34,64215,63845,66463,68530,71553,76723,76818,77755,77458,76856,79465
040,2,4,27,Minnesota,0,35,64900,65040,63879,66570,68733,71666,76915,76929,78069,77862,77158
040,2,4,27,Minnesota,0,36,61184,61840,65013,63804,66594,68730,71608,76907,77176,78353,77938
040,2,4,27,Minnesota,0,37,62792,62238,61928,65125,63999,66536,68796,71761,77202,77406,78501
040,2,4,27,Minnesota,0,38,66155,65277,62177,61924,65137,63890,66360,68755,71739,77303,77379
040,2,4,27,Minnesota,0,39,72447,71198,65319,62065,62087,65161,63867,66472,68987,71887,77355
040,2,4,27,Minnesota,0,40,72636,72719,71185,65252,62031,61860,65048,63905,66584,69109,71981
040,2,4,27,Minnesota,0,41,69498,69948,72592,70919,65230,61952,61617,64910,63851,66603,69099
040,2,4,27,Minnesota,0,42,68163,68281,69763,72505,70720,65091,61780,61429,64920,63818,66540
040,2,4,27,Minnesota,0,43,69409,69077,68209,69600,72412,70697,64917,61715,61601,65021,63856
040,2,4,27,Minnesota,0,44,72527,71531,69014,68112,69523,72326,70617,64866,61708,61531,64965
040,2,4,27,Minnesota,0,45,77723,76392,71334,68762,67995,69293,72070,70389,64756,61640,61366
040,2,4,27,Minnesota,0,46,79615,79340,76350,71101,68535,67819,69178,71857,70352,64661,61584
040,2,4,27,Minnesota,0,47,81611,81171,79132,76045,70946,68367,67540,68945,71585,70161,64485
040,2,4,27,Minnesota,0,48,82182,81904,81002,78936,75970,70761,68083,67424,68863,71563,69939
040,2,4,27,Minnesota,0,49,84700,84383,81557,80534,78567,75686,70433,67676,67100,68521,71257
040,2,4,27,Minnesota,0,50,85086,84727,84114,81217,80276,78140,75255,70116,67536,66899,68264
040,2,4,27,Minnesota,0,51,80889,81557,84302,83460,80860,79652,77584,74785,69661,67131,66422
040,2,4,27,Minnesota,0,52,81110,80900,81276,83915,82992,80488,79298,77224,74533,69455,66855
040,2,4,27,Minnesota,0,53,78046,79358,80504,80936,83466,82492,80085,78864,76886,74141,69112
040,2,4,27,Minnesota,0,54,76444,76365,79116,80119,80539,83062,82031,79719,78532,76634,73770
040,2,4,27,Minnesota,0,55,75259,75401,76016,78619,79770,80062,82539,81485,79247,78068,76100
040,2,4,27,Minnesota,0,56,71917,72751,74839,75376,78020,79240,79391,81907,80873,78589,77514
040,2,4,27,Minnesota,0,57,70056,70217,72298,74302,74859,77480,78622,78817,81345,80266,77961
