geoid,county_fips,pop,county,region
27001,001,15834,AITKIN,Northeast
27003,003,350253,ANOKA,Metro suburbs
27005,005,34011,BECKER,West Central
27007,007,46403,BELTRAMI,Northwest
27009,009,40129,BENTON,East Central
27011,011,4996,BIG STONE,Southwest
27013,013,66795,BLUE EARTH,Southeast
27015,015,25163,BROWN,Southeast
27017,017,35633,CARLTON,Northeast
27019,019,101949,CARVER,Metro suburbs
27021,021,29268,CASS,East Central
27023,023,11953,CHIPPEWA,Southwest
27025,025,55315,CHISAGO,East Central
27027,027,63446,CLAY,West Central
27029,029,8821,CLEARWATER,Northwest
27031,031,5376,COOK,Northeast
27033,033,11299,COTTONWOOD,Southwest
27035,035,64217,CROW WING,East Central
27037,037,421453,DAKOTA,Metro suburbs
27039,039,20669,DODGE,Southeast
27041,041,37513,DOUGLAS,West Central
27043,043,13801,FARIBAULT,Southeast
27045,045,20949,FILLMORE,Southeast
27047,047,30463,FREEBORN,Southeast
27049,049,46246,GOODHUE,Southeast
27051,051,5935,GRANT,West Central
27053,053,1245837,HENNEPIN,Hennepin/Ramsey
27055,055,18648,HOUSTON,Southeast
27057,057,21019,HUBBARD,Northwest
27059,059,39430,ISANTI,East Central
27061,061,45141,ITASCA,Northeast
27063,063,9954,JACKSON,Southwest
27065,065,16089,KANABEC,East Central
27067,067,42841,KANDIYOHI,Southwest
27069,069,4311,KITTSON,Northwest
27071,071,12515,KOOCHICHING,Northeast
27073,073,6719,LAC QUI PARLE,Southwest
27075,075,10560,LAKE,Northeast
27077,077,3771,LAKE OF THE WOODS,Northwest
27079,079,28242,LE SUEUR,Southeast
27081,081,5677,LINCOLN,Southwest
27083,083,25758,LYON,Southwest
27085,085,35832,MCLEOD,Southwest
27087,087,5501,MAHNOMEN,Northwest
27089,089,9372,MARSHALL,Northwest
27091,091,19852,MARTIN,Southeast
27093,093,23105,MEEKER,Southwest
27095,095,25865,MILLE LACS,East Central
27097,097,33064,MORRISON,East Central
27099,099,39807,MOWER,Southeast
27101,101,8296,MURRAY,Southwest
27103,103,33954,NICOLLET,Southeast
27105,105,21734,NOBLES,Southwest
27107,107,6520,NORMAN,Northwest
27109,109,154809,OLMSTED,Southeast
27111,111,58195,OTTER TAIL,West Central
27113,113,14183,PENNINGTON,Northwest
27115,115,29223,PINE,East Central
27117,117,9191,PIPESTONE,Southwest
27119,119,31521,POLK,Northwest
27121,121,11048,POPE,West Central
27123,123,544442,RAMSEY,Hennepin/Ramsey
27125,125,4015,RED LAKE,Northwest
27127,127,15261,REDWOOD,Southwest
27129,129,14652,RENVILLE,Southwest
27131,131,66185,RICE,Southeast
27133,133,9402,ROCK,Southwest
27135,135,15361,ROSEAU,Northwest
27137,137,199759,ST. LOUIS,Northeast
27139,139,145275,SCOTT,Metro suburbs
27141,141,94463,SHERBURNE,East Central
27143,143,14892,SIBLEY,Southeast
27145,145,158452,STEARNS,East Central
27147,147,36683,STEELE,Southeast
27149,149,9789,STEVENS,West Central
27151,151,9359,SWIFT,Southwest
27153,153,24494,TODD,East Central
27155,155,3311,TRAVERSE,West Central
27157,157,21537,WABASHA,Southeast
27159,159,13654,WADENA,East Central
27161,161,18740,WASECA,Southeast
27163,163,255938,WASHINGTON,Metro suburbs
27165,165,10972,WATONWAN,Southeast
27167,167,6291,WILKIN,West Central
27169,169,50725,WINONA,Southeast
27171,171,134438,WRIGHT,East Central
27173,173,9814,YELLOW MEDICINE,Southwest
