FIPS,county,trump_pct
27001,AITKIN,0.634363912823112
27003,ANOKA,0.5097402755168979
27005,BECKER,0.653702633100331
27007,BELTRAMI,0.516134496485136
27009,BENTON,0.6639276151786538
27011,BIG STONE,0.6388888888888888
27013,BLUE EARTH,0.4771968854282536
27015,BROWN,0.6677385529535128
27017,CARLTON,0.4922821660214189
27019,CARVER,0.5249679699921276
27021,CASS,0.646921278254092
27023,CHIPPEWA,0.6562693020382953
27025,CHISAGO,0.6499021410355258
27027,CLAY,0.4790764331210191
27029,CLEARWATER,0.727979274611399
27031,COOK,0.32522303325223034
27033,COTTONWOOD,0.6942823803967327
27035,CROW WING,0.6516420486269733
27037,DAKOTA,0.42862001696684426
27039,DODGE,0.656128814702411
27041,DOUGLAS,0.6675539781129843
27043,FARIBAULT,0.6722351722351723
27045,FILLMORE,0.6160141748228147
27047,FREEBORN,0.5816481447743973
27049,GOODHUE,0.5762079115514395
27051,GRANT,0.6357523115718688
27053,HENNEPIN,0.27887099307334456
27055,HOUSTON,0.5661929024760883
27057,HUBBARD,0.647662665824384
27059,ISANTI,0.6979135807693936
27061,ITASCA,0.585552353506244
27063,JACKSON,0.693483225013174
27065,KANABEC,0.6935483870967742
27067,KANDIYOHI,0.6310705074966123
27069,KITTSON,0.6057993730407524
27071,KOOCHICHING,0.6083946980854197
27073,LAC QUI PARLE,0.6361348766985405
27075,LAKE,0.48196022727272725
27077,LAKE OF THE WOODS,0.7174736842105263
27079,LE SUEUR,0.6551346750167204
27081,LINCOLN,0.6935905820797907
27083,LYON,0.6326012843891223
27085,MCLEOD,0.6856218442080494
27087,MAHNOMEN,0.5066548358473825
27089,MARSHALL,0.7418261562998405
27091,MARTIN,0.6935558646267965
27093,MEEKER,0.7076213518826554
27095,MILLE LACS,0.6932293117860128
27097,MORRISON,0.7724098394830102
27099,MOWER,0.5297505812724582
27101,MURRAY,0.6988778054862843
27103,NICOLLET,0.4837982832618026
27105,NOBLES,0.6562756357670222
27107,NORMAN,0.5817694369973191
27109,OLMSTED,0.44506239978471235
27111,OTTER TAIL,0.6655853235639577
27113,PENNINGTON,0.6383098591549295
27115,PINE,0.6542902711323764
27117,PIPESTONE,0.7312204157233999
27119,POLK,0.6446027182435965
27121,POPE,0.640702059762112
27123,RAMSEY,0.2677407299755014
27125,RED LAKE,0.6778554778554778
27127,REDWOOD,0.7101895151365986
27129,RENVILLE,0.6865502951149064
27131,RICE,0.5008891183387828
27133,ROCK,0.6972173574625413
27135,ROSEAU,0.7348842845026051
27137,ST. LOUIS,0.4199501375073894
27139,SCOTT,0.5339417077940218
27141,SHERBURNE,0.6672315655681839
27143,SIBLEY,0.7081270377973675
27145,STEARNS,0.615164538013955
27147,STEELE,0.6151752296699557
27149,STEVENS,0.6129681836488119
27151,SWIFT,0.6501960784313725
27153,TODD,0.7479868088043562
27155,TRAVERSE,0.6393889798145117
27157,WABASHA,0.6345240874776247
27159,WADENA,0.7318043218878431
27161,WASECA,0.6545454545454545
27163,WASHINGTON,0.4527370817963653
27165,WATONWAN,0.6096267190569744
27167,WILKIN,0.6940966010733453
27169,WINONA,0.4980045180722892
27171,WRIGHT,0.6464062286233101
27173,YELLOW MEDICINE,0.6886757654002214
