week_start,year,week,cases_boosted,cases_vaxxed,cases_unvaxxed,hosp_boosted,hosp_vaxxed,hosp_unvaxxed,deaths_boosted,deaths_vaxxed,deaths_unvaxxed
2021-05-02,2021,18,0,20.84,299.01,0,1.65,28.47,0,0.3,3.45
2021-05-09,2021,19,0,15.91,222.69,0,1.17,23.52,0,0.15,2.94
2021-05-16,2021,20,0,12.87,167.78,0,1.69,21.39,0,0.1,2.78
2021-05-23,2021,21,0,8.09,97.33,0,0.8,12.77,0,0.05,1.5
2021-05-30,2021,22,0,5.24,65.71,0,0.79,10.01,0,0.12,0.93
2021-06-06,2021,23,0,4.23,48.96,0,0.92,7.57,0,0.02,0.83
2021-06-13,2021,24,0,5.05,36.71,0,1.13,5.61,0,0.07,0.28
2021-06-20,2021,25,0,4.39,30.61,0,0.79,5.97,0,0.07,0.44
2021-06-27,2021,26,0,6.05,31.29,0,0.93,5.24,0,0.02,0.38
2021-07-04,2021,27,0,8.03,41.84,0,0.94,5.58,0,0.02,0.68
2021-07-11,2021,28,0,15.21,68.86,0,1.08,11.6,0,0.07,2.07
2021-07-18,2021,29,0,27.14,110.54,0,1.41,13.81,0,0.11,0.92
2021-07-25,2021,30,0,47.85,176.22,0,1.94,17.25,0,0.35,2.13
2021-08-01,2021,31,0,71.55,247.95,0,2.35,25.36,0,0.23,3.01
2021-08-08,2021,32,0,89.42,316.79,0,3.14,31.68,0,0.55,4.44
2021-08-15,2021,33,0,113.85,399.82,0,3.94,37.56,0,0.65,5.7
2021-08-22,2021,34,0,117.33,412.34,0,4.39,37.27,0,0.93,5.94
2021-08-29,2021,35,0,138.63,479.32,0,4.5,42.31,0,0.66,8.05
2021-09-05,2021,36,0,136.75,495.07,0,4.74,46.83,0,0.8,9.12
2021-09-12,2021,37,0,160.16,539.44,0,5.91,52.7,0,1.19,10.87
2021-09-19,2021,38,0,164.89,573.34,0,5.62,51.3,0,1.2,9.77
2021-09-26,2021,39,0,214.56,703.23,0,7.02,56.18,0,1.36,11.75
2021-10-03,2021,40,0,219.19,737.6,0,6.54,59.04,0,1.43,14.48
2021-10-10,2021,41,0,184.64,639.93,0,5.82,57.41,0,1.55,12.57
2021-10-17,2021,42,0,171.19,579.48,0,5.57,52.67,0,1.65,13.16
2021-10-24,2021,43,0,220.05,696.56,0,7.24,61.96,0,1.86,12.98
2021-10-31,2021,44,0,296.51,899.4,0,8.63,78.72,0,2.02,19.93
2021-11-07,2021,45,0,349.53,1067.12,0,10.41,98.21,0,2.54,24.97
2021-11-14,2021,46,0,360.72,1086.53,0,8.93,104.32,0,1.99,28.33
2021-11-21,2021,47,0,309.14,989.39,0,10.34,108.19,0,2.61,28.64
2021-11-28,2021,48,0,426.23,1314.36,0,10.72,127.21,0,2.22,30.51
2021-12-05,2021,49,0,275.71,977.58,0,7.7,115.41,0,1.57,29.51
2021-12-12,2021,50,0,275.63,871.77,0,6.93,99.55,0,1.17,24.41
2021-12-19,2021,51,0,391.71,788.53,0,6.34,82.41,0,0.94,22.84
2021-12-26,2021,52,0,977.39,1417.19,0,10.85,82.17,0,1.49,20.1
2022-01-02,2022,01,0,1742.74,2366.81,0,19.72,110.38,0,2.72,24.56
2022-01-09,2022,02,0,1613.51,2325.56,0,21.54,101.68,0,3.14,21.87
2022-01-16,2022,03,0,1224.16,1825.64,0,21.35,96.63,0,2.47,17.19
2022-01-23,2022,04,0,725.39,1180.12,0,17.54,89.06,0,2.5,18.28
2022-01-30,2022,05,0,417.48,727.86,0,11.25,60.89,0,1.56,12.75
2022-02-06,2022,06,0,255.52,446.51,0,9.78,39.69,0,1,7.23
2022-02-13,2022,07,0,156.43,254.4,0,5.76,28.36,0,0.64,4
2022-02-20,2022,08,0,92.18,146.35,0,4.68,18.65,0,0.49,1.61
2022-02-27,2022,09,0,69.46,111.1,0,3.82,15.1,0,0.38,1.72
2022-03-06,2022,10,0,52.91,74.05,0,3.14,9.04,0,0.23,1.24
2022-03-13,2022,11,0,49.6,63.3,0,2.83,7.98,0,0.13,0.67
2022-03-20,2022,12,0,56.43,60.63,0,2.82,6.34,0,0.16,0.75
2022-03-27,2022,13,0,59.8,59.91,0,2.41,5.15,0,0.18,0.29
2022-04-03,2022,14,0,76.76,74.94,0,2.61,9.83,0,0.27,0.58
2022-04-10,2022,15,0,118.25,108.21,0,3.36,7.94,0,0.31,0.88
2022-04-17,2022,16,0,159.57,145.75,0,4.92,10.45,0,0.33,0.68
