year,week,week_start,age,metric,vax_status,metric_type,value
2021,18,2021-05-02,18-49,pop,boosted,count,0
2021,18,2021-05-02,18-49,pop,vaxxed,count,663227
2021,18,2021-05-02,18-49,pop,unvaxxed,count,1631590
2021,18,2021-05-02,18-49,cases,boosted,count,0
2021,18,2021-05-02,18-49,cases,boosted,rate,0
2021,18,2021-05-02,18-49,cases,vaxxed,count,144
2021,18,2021-05-02,18-49,cases,vaxxed,rate,21.712023183615866
2021,18,2021-05-02,18-49,cases,unvaxxed,count,3934
2021,18,2021-05-02,18-49,cases,unvaxxed,rate,241.11449567599703
2021,18,2021-05-02,18-49,hosp,boosted,count,0
2021,18,2021-05-02,18-49,hosp,boosted,rate,0
2021,18,2021-05-02,18-49,hosp,vaxxed,count,3
2021,18,2021-05-02,18-49,hosp,vaxxed,rate,0.45233381632533054
2021,18,2021-05-02,18-49,hosp,unvaxxed,count,146
2021,18,2021-05-02,18-49,hosp,unvaxxed,rate,8.94832647907869
2021,18,2021-05-02,18-49,deaths,boosted,count,0
2021,18,2021-05-02,18-49,deaths,boosted,rate,0
2021,18,2021-05-02,18-49,deaths,vaxxed,count,0
2021,18,2021-05-02,18-49,deaths,vaxxed,rate,0
2021,18,2021-05-02,18-49,deaths,unvaxxed,count,7
2021,18,2021-05-02,18-49,deaths,unvaxxed,rate,0.4290293517366495
2021,18,2021-05-02,50-64,pop,boosted,count,0
2021,18,2021-05-02,50-64,pop,vaxxed,count,497817
2021,18,2021-05-02,50-64,pop,unvaxxed,count,616198
2021,18,2021-05-02,50-64,cases,boosted,count,0
2021,18,2021-05-02,50-64,cases,boosted,rate,0
2021,18,2021-05-02,50-64,cases,vaxxed,count,78
2021,18,2021-05-02,50-64,cases,vaxxed,rate,15.668408270509042
2021,18,2021-05-02,50-64,cases,unvaxxed,count,1243
2021,18,2021-05-02,50-64,cases,unvaxxed,rate,201.72087543289655
2021,18,2021-05-02,50-64,hosp,boosted,count,0
2021,18,2021-05-02,50-64,hosp,boosted,rate,0
2021,18,2021-05-02,50-64,hosp,vaxxed,count,5
2021,18,2021-05-02,50-64,hosp,vaxxed,rate,1.0043851455454516
2021,18,2021-05-02,50-64,hosp,unvaxxed,count,119
2021,18,2021-05-02,50-64,hosp,unvaxxed,rate,19.311974397839656
2021,18,2021-05-02,50-64,deaths,boosted,count,0
2021,18,2021-05-02,50-64,deaths,boosted,rate,0
2021,18,2021-05-02,50-64,deaths,vaxxed,count,2
2021,18,2021-05-02,50-64,deaths,vaxxed,rate,0.40175405821818055
2021,18,2021-05-02,50-64,deaths,unvaxxed,count,9
2021,18,2021-05-02,50-64,deaths,unvaxxed,rate,1.4605694922735872
2021,18,2021-05-02,65+,pop,boosted,count,0
2021,18,2021-05-02,65+,pop,vaxxed,count,708716
2021,18,2021-05-02,65+,pop,unvaxxed,count,149982
2021,18,2021-05-02,65+,cases,boosted,count,0
2021,18,2021-05-02,65+,cases,boosted,rate,0
2021,18,2021-05-02,65+,cases,vaxxed,count,148
2021,18,2021-05-02,65+,cases,vaxxed,rate,20.882836002009267
2021,18,2021-05-02,65+,cases,unvaxxed,count,443
2021,18,2021-05-02,65+,cases,unvaxxed,rate,295.3687775866438
2021,18,2021-05-02,65+,hosp,boosted,count,0
2021,18,2021-05-02,65+,hosp,boosted,rate,0
2021,18,2021-05-02,65+,hosp,vaxxed,count,36
2021,18,2021-05-02,65+,hosp,vaxxed,rate,5.079608757245498
2021,18,2021-05-02,65+,hosp,unvaxxed,count,140
2021,18,2021-05-02,65+,hosp,unvaxxed,rate,93.34453467749464
2021,18,2021-05-02,65+,deaths,boosted,count,0
2021,18,2021-05-02,65+,deaths,boosted,rate,0
2021,18,2021-05-02,65+,deaths,vaxxed,count,9
2021,18,2021-05-02,65+,deaths,vaxxed,rate,1.2699021893113744
2021,18,2021-05-02,65+,deaths,unvaxxed,count,22
2021,18,2021-05-02,65+,deaths,unvaxxed,rate,14.668426877892013
2021,19,2021-05-09,18-49,pop,boosted,count,0
2021,19,2021-05-09,18-49,pop,vaxxed,count,772061
2021,19,2021-05-09,18-49,pop,unvaxxed,count,1522756
2021,19,2021-05-09,18-49,cases,boosted,count,0
2021,19,2021-05-09,18-49,cases,boosted,rate,0
2021,19,2021-05-09,18-49,cases,vaxxed,count,119
2021,19,2021-05-09,18-49,cases,vaxxed,rate,15.41328988253519
2021,19,2021-05-09,18-49,cases,unvaxxed,count,2719
2021,19,2021-05-09,18-49,cases,unvaxxed,rate,178.55782541654736
2021,19,2021-05-09,18-49,hosp,boosted,count,0
2021,19,2021-05-09,18-49,hosp,boosted,rate,0
2021,19,2021-05-09,18-49,hosp,vaxxed,count,1
2021,19,2021-05-09,18-49,hosp,vaxxed,rate,0.129523444391052
2021,19,2021-05-09,18-49,hosp,unvaxxed,count,117
