week_start,year,week,age,metric,vax_status,metric_type,value
2021-05-02,2021,18,12-17,pop,vaxxed,count,9069
2021-05-02,2021,18,12-17,pop,unvaxxed,count,424665
2021-05-02,2021,18,12-17,cases,vaxxed,count,0
2021-05-02,2021,18,12-17,cases,vaxxed,rate,0
2021-05-02,2021,18,12-17,cases,unvaxxed,count,0
2021-05-02,2021,18,12-17,cases,unvaxxed,rate,0
2021-05-02,2021,18,12-17,hosp,vaxxed,count,0
2021-05-02,2021,18,12-17,hosp,vaxxed,rate,0
2021-05-02,2021,18,12-17,hosp,unvaxxed,count,0
2021-05-02,2021,18,12-17,hosp,unvaxxed,rate,0
2021-05-09,2021,19,12-17,pop,vaxxed,count,15349
2021-05-09,2021,19,12-17,pop,unvaxxed,count,418385
2021-05-09,2021,19,12-17,cases,vaxxed,count,0
2021-05-09,2021,19,12-17,cases,vaxxed,rate,0
2021-05-09,2021,19,12-17,cases,unvaxxed,count,0
2021-05-09,2021,19,12-17,cases,unvaxxed,rate,0
2021-05-09,2021,19,12-17,hosp,vaxxed,count,0
2021-05-09,2021,19,12-17,hosp,vaxxed,rate,0
2021-05-09,2021,19,12-17,hosp,unvaxxed,count,0
2021-05-09,2021,19,12-17,hosp,unvaxxed,rate,0
2021-05-16,2021,20,12-17,pop,vaxxed,count,23901
2021-05-16,2021,20,12-17,pop,unvaxxed,count,409833
2021-05-16,2021,20,12-17,cases,vaxxed,count,0
2021-05-16,2021,20,12-17,cases,vaxxed,rate,0
2021-05-16,2021,20,12-17,cases,unvaxxed,count,0
2021-05-16,2021,20,12-17,cases,unvaxxed,rate,0
2021-05-16,2021,20,12-17,hosp,vaxxed,count,0
2021-05-16,2021,20,12-17,hosp,vaxxed,rate,0
2021-05-16,2021,20,12-17,hosp,unvaxxed,count,0
2021-05-16,2021,20,12-17,hosp,unvaxxed,rate,0
2021-05-23,2021,21,12-17,pop,vaxxed,count,34553
2021-05-23,2021,21,12-17,pop,unvaxxed,count,399181
2021-05-23,2021,21,12-17,cases,vaxxed,count,0
2021-05-23,2021,21,12-17,cases,vaxxed,rate,0
2021-05-23,2021,21,12-17,cases,unvaxxed,count,0
2021-05-23,2021,21,12-17,cases,unvaxxed,rate,0
2021-05-23,2021,21,12-17,hosp,vaxxed,count,0
2021-05-23,2021,21,12-17,hosp,vaxxed,rate,0
2021-05-23,2021,21,12-17,hosp,unvaxxed,count,0
2021-05-23,2021,21,12-17,hosp,unvaxxed,rate,0
2021-05-30,2021,22,12-17,pop,vaxxed,count,45711
2021-05-30,2021,22,12-17,pop,unvaxxed,count,388023
2021-05-30,2021,22,12-17,cases,vaxxed,count,0
2021-05-30,2021,22,12-17,cases,vaxxed,rate,0
2021-05-30,2021,22,12-17,cases,unvaxxed,count,0
2021-05-30,2021,22,12-17,cases,unvaxxed,rate,0
2021-05-30,2021,22,12-17,hosp,vaxxed,count,0
2021-05-30,2021,22,12-17,hosp,vaxxed,rate,0
2021-05-30,2021,22,12-17,hosp,unvaxxed,count,0
2021-05-30,2021,22,12-17,hosp,unvaxxed,rate,0
2021-06-06,2021,23,12-17,pop,vaxxed,count,50960
2021-06-06,2021,23,12-17,pop,unvaxxed,count,382774
2021-06-06,2021,23,12-17,cases,vaxxed,count,0
2021-06-06,2021,23,12-17,cases,vaxxed,rate,0
2021-06-06,2021,23,12-17,cases,unvaxxed,count,0
2021-06-06,2021,23,12-17,cases,unvaxxed,rate,0
2021-06-06,2021,23,12-17,hosp,vaxxed,count,0
2021-06-06,2021,23,12-17,hosp,vaxxed,rate,0
2021-06-06,2021,23,12-17,hosp,unvaxxed,count,0
2021-06-06,2021,23,12-17,hosp,unvaxxed,rate,0
2021-06-13,2021,24,12-17,pop,vaxxed,count,73556
2021-06-13,2021,24,12-17,pop,unvaxxed,count,360178
2021-06-13,2021,24,12-17,cases,vaxxed,count,3
2021-06-13,2021,24,12-17,cases,vaxxed,rate,4.08
2021-06-13,2021,24,12-17,cases,unvaxxed,count,54
2021-06-13,2021,24,12-17,cases,unvaxxed,rate,14.99
2021-06-13,2021,24,12-17,hosp,vaxxed,count,0
2021-06-13,2021,24,12-17,hosp,vaxxed,rate,0
2021-06-13,2021,24,12-17,hosp,unvaxxed,count,1
2021-06-13,2021,24,12-17,hosp,unvaxxed,rate,0.28
2021-06-20,2021,25,12-17,pop,vaxxed,count,119724
2021-06-20,2021,25,12-17,pop,unvaxxed,count,314010
2021-06-20,2021,25,12-17,cases,vaxxed,count,1
2021-06-20,2021,25,12-17,cases,vaxxed,rate,0.84
2021-06-20,2021,25,12-17,cases,unvaxxed,count,52
2021-06-20,2021,25,12-17,cases,unvaxxed,rate,16.56
2021-06-20,2021,25,12-17,hosp,vaxxed,count,0
2021-06-20,2021,25,12-17,hosp,vaxxed,rate,0
2021-06-20,2021,25,12-17,hosp,unvaxxed,count,1
2021-06-20,2021,25,12-17,hosp,unvaxxed,rate,0.32
2021-06-27,2021,26,12-17,pop,vaxxed,count,139349
2021-06-27,2021,26,12-17,pop,unvaxxed,count,294385
2021-06-27,2021,26,12-17,cases,vaxxed,count,2
2021-06-27,2021,26,12-17,cases,vaxxed,rate,1.44
2021-06-27,2021,26,12-17,cases,unvaxxed,count,76
2021-06-27,2021,26,12-17,cases,unvaxxed,rate,25.82
2021-06-27,2021,26,12-17,hosp,vaxxed,count,0
2021-06-27,2021,26,12-17,hosp,vaxxed,rate,0
2021-06-27,2021,26,12-17,hosp,unvaxxed,count,4
2021-06-27,2021,26,12-17,hosp,unvaxxed,rate,1.36
2021-07-04,2021,27,12-17,pop,vaxxed,count,149680
2021-07-04,2021,27,12-17,pop,unvaxxed,count,284054
2021-07-04,2021,27,12-17,cases,vaxxed,count,4
2021-07-04,2021,27,12-17,cases,vaxxed,rate,2.67
2021-07-04,2021,27,12-17,cases,unvaxxed,count,70
2021-07-04,2021,27,12-17,cases,unvaxxed,rate,24.64
2021-07-04,2021,27,12-17,hosp,vaxxed,count,0
2021-07-04,2021,27,12-17,hosp,vaxxed,rate,0
2021-07-04,2021,27,12-17,hosp,unvaxxed,count,5
2021-07-04,2021,27,12-17,hosp,unvaxxed,rate,1.76
2021-07-11,2021,28,12-17,pop,vaxxed,count,157658
2021-07-11,2021,28,12-17,pop,unvaxxed,count,276076
2021-07-11,2021,28,12-17,cases,vaxxed,count,5
2021-07-11,2021,28,12-17,cases,vaxxed,rate,3.17
2021-07-11,2021,28,12-17,cases,unvaxxed,count,90
2021-07-11,2021,28,12-17,cases,unvaxxed,rate,32.6
2021-07-11,2021,28,12-17,hosp,vaxxed,count,0
2021-07-11,2021,28,12-17,hosp,vaxxed,rate,0
2021-07-11,2021,28,12-17,hosp,unvaxxed,count,2
2021-07-11,2021,28,12-17,hosp,unvaxxed,rate,0.72
2021-07-18,2021,29,12-17,pop,vaxxed,count,163871
2021-07-18,2021,29,12-17,pop,unvaxxed,count,269863
2021-07-18,2021,29,12-17,cases,vaxxed,count,17
2021-07-18,2021,29,12-17,cases,vaxxed,rate,10.37
2021-07-18,2021,29,12-17,cases,unvaxxed,count,173
2021-07-18,2021,29,12-17,cases,unvaxxed,rate,64.11
2021-07-18,2021,29,12-17,hosp,vaxxed,count,1
2021-07-18,2021,29,12-17,hosp,vaxxed,rate,0.61
2021-07-18,2021,29,12-17,hosp,unvaxxed,count,1
2021-07-18,2021,29,12-17,hosp,unvaxxed,rate,0.37
2021-07-25,2021,30,12-17,pop,vaxxed,count,169373
2021-07-25,2021,30,12-17,pop,unvaxxed,count,264361
2021-07-25,2021,30,12-17,cases,vaxxed,count,21
2021-07-25,2021,30,12-17,cases,vaxxed,rate,12.4
2021-07-25,2021,30,12-17,cases,unvaxxed,count,306
2021-07-25,2021,30,12-17,cases,unvaxxed,rate,115.75
2021-07-25,2021,30,12-17,hosp,vaxxed,count,0
2021-07-25,2021,30,12-17,hosp,vaxxed,rate,0
2021-07-25,2021,30,12-17,hosp,unvaxxed,count,2
2021-07-25,2021,30,12-17,hosp,unvaxxed,rate,0.76
