week_start,year,week,age,metric,vax_status,metric_type,value
2021-05-02,2021,18,12-17,pop,vaxxed,count,9075
2021-05-02,2021,18,12-17,pop,unvaxxed,count,424659
2021-05-02,2021,18,12-17,cases,vaxxed,count,0
2021-05-02,2021,18,12-17,cases,vaxxed,rate,0
2021-05-02,2021,18,12-17,cases,unvaxxed,count,0
2021-05-02,2021,18,12-17,cases,unvaxxed,rate,0
2021-05-02,2021,18,12-17,hosp,vaxxed,count,0
2021-05-02,2021,18,12-17,hosp,vaxxed,rate,0
2021-05-02,2021,18,12-17,hosp,unvaxxed,count,0
2021-05-02,2021,18,12-17,hosp,unvaxxed,rate,0
2021-05-09,2021,19,12-17,pop,vaxxed,count,15356
2021-05-09,2021,19,12-17,pop,unvaxxed,count,418378
2021-05-09,2021,19,12-17,cases,vaxxed,count,0
2021-05-09,2021,19,12-17,cases,vaxxed,rate,0
2021-05-09,2021,19,12-17,cases,unvaxxed,count,0
2021-05-09,2021,19,12-17,cases,unvaxxed,rate,0
2021-05-09,2021,19,12-17,hosp,vaxxed,count,0
2021-05-09,2021,19,12-17,hosp,vaxxed,rate,0
2021-05-09,2021,19,12-17,hosp,unvaxxed,count,0
2021-05-09,2021,19,12-17,hosp,unvaxxed,rate,0
2021-05-16,2021,20,12-17,pop,vaxxed,count,23910
2021-05-16,2021,20,12-17,pop,unvaxxed,count,409824
2021-05-16,2021,20,12-17,cases,vaxxed,count,0
2021-05-16,2021,20,12-17,cases,vaxxed,rate,0
2021-05-16,2021,20,12-17,cases,unvaxxed,count,0
2021-05-16,2021,20,12-17,cases,unvaxxed,rate,0
2021-05-16,2021,20,12-17,hosp,vaxxed,count,0
2021-05-16,2021,20,12-17,hosp,vaxxed,rate,0
2021-05-16,2021,20,12-17,hosp,unvaxxed,count,0
2021-05-16,2021,20,12-17,hosp,unvaxxed,rate,0
2021-05-23,2021,21,12-17,pop,vaxxed,count,34562
2021-05-23,2021,21,12-17,pop,unvaxxed,count,399172
2021-05-23,2021,21,12-17,cases,vaxxed,count,0
2021-05-23,2021,21,12-17,cases,vaxxed,rate,0
2021-05-23,2021,21,12-17,cases,unvaxxed,count,0
2021-05-23,2021,21,12-17,cases,unvaxxed,rate,0
2021-05-23,2021,21,12-17,hosp,vaxxed,count,0
2021-05-23,2021,21,12-17,hosp,vaxxed,rate,0
2021-05-23,2021,21,12-17,hosp,unvaxxed,count,0
2021-05-23,2021,21,12-17,hosp,unvaxxed,rate,0
2021-05-30,2021,22,12-17,pop,vaxxed,count,45720
2021-05-30,2021,22,12-17,pop,unvaxxed,count,388014
2021-05-30,2021,22,12-17,cases,vaxxed,count,0
2021-05-30,2021,22,12-17,cases,vaxxed,rate,0
2021-05-30,2021,22,12-17,cases,unvaxxed,count,0
2021-05-30,2021,22,12-17,cases,unvaxxed,rate,0
2021-05-30,2021,22,12-17,hosp,vaxxed,count,0
2021-05-30,2021,22,12-17,hosp,vaxxed,rate,0
2021-05-30,2021,22,12-17,hosp,unvaxxed,count,0
2021-05-30,2021,22,12-17,hosp,unvaxxed,rate,0
2021-06-06,2021,23,12-17,pop,vaxxed,count,50969
2021-06-06,2021,23,12-17,pop,unvaxxed,count,382765
2021-06-06,2021,23,12-17,cases,vaxxed,count,0
2021-06-06,2021,23,12-17,cases,vaxxed,rate,0
2021-06-06,2021,23,12-17,cases,unvaxxed,count,0
2021-06-06,2021,23,12-17,cases,unvaxxed,rate,0
2021-06-06,2021,23,12-17,hosp,vaxxed,count,0
2021-06-06,2021,23,12-17,hosp,vaxxed,rate,0
2021-06-06,2021,23,12-17,hosp,unvaxxed,count,0
2021-06-06,2021,23,12-17,hosp,unvaxxed,rate,0
2021-06-13,2021,24,12-17,pop,vaxxed,count,73567
2021-06-13,2021,24,12-17,pop,unvaxxed,count,360167
2021-06-13,2021,24,12-17,cases,vaxxed,count,3
2021-06-13,2021,24,12-17,cases,vaxxed,rate,4.08
2021-06-13,2021,24,12-17,cases,unvaxxed,count,54
2021-06-13,2021,24,12-17,cases,unvaxxed,rate,14.99
2021-06-13,2021,24,12-17,hosp,vaxxed,count,0
2021-06-13,2021,24,12-17,hosp,vaxxed,rate,0
2021-06-13,2021,24,12-17,hosp,unvaxxed,count,1
2021-06-13,2021,24,12-17,hosp,unvaxxed,rate,0.28
2021-06-20,2021,25,12-17,pop,vaxxed,count,119729
2021-06-20,2021,25,12-17,pop,unvaxxed,count,314005
2021-06-20,2021,25,12-17,cases,vaxxed,count,1
2021-06-20,2021,25,12-17,cases,vaxxed,rate,0.84
2021-06-20,2021,25,12-17,cases,unvaxxed,count,52
2021-06-20,2021,25,12-17,cases,unvaxxed,rate,16.56
2021-06-20,2021,25,12-17,hosp,vaxxed,count,0
2021-06-20,2021,25,12-17,hosp,vaxxed,rate,0
2021-06-20,2021,25,12-17,hosp,unvaxxed,count,1
2021-06-20,2021,25,12-17,hosp,unvaxxed,rate,0.32
2021-06-27,2021,26,12-17,pop,vaxxed,count,139354
2021-06-27,2021,26,12-17,pop,unvaxxed,count,294380
2021-06-27,2021,26,12-17,cases,vaxxed,count,2
2021-06-27,2021,26,12-17,cases,vaxxed,rate,1.44
2021-06-27,2021,26,12-17,cases,unvaxxed,count,76
2021-06-27,2021,26,12-17,cases,unvaxxed,rate,25.82
2021-06-27,2021,26,12-17,hosp,vaxxed,count,0
2021-06-27,2021,26,12-17,hosp,vaxxed,rate,0
2021-06-27,2021,26,12-17,hosp,unvaxxed,count,4
2021-06-27,2021,26,12-17,hosp,unvaxxed,rate,1.36
