year,week,week_start,age,vax,metric,value
2021,18,2021-05-02,12-17,vaxxed,caserate,0
2021,18,2021-05-02,12-17,unvaxxed,caserate,270.9822931552839
2021,18,2021-05-02,12-17,vaxxed,hosprate,0
2021,18,2021-05-02,12-17,unvaxxed,hosprate,2.5897525844553635
2021,18,2021-05-02,12-17,vaxxed,deathrate,0
2021,18,2021-05-02,12-17,unvaxxed,deathrate,0
2021,18,2021-05-02,18-49,vaxxed,caserate,21.73913043478261
2021,18,2021-05-02,18-49,unvaxxed,caserate,240.9923444806076
2021,18,2021-05-02,18-49,vaxxed,hosprate,0.4528985507246377
2021,18,2021-05-02,18-49,unvaxxed,hosprate,8.943793160693621
2021,18,2021-05-02,18-49,vaxxed,deathrate,0
2021,18,2021-05-02,18-49,unvaxxed,deathrate,0.4288120008551736
2021,18,2021-05-02,50-64,vaxxed,caserate,15.669446989055494
2021,18,2021-05-02,50-64,unvaxxed,caserate,201.71007300833617
2021,18,2021-05-02,50-64,vaxxed,hosprate,1.0044517300676599
2021,18,2021-05-02,50-64,unvaxxed,hosprate,19.47321702413543
2021,18,2021-05-02,50-64,vaxxed,deathrate,0.401780692027064
2021,18,2021-05-02,50-64,unvaxxed,deathrate,1.4604912768101572
2021,18,2021-05-02,65+,vaxxed,caserate,20.82210745051584
2021,18,2021-05-02,65+,unvaxxed,caserate,299.4963323530406
2021,18,2021-05-02,65+,vaxxed,hosprate,5.064836947422772
2021,18,2021-05-02,65+,unvaxxed,hosprate,93.97288983537842
2021,18,2021-05-02,65+,vaxxed,deathrate,1.1255193216495047
2021,18,2021-05-02,65+,unvaxxed,deathrate,14.8734070243045
2021,19,2021-05-09,12-17,vaxxed,caserate,0
2021,19,2021-05-09,12-17,unvaxxed,caserate,169.8888195952775
2021,19,2021-05-09,12-17,vaxxed,hosprate,0
2021,19,2021-05-09,12-17,unvaxxed,hosprate,1.1947174373788856
2021,19,2021-05-09,12-17,vaxxed,deathrate,0
2021,19,2021-05-09,12-17,unvaxxed,deathrate,0
2021,19,2021-05-09,18-49,vaxxed,caserate,15.432258867713122
2021,19,2021-05-09,18-49,unvaxxed,caserate,178.4466153225198
2021,19,2021-05-09,18-49,vaxxed,hosprate,0.12968284762784135
2021,19,2021-05-09,18-49,unvaxxed,hosprate,7.613022205741925
2021,19,2021-05-09,18-49,vaxxed,deathrate,0
2021,19,2021-05-09,18-49,unvaxxed,deathrate,0.13125900354727457
2021,19,2021-05-09,50-64,vaxxed,caserate,12.673502027760325
2021,19,2021-05-09,50-64,unvaxxed,caserate,150.05660980405966
2021,19,2021-05-09,50-64,vaxxed,hosprate,0.17850002856000458
2021,19,2021-05-09,50-64,unvaxxed,hosprate,21.668824520441827
2021,19,2021-05-09,50-64,vaxxed,deathrate,0
2021,19,2021-05-09,50-64,unvaxxed,deathrate,0.9028676883517428
2021,19,2021-05-09,65+,vaxxed,caserate,16.498973320189613
2021,19,2021-05-09,65+,unvaxxed,caserate,244.4685355898167
2021,19,2021-05-09,65+,vaxxed,hosprate,4.991286046443917
2021,19,2021-05-09,65+,unvaxxed,hosprate,66.21022838890869
2021,19,2021-05-09,65+,vaxxed,deathrate,0.6932341731172107
2021,19,2021-05-09,65+,unvaxxed,deathrate,13.824113619662254
2021,20,2021-05-16,12-17,vaxxed,caserate,8.416445734966123
2021,20,2021-05-16,12-17,unvaxxed,caserate,128.78959731298067
2021,20,2021-05-16,12-17,vaxxed,hosprate,0
2021,20,2021-05-16,12-17,unvaxxed,hosprate,1.219598459403226
2021,20,2021-05-16,12-17,vaxxed,deathrate,0
2021,20,2021-05-16,12-17,unvaxxed,deathrate,0
2021,20,2021-05-16,18-49,vaxxed,caserate,13.209723723183409
2021,20,2021-05-16,18-49,unvaxxed,caserate,130.02267279180276
2021,20,2021-05-16,18-49,vaxxed,hosprate,0.9110154291850625
2021,20,2021-05-16,18-49,unvaxxed,hosprate,7.8352424972259005
2021,20,2021-05-16,18-49,vaxxed,deathrate,0
2021,20,2021-05-16,18-49,unvaxxed,deathrate,0.14117554049055678
2021,20,2021-05-16,50-64,vaxxed,caserate,10.024073945329995
2021,20,2021-05-16,50-64,unvaxxed,caserate,122.70334850980012
2021,20,2021-05-16,50-64,vaxxed,hosprate,0.9700716721287092
2021,20,2021-05-16,50-64,unvaxxed,hosprate,15.337918563725015
2021,20,2021-05-16,50-64,vaxxed,deathrate,0
2021,20,2021-05-16,50-64,unvaxxed,deathrate,1.0090735897187513
2021,20,2021-05-16,65+,vaxxed,caserate,11.368445851270597
2021,20,2021-05-16,65+,unvaxxed,caserate,218.49510524310497
2021,20,2021-05-16,65+,vaxxed,hosprate,3.835138359464779
2021,20,2021-05-16,65+,unvaxxed,hosprate,71.53576399418384
2021,20,2021-05-16,65+,vaxxed,deathrate,0.4109076813712263
2021,20,2021-05-16,65+,unvaxxed,deathrate,14.773690390103184
2021,21,2021-05-23,12-17,vaxxed,caserate,0
2021,21,2021-05-23,12-17,unvaxxed,caserate,53.33346687566041
2021,21,2021-05-23,12-17,vaxxed,hosprate,0
2021,21,2021-05-23,12-17,unvaxxed,hosprate,1.7527430428620792
2021,21,2021-05-23,12-17,vaxxed,deathrate,0
2021,21,2021-05-23,12-17,unvaxxed,deathrate,0
2021,21,2021-05-23,18-49,vaxxed,caserate,7.367872844644869
2021,21,2021-05-23,18-49,unvaxxed,caserate,78.98597347144887
2021,21,2021-05-23,18-49,vaxxed,hosprate,0.3027892949854056
2021,21,2021-05-23,18-49,unvaxxed,hosprate,5.674720424162346
2021,21,2021-05-23,18-49,vaxxed,deathrate,0
2021,21,2021-05-23,18-49,unvaxxed,deathrate,0.15337082227465798
2021,21,2021-05-23,50-64,vaxxed,caserate,6.757182885407188
2021,21,2021-05-23,50-64,unvaxxed,caserate,83.02515081786468
2021,21,2021-05-23,50-64,vaxxed,hosprate,0.7507980983785765
2021,21,2021-05-23,50-64,unvaxxed,hosprate,14.730268693492123
2021,21,2021-05-23,50-64,vaxxed,deathrate,0
2021,21,2021-05-23,50-64,unvaxxed,deathrate,1.3391153357720111
2021,21,2021-05-23,65+,vaxxed,caserate,9.613770168606571
2021,21,2021-05-23,65+,unvaxxed,caserate,118.16199843560172
2021,21,2021-05-23,65+,vaxxed,hosprate,2.3018886319198835
2021,21,2021-05-23,65+,unvaxxed,hosprate,30.788689733220167
2021,21,2021-05-23,65+,vaxxed,deathrate,0.4062156409270383
2021,21,2021-05-23,65+,unvaxxed,deathrate,6.657013996371928
2021,22,2021-05-30,12-17,vaxxed,caserate,2.2005589419712606
2021,22,2021-05-30,12-17,unvaxxed,caserate,37.08558787095245
2021,22,2021-05-30,12-17,vaxxed,hosprate,0
2021,22,2021-05-30,12-17,unvaxxed,hosprate,1.5452328279563523
2021,22,2021-05-30,12-17,vaxxed,deathrate,0
2021,22,2021-05-30,12-17,unvaxxed,deathrate,0
2021,22,2021-05-30,18-49,vaxxed,caserate,4.703460640334665
2021,22,2021-05-30,18-49,unvaxxed,caserate,55.92688695416556
2021,22,2021-05-30,18-49,vaxxed,hosprate,0.27667415531380385
2021,22,2021-05-30,18-49,unvaxxed,hosprate,4.46093337596003
2021,22,2021-05-30,18-49,vaxxed,deathrate,0
2021,22,2021-05-30,18-49,unvaxxed,deathrate,0.1652197546651863
2021,22,2021-05-30,50-64,vaxxed,caserate,3.8474966334404455
2021,22,2021-05-30,50-64,unvaxxed,caserate,53.60694707223597
2021,22,2021-05-30,50-64,vaxxed,hosprate,0.8549992518756546
2021,22,2021-05-30,50-64,unvaxxed,hosprate,10.430310968806094
2021,22,2021-05-30,50-64,vaxxed,deathrate,0.1424998753126091
