year,week,week_start,cases_vaxxed,cases_unvaxxed,hosp_vaxxed,hosp_unvaxxed
2021,24,2021-06-13,1.860004178,7.089068565,0,0.25318102
2021,25,2021-06-20,0.380877604,7.841006979,0,0.145203833
2021,26,2021-06-27,0.654477062,11.925945686,0,0.619529646
2021,27,2021-07-04,1.218618999,11.396501993,0,0.802570563
2021,28,2021-07-11,1.446166512,15.359284953,0,0.330307203
2021,29,2021-07-18,4.730474186,29.905388287,0.278263187,0.168956996
2021,30,2021-07-25,5.65365932,53.466920665,0,0.344947875
2021,31,2021-08-01,8.380843068,76.920992696,0,1.404949638
2021,32,2021-08-08,14.079316492,97.753345113,0,0.53514605
2021,33,2021-08-15,17.989648281,109.617199751,0,1.45188344
2021,34,2021-08-22,18.951878742,117.108626124,0.242972804,1.111790754
2021,35,2021-08-29,19.907874881,144.96295534,0,1.716666576
2021,36,2021-09-05,23.185625746,179.635424865,0.222938709,0.994659052
2021,37,2021-09-12,41.248452602,335.608207389,0,1.663485538
2021,38,2021-09-19,50.101800892,433.480679847,0.206180251,2.144882137
2021,39,2021-09-26,45.669995361,459.494747241,0,2.201699795
2021,40,2021-10-03,49.278454294,411.112441016,0,3.829540546
2021,41,2021-10-10,36.418828203,307.925713088,0.194753092,2.055883841
2021,42,2021-10-17,34.119790257,229.607015761,0.385534353,1.156127975
2021,43,2021-10-24,40.855090113,276.766548173,0,1.403718757
2021,44,2021-10-31,55.649435432,290.118010431,0.189283794,1.182224981
2021,45,2021-11-07,70.277799434,366.053137679,0.187908555,0.954506226
2021,46,2021-11-14,84.378988145,419.43380845,0.933395887,2.647029198
2021,47,2021-11-21,76.305443761,277.897096862,0,1.70190698
2021,48,2021-11-28,102.338705993,425.095379391,0.367463935,3.93151796
2021,49,2021-12-05,113.819249874,528.724818327,0.546955494,2.807537401
2021,50,2021-12-12,134.307878566,450.208039048,0.361222559,2.589637331
2021,51,2021-12-19,249.762195398,358.146874248,0,1.782526301
2021,52,2021-12-26,690.630486652,651.27396495,2.090679717,3.370399375
2022,01,2022-01-02,1485.501219783,1422.911527922,3.36188882,5.88153435
2022,02,2022-01-09,1816.991199393,1626.731027113,4.741300321,9.323156015
2022,03,2022-01-16,1301.634055008,1159.413796597,2.153129961,8.130516903
2022,04,2022-01-23,653.560678279,651.003679531,4.507580069,3.570966967
2022,05,2022-01-30,382.530481494,334.677401157,2.78984299,2.892544321
2022,06,2022-02-06,215.930967837,225.572574772,2.760744218,2.505005144
2022,07,2022-02-13,117.475356863,101.129891726,1.690610406,2.150080509
2022,08,2022-02-20,82.151453498,57.211059705,0.509867407,1.62884703
2022,09,2022-02-27,58.243170293,44.561506985,1.182685825,1.276558149
2022,10,2022-03-06,39.917464878,24.702662756,0.672407048,0.999064735
2022,11,2022-03-13,36.448042657,28.90622878,1.422165182,0.618474579
2022,12,2022-03-20,34.068353333,19.73643044,0.790808954,0.338080498
2022,13,2022-03-27,32.832468714,20.263714954,0.333453481,0.624212182
2022,14,2022-04-03,41.713804703,24.940794909,0.332899626,0.285341793
2022,15,2022-04-10,71.306165925,36.770816658,0.782569161,0.628083684
2022,16,2022-04-17,107.53705162,57.419702966,0.780777714,1.031574034
2022,17,2022-04-24,163.724904141,92.113539575,1.160733499,2.179629677
2022,18,2022-05-01,208.49075133,116.808868448,0.993989044,1.091838628
2022,19,2022-05-08,205.519893855,115.526345175,0.662043586,1.726934811
2022,20,2022-05-15,173.101290512,106.322267632,0.775216653,1.556985546
2022,21,2022-05-22,160.939161673,109.045358902,1.052320604,3.293748275
2022,22,2022-05-29,121.409613568,80.360308256,0.442605881,2.082478226
2022,23,2022-06-05,97.700939701,71.127079167,3.085287517,2.551574158
2022,24,2022-06-12,82.331753451,57.423889292,0.93488662,0.92908288000000006
2022,25,2022-06-19,81.486920012,54.73185297,0.933372509,1.629430427
2022,26,2022-06-26,73.25183791,49.529345744,1.809243885,0.757657732
2022,27,2022-07-03,64.290900082,50.834737818,0.930647001,1.225717
2022,28,2022-07-10,76.344715771,63.835555273,1.146353212,1.402990528
2022,29,2022-07-17,88.862169666,75.225049236,1.251971939,1.521857708
2022,30,2022-07-24,73.155262245,73.880356383,0.926966566,1.817197205
2022,31,2022-07-31,74.479162469,72.296313279,1.417130746,1.819820117
2022,32,2022-08-07,67.585872384,75.062476839,0.163697391,1.588088984
2022,33,2022-08-14,65.808212963,66.516255081,0.759576103,0.707988308
2022,34,2022-08-21,55.982376733,52.062064099,1.085132923,1.948268174
2022,35,2022-08-28,45.524383248,49.510611457,0.43028027,1.596502432
2022,36,2022-09-04,39.198199222,52.513486277,0.918610776,2.195593998
2022,37,2022-09-11,77.386363636,100.194302651,0.489104451,1.837391788
2022,38,2022-09-18,78.109474453,90.014347137,1.343380066,3.560767256
2022,39,2022-09-25,45.724944258,54.787986022,1.015575909,1.248220174
