week_start,year,week,cases_vaxxed,cases_unvaxxed,hosp_vaxxed,hosp_unvaxxed
2021-05-02,2021,18,0,0,0,0
2021-05-09,2021,19,0,0,0,0
2021-05-16,2021,20,0,0,0,0
2021-05-23,2021,21,0,0,0,0
2021-05-30,2021,22,0,0,0,0
2021-06-06,2021,23,0,0,0,0
2021-06-13,2021,24,1.86,6.84,0,0.13
2021-06-20,2021,25,0.38,7.55,0,0.15
2021-06-27,2021,26,0.65,11.77,0,0.62
2021-07-04,2021,27,1.22,11.24,0,0.8
2021-07-11,2021,28,1.45,14.86,0,0.33
2021-07-18,2021,29,4.73,29.23,0.28,0.17
2021-07-25,2021,30,5.65,52.78,0,0.34
2021-08-01,2021,31,8.38,75.34,0,1.4
2021-08-08,2021,32,14.08,95.61,0,0.54
2021-08-15,2021,33,17.99,106.35,0,1.27
2021-08-22,2021,34,18.95,114.15,0.24,1.11
2021-08-29,2021,35,19.91,139.24,0,1.53
2021-09-05,2021,36,23.19,174.66,0.22,0.99
2021-09-12,2021,37,41.25,325.84,0,1.66
2021-09-19,2021,38,50.31,422.98,0.21,2.14
2021-09-26,2021,39,45.67,449.82,0,2.2
2021-10-03,2021,40,49.28,404.82,0,3.6
2021-10-10,2021,41,36.42,303.14,0.19,2.06
2021-10-17,2021,42,34.12,225.22,0.39,1.16
2021-10-24,2021,43,40.85,267.65,0,1.4
2021-10-31,2021,44,55.65,283.5,0.19,1.18
2021-11-07,2021,45,70.28,357.24,0.19,0.95
2021-11-14,2021,46,84.38,405.25,0.93,2.65
2021-11-21,2021,47,76.3,266.97,0,1.7
2021-11-28,2021,48,102.34,413.56,0.37,3.93
2021-12-05,2021,49,113.81,486.23,0.55,2.81
2021-12-12,2021,50,134.3,421.99,0.36,2.22
2021-12-19,2021,51,249.75,330.28,0,1.27
2021-12-26,2021,52,690.6,588.81,2.09,2.98
2022-01-02,2022,01,1485.27,1290.47,3.36,5.37
2022-01-09,2022,02,1817.11,1476.42,4.74,8.4
2022-01-16,2022,03,1301.77,1062.85,2.15,7.2
2022-01-23,2022,04,653.36,602.45,4.51,3.31
2022-01-30,2022,05,382.34,305.73,2.79,2.63
2022-02-06,2022,06,215.92,205.69,2.76,2.51
2022-02-13,2022,07,117.47,92.08,1.69,1.88
2022-02-20,2022,08,82.15,52.26,0.51,1.35
2022-02-27,2022,09,58.24,40.98,1.18,1
2022-03-06,2022,10,39.92,22.98,0.67,1
2022-03-13,2022,11,36.28,27,1.42,0.62
2022-03-20,2022,12,34.07,18.66,0.79,0.17
2022-03-27,2022,13,32.83,18.22,0.33,0.45
2022-04-03,2022,14,41.71,23.29,0.33,0.29
2022-04-10,2022,15,71.31,35,0.78,0.63
2022-04-17,2022,16,107.54,53.53,0.78,0.86
2022-04-24,2022,17,163.72,86.1,1.16,2.18
2022-05-01,2022,18,208.49,104.12,0.99,1.09
2022-05-08,2022,19,205.68,108.68,0.66,1.73
2022-05-15,2022,20,173.1,99.46,0.78,1.56
2022-05-22,2022,21,160.94,101.89,1.05,3.29
2022-05-29,2022,22,121.41,74.87,0.44,2.08
2022-06-05,2022,23,97.7,64.23,3.09,2.55
2022-06-12,2022,24,82.33,53.54,0.93,0.93
2022-06-19,2022,25,81.49,52.06,0.93,1.63
2022-06-26,2022,26,73.25,45.34,1.81,0.76
2022-07-03,2022,27,64.29,48.33,0.93,1.23
2022-07-10,2022,28,76.34,59.1,1.15,1.23
2022-07-17,2022,29,88.86,70.95,1.25,1.35
2022-07-24,2022,30,73.15,70.36,0.93,1.64
2022-07-31,2022,31,74.48,67.07,1.42,1.82
2022-08-07,2022,32,67.58,69.71,0.16,1.59
2022-08-14,2022,33,65.81,62.51,0.76,0.71
2022-08-21,2022,34,55.98,50.35,1.09,1.95
2022-08-28,2022,35,45.52,46.56,0.43,1.6
2022-09-04,2022,36,39.2,47.31,0.92,1.9
2022-09-11,2022,37,77.39,93.61,0.49,1.84
2022-09-18,2022,38,78.11,82.94,1.34,3.09
2022-09-25,2022,39,45.72,52.77,1.02,0.95
2022-10-02,2022,40,33.57,34.38,1.18,0.89
2022-10-09,2022,41,27.62,29.83,0.16,1.25
2022-10-16,2022,42,28.5,21.99,0.75,0.77
2022-10-23,2022,43,32.31,30.14,1.17,0.78
2022-10-30,2022,44,36.76,42.71,0.42,0.78
2022-11-06,2022,45,36.12,41.04,0.58,1.19
2022-11-13,2022,46,36.46,40.73,0.32,0.66
2022-11-20,2022,47,30.47,37.34,0.16,0.18
2022-11-27,2022,48,25.16,41.62,0.16,0.85
2022-12-04,2022,49,34.33,43.89,0.65,1.38
2022-12-11,2022,50,34.69,37.8,0.65,0.85
2022-12-18,2022,51,35.78,32.97,0.42,0.48
2022-12-25,2022,52,19.11,16.36,0.9,0.37
2023-01-01,2023,01,14.96,19.81,0.48,0.79
2023-01-08,2023,02,23.25,30.54,1.09,0.67
2023-01-15,2023,03,32.56,33.87,0.16,0.97
2023-01-22,2023,04,36.69,51.23,0.58,2.29
2023-01-29,2023,05,48.84,42.38,0.16,1.16
2023-02-05,2023,06,45.22,51.25,0.97,1.16
2023-02-12,2023,07,39.08,36.19,0.9,1.09
2023-02-19,2023,08,28.56,19.31,1.08,0.18
2023-02-26,2023,09,20.73,18.59,1.22,0.49
2023-03-05,2023,10,16.67,22.62,0.41,0.18
2023-03-12,2023,11,14.47,15.75,0.41,0.3
2023-03-19,2023,12,16.88,14.24,0.74,0.61
2023-03-26,2023,13,15.56,18.49,0.99,1.28
2023-04-02,2023,14,10.61,11.19,0.48,0.18
2023-04-09,2023,15,8.96,8.89,0.25,0.49
