year,week,age_group,new_cases,mmwr_startdate,mmwr_enddate,pop_size,F3,F5,F6,new_cases_percap,outcome,report_date
2020,10,0-4,0,2020-03-01,2020-03-07,351664,NA,NA,NA,0,case,2023-06-01
2020,10,12-17,0,2020-03-01,2020-03-07,433734,NA,NA,NA,0,case,2023-06-01
2020,10,18-49,0,2020-03-01,2020-03-07,2294817,NA,NA,NA,0,case,2023-06-01
2020,10,5-11,0,2020-03-01,2020-03-07,509735,NA,NA,NA,0,case,2023-06-01
2020,10,50-64,1,2020-03-01,2020-03-07,1114015,NA,NA,NA,0.09,case,2023-06-01
2020,10,65-74,0,2020-03-01,2020-03-07,490739,NA,NA,NA,0,case,2023-06-01
2020,10,75-84,1,2020-03-01,2020-03-07,252053,NA,NA,NA,0.397,case,2023-06-01
2020,10,85+,0,2020-03-01,2020-03-07,115906,NA,NA,NA,0,case,2023-06-01
2020,10,Total,2,2020-03-01,2020-03-07,5562663,NA,NA,NA,0.036,case,2023-06-01
2020,11,0-4,0,2020-03-08,2020-03-14,351664,NA,NA,NA,0,case,2023-06-01
2020,11,12-17,1,2020-03-08,2020-03-14,433734,NA,NA,NA,0.231,case,2023-06-01
2020,11,18-49,48,2020-03-08,2020-03-14,2294817,NA,NA,NA,2.092,case,2023-06-01
2020,11,5-11,1,2020-03-08,2020-03-14,509735,NA,NA,NA,0.196,case,2023-06-01
2020,11,50-64,27,2020-03-08,2020-03-14,1114015,NA,NA,NA,2.424,case,2023-06-01
2020,11,65-74,10,2020-03-08,2020-03-14,490739,NA,NA,NA,2.038,case,2023-06-01
2020,11,75-84,1,2020-03-08,2020-03-14,252053,NA,NA,NA,0.397,case,2023-06-01
2020,11,85+,1,2020-03-08,2020-03-14,115906,NA,NA,NA,0.863,case,2023-06-01
2020,11,Total,89,2020-03-08,2020-03-14,5562663,NA,NA,NA,1.6,case,2023-06-01
2020,12,0-4,1,2020-03-15,2020-03-21,351664,NA,NA,NA,0.284,case,2023-06-01
2020,12,12-17,1,2020-03-15,2020-03-21,433734,NA,NA,NA,0.231,case,2023-06-01
2020,12,18-49,147,2020-03-15,2020-03-21,2294817,NA,NA,NA,6.406,case,2023-06-01
2020,12,5-11,0,2020-03-15,2020-03-21,509735,NA,NA,NA,0,case,2023-06-01
2020,12,50-64,51,2020-03-15,2020-03-21,1114015,NA,NA,NA,4.578,case,2023-06-01
2020,12,65-74,22,2020-03-15,2020-03-21,490739,NA,NA,NA,4.483,case,2023-06-01
2020,12,75-84,9,2020-03-15,2020-03-21,252053,NA,NA,NA,3.571,case,2023-06-01
2020,12,85+,7,2020-03-15,2020-03-21,115906,NA,NA,NA,6.039,case,2023-06-01
2020,12,Total,238,2020-03-15,2020-03-21,5562663,NA,NA,NA,4.279,case,2023-06-01
2020,13,0-4,1,2020-03-22,2020-03-28,351664,NA,NA,NA,0.284,case,2023-06-01
2020,13,12-17,3,2020-03-22,2020-03-28,433734,NA,NA,NA,0.692,case,2023-06-01
2020,13,18-49,174,2020-03-22,2020-03-28,2294817,NA,NA,NA,7.582,case,2023-06-01
2020,13,5-11,3,2020-03-22,2020-03-28,509735,NA,NA,NA,0.589,case,2023-06-01
2020,13,50-64,96,2020-03-22,2020-03-28,1114015,NA,NA,NA,8.617,case,2023-06-01
2020,13,65-74,40,2020-03-22,2020-03-28,490739,NA,NA,NA,8.151,case,2023-06-01
2020,13,75-84,19,2020-03-22,2020-03-28,252053,NA,NA,NA,7.538,case,2023-06-01
2020,13,85+,26,2020-03-22,2020-03-28,115906,NA,NA,NA,22.432,case,2023-06-01
