date,outcome,new_cases,total_pop,new_cases_percap,report_date
2020-03-01,case,0,5562663,0,2022-12-22
2020-03-02,case,0,5562663,0,2022-12-22
2020-03-03,case,0,5562663,0,2022-12-22
2020-03-04,case,0,5562663,0,2022-12-22
2020-03-05,case,1,5562663,0,2022-12-22
2020-03-06,case,0,5562663,0,2022-12-22
2020-03-07,case,1,5562663,0,2022-12-22
2020-03-08,case,0,5562663,0,2022-12-22
2020-03-09,case,3,5562663,0.1,2022-12-22
2020-03-10,case,6,5562663,0.1,2022-12-22
2020-03-11,case,10,5562663,0.2,2022-12-22
2020-03-12,case,22,5562663,0.4,2022-12-22
2020-03-13,case,19,5562663,0.3,2022-12-22
2020-03-14,case,29,5562663,0.5,2022-12-22
2020-03-15,case,39,5562663,0.7,2022-12-22
2020-03-16,case,51,5562663,0.9,2022-12-22
2020-03-17,case,67,5562663,1.2,2022-12-22
2020-03-18,case,23,5562663,0.4,2022-12-22
2020-03-19,case,18,5562663,0.3,2022-12-22
2020-03-20,case,16,5562663,0.3,2022-12-22
2020-03-21,case,24,5562663,0.4,2022-12-22
2020-03-22,case,22,5562663,0.4,2022-12-22
2020-03-23,case,45,5562663,0.8,2022-12-22
2020-03-24,case,51,5562663,0.9,2022-12-22
2020-03-25,case,58,5562663,1,2022-12-22
2020-03-26,case,64,5562663,1.2,2022-12-22
2020-03-27,case,75,5562663,1.3,2022-12-22
2020-03-28,case,47,5562663,0.8,2022-12-22
2020-03-29,case,38,5562663,0.7,2022-12-22
2020-03-30,case,98,5562663,1.8,2022-12-22
2020-03-31,case,94,5562663,1.7,2022-12-22
2020-04-01,case,57,5562663,1,2022-12-22
2020-04-02,case,86,5562663,1.5,2022-12-22
2020-04-03,case,63,5562663,1.1,2022-12-22
2020-04-04,case,37,5562663,0.7,2022-12-22
2020-04-05,case,60,5562663,1.1,2022-12-22
2020-04-06,case,113,5562663,2,2022-12-22
2020-04-07,case,103,5562663,1.9,2022-12-22
2020-04-08,case,102,5562663,1.8,2022-12-22
2020-04-09,case,104,5562663,1.9,2022-12-22
2020-04-10,case,94,5562663,1.7,2022-12-22
2020-04-11,case,75,5562663,1.3,2022-12-22
2020-04-12,case,57,5562663,1,2022-12-22
2020-04-13,case,147,5562663,2.6,2022-12-22
2020-04-14,case,156,5562663,2.8,2022-12-22
2020-04-15,case,152,5562663,2.7,2022-12-22
2020-04-16,case,184,5562663,3.3,2022-12-22
2020-04-17,case,180,5562663,3.2,2022-12-22
2020-04-18,case,122,5562663,2.2,2022-12-22
2020-04-19,case,126,5562663,2.3,2022-12-22
2020-04-20,case,277,5562663,5,2022-12-22
2020-04-21,case,263,5562663,4.7,2022-12-22
