date,geoid,county,region,pop,cases,deaths
2021-02-11,27001,Aitkin,Northeast,15902,1146,33
2021-02-11,27003,Anoka,Metro suburbs,353813,32383,377
2021-02-11,27005,Becker,West Central,34371,2981,41
2021-02-11,27007,Beltrami,Northwest,46847,3266,48
2021-02-11,27009,Benton,East Central,40545,4357,90
2021-02-11,27011,Big Stone,Southwest,4989,489,3
2021-02-11,27013,Blue Earth,Southeast,67427,5675,34
2021-02-11,27015,Brown,Southeast,25111,2317,37
2021-02-11,27017,Carlton,Northeast,35837,2949,43
2021-02-11,27019,Carver,Metro suburbs,103551,7323,40
2021-02-11,27021,Cass,East Central,29519,2139,24
2021-02-11,27023,Chippewa,Southwest,11924,1346,35
2021-02-11,27025,Chisago,East Central,55922,4773,43
2021-02-11,27027,Clay,West Central,63955,6725,83
2021-02-11,27029,Clearwater,Northwest,8810,699,14
2021-02-11,27031,Cook,Northeast,5393,117,0
2021-02-11,27033,Cottonwood,Southwest,11277,1320,20
2021-02-11,27035,Crow Wing,East Central,64889,5055,80
2021-02-11,27037,Dakota,Metro suburbs,425423,34871,376
2021-02-11,27039,Dodge,Southeast,20822,1479,4
2021-02-11,27041,Douglas,West Central,37964,3854,68
2021-02-11,27043,Faribault,Southeast,13758,1156,16
2021-02-11,27045,Fillmore,Southeast,21058,1340,8
2021-02-11,27047,Freeborn,Southeast,30444,2701,23
2021-02-11,27049,Goodhue,Southeast,46403,3759,65
2021-02-11,27051,Grant,West Central,6021,465,8
2021-02-11,27053,Hennepin,Hennepin/Ramsey,1259428,97742,1561
2021-02-11,27055,Houston,Southeast,18578,1537,14
2021-02-11,27057,Hubbard,Northwest,21332,1575,39
2021-02-11,27059,Isanti,East Central,39966,2982,45
2021-02-11,27061,Itasca,Northeast,45108,2985,45
2021-02-11,27063,Jackson,Southwest,9911,903,10
2021-02-11,27065,Kanabec,East Central,16207,1045,19
2021-02-11,27067,Kandiyohi,Southwest,42855,5695,73
2021-02-11,27069,Kittson,Northwest,4248,393,21
2021-02-11,27071,Koochiching,Northeast,12440,613,11
2021-02-11,27073,Lac qui Parle,Southwest,6658,673,16
2021-02-11,27075,Lake,Northeast,10658,690,17
2021-02-11,27077,Lake of the Woods,Northwest,3758,209,1
2021-02-11,27079,Le Sueur,Southeast,28494,2252,19
2021-02-11,27081,Lincoln,Southwest,5673,498,2
2021-02-11,27083,Lyon,Southwest,25629,3098,43
2021-02-11,27087,Mahnomen,Northwest,5519,426,7
2021-02-11,27089,Marshall,Northwest,9390,729,15
2021-02-11,27091,Martin,Southeast,19785,1796,27
2021-02-11,27085,McLeod,Southwest,35873,3331,49
2021-02-11,27093,Meeker,Southwest,23141,2040,33
2021-02-11,27095,Mille Lacs,East Central,26139,2218,46
2021-02-11,27097,Morrison,East Central,33169,3186,46
2021-02-11,27099,Mower,Southeast,40011,3926,30
2021-02-11,27101,Murray,Southwest,8276,931,8
2021-02-11,27103,Nicollet,Southeast,34220,2427,40
2021-02-11,27105,Nobles,Southwest,21924,3794,47
2021-02-11,27107,Norman,Northwest,6475,431,8
2021-02-11,27109,Olmsted,Southeast,156277,11437,83
2021-02-11,27111,Otter Tail,West Central,58812,4714,70
2021-02-11,27113,Pennington,Northwest,14178,1103,16
2021-02-11,27115,Pine,East Central,29483,2753,16
2021-02-11,27117,Pipestone,Southwest,9047,997,24
2021-02-11,27119,Polk,Northwest,31529,3369,62
2021-02-11,27121,Pope,West Central,11097,767,5
2021-02-11,27123,Ramsey,Hennepin/Ramsey,550210,41937,783
2021-02-11,27125,Red Lake,Northwest,3999,334,4
2021-02-11,27127,Redwood,Southwest,15249,1443,27
2021-02-11,27129,Renville,Southwest,14612,1430,40
2021-02-11,27131,Rice,Southeast,66523,6551,84
2021-02-11,27133,Rock,Southwest,9414,1147,12
2021-02-11,27135,Roseau,Northwest,15150,1694,17
2021-02-11,27139,Scott,Metro suburbs,147381,12732,103
2021-02-11,27141,Sherburne,East Central,96036,8543,71
2021-02-11,27143,Sibley,Southeast,15028,1133,9
2021-02-11,27137,St. Louis,Northeast,199754,14429,260
2021-02-11,27145,Stearns,East Central,159256,18469,198
2021-02-11,27147,Steele,Southeast,36803,2932,10
2021-02-11,27149,Stevens,West Central,9753,719,8
2021-02-11,27151,Swift,Southwest,9345,868,18
2021-02-11,27153,Todd,East Central,24582,2374,30
2021-02-11,27155,Traverse,West Central,3308,296,5
2021-02-11,27157,Wabasha,Southeast,21645,1828,3
2021-02-11,27159,Wadena,East Central,13773,1239,19
2021-02-11,27161,Waseca,Southeast,18691,2015,17
2021-02-11,27163,Washington,Metro suburbs,259201,21353,249
2021-02-11,27165,Watonwan,Southeast,10980,1103,8
2021-02-11,27167,Wilkin,West Central,6254,654,10
2021-02-11,27169,Winona,Southeast,50825,4084,48
2021-02-11,27171,Wright,East Central,136349,12165,112
2021-02-11,27173,Yellow Medicine,Southwest,9795,963,17
