date,day,new_cases,new_antigen_cases,new_tests,new_antigen_tests,positivity,new_hosp,new_icu,new_deaths,new_ltc_deaths,new_recovered,new_vax_doses,new_vax_onedose,new_vax_complete,new_vax_boosted,active_cases
2020-03-07,Saturday,1,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2020-03-08,Sunday,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2020-03-09,Monday,1,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2020-03-10,Tuesday,1,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2020-03-11,Wednesday,2,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2020-03-12,Thursday,4,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2020-03-13,Friday,5,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2020-03-14,Saturday,7,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2020-03-15,Sunday,14,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2020-03-16,Monday,19,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2020-03-17,Tuesday,6,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2020-03-18,Wednesday,17,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2020-03-19,Thursday,12,NA,NA,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA
2020-03-20,Friday,26,NA,NA,NA,0,NA,2,0,NA,NA,NA,NA,NA,NA,NA
2020-03-21,Saturday,22,NA,NA,NA,0,NA,1,1,NA,NA,NA,NA,NA,NA,NA
2020-03-22,Sunday,32,NA,NA,NA,0,5,0,0,NA,NA,NA,NA,NA,NA,NA
2020-03-23,Monday,66,NA,NA,NA,0,4,2,0,NA,NA,NA,NA,NA,NA,NA
2020-03-24,Tuesday,27,NA,NA,NA,0,4,5,0,NA,NA,NA,NA,NA,NA,NA
2020-03-25,Wednesday,25,NA,NA,NA,0,10,1,0,NA,NA,NA,NA,NA,NA,199
2020-03-26,Thursday,59,NA,NA,NA,0,6,4,1,NA,33,NA,NA,NA,NA,224
2020-03-27,Friday,52,NA,NA,NA,0,3,0,2,NA,10,NA,NA,NA,NA,264
2020-03-28,Saturday,43,NA,NA,NA,0,13,7,1,NA,85,NA,NA,NA,NA,221
2020-03-29,Sunday,62,NA,NA,NA,0,18,1,4,NA,28,NA,NA,NA,NA,251
2020-03-30,Monday,73,NA,1209,NA,0.060380479735318446,17,7,1,NA,7,NA,NA,NA,NA,316
