date,day,total_tests_old,total_deaths_old,total_recovered_old,total_people_tested,total_healthcare_positives
2020-03-06,Friday,NA,0,NA,36,NA
2020-03-07,Saturday,NA,0,NA,49,NA
2020-03-08,Sunday,NA,0,NA,49,NA
2020-03-09,Monday,NA,0,NA,82,NA
2020-03-10,Tuesday,NA,0,NA,135,NA
2020-03-11,Wednesday,NA,0,NA,222,NA
2020-03-12,Thursday,NA,0,NA,316,NA
2020-03-13,Friday,NA,0,NA,555,NA
2020-03-14,Saturday,NA,0,NA,868,NA
2020-03-15,Sunday,NA,0,NA,1422,NA
2020-03-16,Monday,NA,0,NA,1893,NA
2020-03-17,Tuesday,NA,0,NA,2336,NA
2020-03-18,Wednesday,NA,0,NA,2762,NA
2020-03-19,Thursday,NA,0,NA,3038,NA
2020-03-20,Friday,NA,0,NA,3856,NA
2020-03-21,Saturday,NA,1,NA,4090,NA
2020-03-22,Sunday,NA,1,NA,4680,NA
2020-03-23,Monday,NA,1,NA,4746,NA
2020-03-24,Tuesday,NA,1,NA,5812,NA
2020-03-25,Wednesday,NA,1,88,11475,NA
2020-03-26,Thursday,NA,2,122,12950,NA
2020-03-27,Friday,NA,4,134,14003,NA
2020-03-28,Saturday,NA,5,220,16129,NA
2020-03-29,Sunday,18082,9,252,17657,NA
2020-03-30,Monday,19291,10,260,18822,NA
2020-03-31,Tuesday,20335,12,288,19780,NA
2020-04-01,Wednesday,21851,17,342,21191,NA
2020-04-02,Thursday,22853,18,373,22394,NA
2020-04-03,Friday,24836,22,410,24227,NA
2020-04-04,Saturday,26182,24,440,25423,NA
2020-04-05,Sunday,27845,29,451,26777,NA
2020-04-06,Monday,29307,30,470,28128,NA
2020-04-07,Tuesday,30485,34,549,29260,NA
2020-04-08,Wednesday,32035,39,632,30753,NA
2020-04-09,Thursday,33488,50,675,32294,NA
2020-04-10,Friday,35318,57,732,33894,NA
2020-04-11,Saturday,37079,64,793,35777,NA
2020-04-12,Sunday,38705,70,827,37421,NA
2020-04-13,Monday,39895,70,842,38427,NA
2020-04-14,Tuesday,40680,79,909,39241,NA
2020-04-15,Wednesday,41871,87,940,40242,NA
2020-04-16,Thursday,43566,94,1020,41675,NA
2020-04-17,Friday,45021,111,1066,43053,NA
2020-04-18,Saturday,46487,121,1118,44368,NA
2020-04-19,Sunday,47968,134,1160,45716,NA
2020-04-20,Monday,49200,143,1202,46850,NA
2020-04-21,Tuesday,50042,160,1254,47697,NA
2020-04-22,Wednesday,51791,179,1317,49344,NA
2020-04-23,Thursday,53921,200,1536,51548,NA
2020-04-24,Friday,56412,221,1594,53787,NA
2020-04-25,Saturday,59491,244,1654,56597,NA
2020-04-26,Sunday,62107,272,1774,58987,NA
2020-04-27,Monday,64671,286,1842,61197,NA
2020-04-28,Tuesday,66689,301,1912,63609,NA
2020-04-29,Wednesday,70037,319,2043,66256,NA
2020-04-30,Thursday,77117,343,2172,69535,NA
2020-05-01,Friday,81463,371,2282,73659,NA
2020-05-02,Saturday,85949,395,2397,77560,NA
2020-05-03,Sunday,89789,419,3015,80883,NA
2020-05-04,Monday,92953,428,4212,84122,NA
2020-05-05,Tuesday,97021,455,4614,85959,NA
2020-05-06,Wednesday,100186,485,5005,90916,NA
2020-05-07,Thursday,104664,508,5308,95105,NA
2020-05-08,Friday,109678,534,5697,98954,NA
2020-05-09,Saturday,114555,558,6322,103947,NA
2020-05-10,Sunday,119468,578,6882,108772,NA
2020-05-11,Monday,124767,591,7536,113465,NA
2020-05-12,Tuesday,130069,614,8223,118518,NA
2020-05-13,Wednesday,134082,638,8787,122035,NA
2020-05-14,Thursday,141378,663,9136,128752,NA
2020-05-15,Friday,148111,683,9503,134669,NA
2020-05-16,Saturday,157240,700,10271,143281,NA
2020-05-17,Sunday,165209,722,10897,150605,NA
2020-05-18,Monday,171188,731,10764,156606,NA
2020-05-19,Tuesday,177577,748,11540,161835,NA
2020-05-20,Wednesday,183956,777,12227,167338,NA
2020-05-21,Thursday,190914,809,12488,173556,2120
2020-05-22,Friday,199193,842,12696,180971,2216
2020-05-23,Saturday,208916,852,13485,189493,2287
2020-05-24,Sunday,217810,869,14115,197964,2327
2020-05-25,Monday,224787,881,14816,204059,2373
2020-05-26,Tuesday,231437,899,15523,209898,2427
