date,day,cases_removed,total_tests,total_antigen_tests,total_positives_reinfections,total_antigen_positives,total_positives,total_recovered,total_deaths,total_ltc_deaths,total_hosp,total_icu,total_vax_onedose,total_vax_complete,total_vax_boosted,total_vax_doses,total_booster_doses,key_events
2020-03-06,Friday,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-07,Saturday,0,NA,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-08,Sunday,0,NA,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-09,Monday,0,NA,NA,NA,NA,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-10,Tuesday,0,NA,NA,NA,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-11,Wednesday,0,NA,NA,NA,NA,5,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-12,Thursday,0,NA,NA,NA,NA,9,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-13,Friday,0,NA,NA,NA,NA,14,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,State of emergency declared
2020-03-14,Saturday,0,NA,NA,NA,NA,21,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-15,Sunday,0,NA,NA,NA,NA,35,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,School closure order issued
2020-03-16,Monday,0,NA,NA,NA,NA,54,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17,Tuesday,0,NA,NA,NA,NA,60,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,Bars & restaurants close
2020-03-18,Wednesday,0,NA,NA,NA,NA,77,NA,0,NA,NA,1,NA,NA,NA,NA,NA,Schools close
2020-03-19,Thursday,0,NA,NA,NA,NA,89,NA,0,NA,NA,2,NA,NA,NA,NA,NA,NA
2020-03-20,Friday,0,NA,NA,NA,NA,115,NA,0,NA,NA,4,NA,NA,NA,NA,NA,NA
2020-03-21,Saturday,0,NA,NA,NA,NA,137,NA,1,NA,12,5,NA,NA,NA,NA,NA,NA
2020-03-22,Sunday,0,NA,NA,NA,NA,169,NA,1,NA,17,5,NA,NA,NA,NA,NA,NA
2020-03-23,Monday,0,NA,NA,NA,NA,235,NA,1,NA,21,7,NA,NA,NA,NA,NA,Count method changes
2020-03-24,Tuesday,0,NA,NA,NA,NA,262,NA,1,NA,25,12,NA,NA,NA,NA,NA,NA
2020-03-25,Wednesday,0,NA,NA,NA,NA,287,87,1,NA,35,13,NA,NA,NA,NA,NA,Mayo aids state testing
2020-03-26,Thursday,0,NA,NA,NA,NA,346,120,2,NA,41,17,NA,NA,NA,NA,NA,NA
2020-03-27,Friday,0,NA,NA,NA,NA,398,130,4,NA,44,17,NA,NA,NA,NA,NA,NA
2020-03-28,Saturday,0,NA,NA,NA,NA,441,215,5,NA,57,24,NA,NA,NA,NA,NA,Shelter-in-place takes effect
2020-03-29,Sunday,0,18081,NA,NA,NA,503,243,9,NA,75,25,NA,NA,NA,NA,NA,NA
2020-03-30,Monday,0,19290,NA,NA,NA,576,250,10,NA,92,32,NA,NA,NA,NA,NA,NA
2020-03-31,Tuesday,0,20335,NA,NA,NA,629,276,12,NA,112,40,NA,NA,NA,NA,NA,NA
2020-04-01,Wednesday,0,21852,NA,NA,NA,689,325,17,NA,122,49,NA,NA,NA,NA,NA,NA
2020-04-02,Thursday,0,22854,NA,NA,NA,742,355,18,NA,138,32,NA,NA,NA,NA,NA,NA
2020-04-03,Friday,0,24836,NA,NA,NA,789,388,22,NA,156,69,NA,NA,NA,NA,NA,NA
2020-04-04,Saturday,0,26183,NA,NA,NA,865,416,24,NA,180,77,NA,NA,NA,NA,NA,NA
2020-04-05,Sunday,0,27845,NA,NA,NA,935,422,29,NA,202,90,NA,NA,NA,NA,NA,NA
2020-04-06,Monday,0,29310,NA,NA,NA,986,440,30,NA,223,100,NA,NA,NA,NA,NA,NA
2020-04-07,Tuesday,0,30489,NA,NA,NA,1069,515,34,NA,242,105,NA,NA,NA,NA,NA,NA
2020-04-08,Wednesday,0,32040,NA,NA,NA,1154,593,39,NA,271,119,NA,NA,NA,NA,NA,NA
2020-04-09,Thursday,0,33493,NA,NA,NA,1242,625,50,NA,293,131,NA,NA,NA,NA,NA,NA
2020-04-10,Friday,0,35323,NA,NA,NA,1336,675,57,NA,317,138,NA,NA,NA,NA,NA,Shelter-in-place originally scheduled to end.
2020-04-11,Saturday,0,37079,NA,NA,NA,1427,729,64,NA,340,146,NA,NA,NA,NA,NA,NA
2020-04-12,Sunday,0,38704,NA,NA,NA,1536,757,70,NA,361,146,NA,NA,NA,NA,NA,Botched numbers
2020-04-13,Monday,0,39894,NA,NA,NA,1650,772,70,NA,361,155,NA,NA,NA,NA,NA,Questionable numbers
2020-04-14,Tuesday,0,40678,NA,NA,NA,1695,830,79,NA,405,175,NA,NA,NA,NA,NA,NA
2020-04-15,Wednesday,0,41869,NA,NA,NA,1809,853,87,NA,445,188,NA,NA,NA,NA,NA,NA
2020-04-16,Thursday,0,43564,NA,NA,NA,1912,926,94,NA,475,202,NA,NA,NA,NA,NA,NA
2020-04-17,Friday,0,45019,NA,NA,NA,2071,955,111,NA,518,215,NA,NA,NA,NA,NA,NA
2020-04-18,Saturday,0,46485,NA,NA,NA,2213,997,121,NA,561,226,NA,NA,NA,NA,NA,NA
2020-04-19,Sunday,0,47965,NA,NA,NA,2356,1026,134,NA,574,241,NA,NA,NA,NA,NA,NA
2020-04-20,Monday,0,49196,NA,NA,NA,2470,1059,143,NA,602,253,NA,NA,NA,NA,NA,NA
2020-04-21,Tuesday,0,50036,NA,NA,NA,2567,1094,160,NA,629,262,NA,NA,NA,NA,NA,NA
2020-04-22,Wednesday,0,51785,NA,NA,NA,2721,1138,179,NA,660,274,NA,NA,NA,NA,NA,NA
2020-04-23,Thursday,0,53914,NA,NA,NA,2942,1336,200,NA,712,281,NA,NA,NA,NA,NA,NA
2020-04-24,Friday,0,56402,NA,NA,NA,3185,1373,221,NA,756,291,NA,NA,NA,NA,NA,NA
2020-04-25,Saturday,0,59492,NA,NA,NA,3446,1410,244,NA,797,301,NA,NA,NA,NA,NA,NA
2020-04-26,Sunday,0,62110,NA,NA,NA,3602,1502,272,NA,829,316,NA,NA,NA,NA,NA,NA
2020-04-27,Monday,0,64673,NA,NA,NA,3816,1556,286,NA,861,324,NA,NA,NA,NA,NA,Restrictions eased on 22k businesses
2020-04-28,Tuesday,0,66690,NA,NA,NA,4181,1611,301,NA,912,337,NA,NA,NA,NA,NA,NA
2020-04-29,Wednesday,0,70037,NA,NA,NA,4644,1724,319,NA,950,358,NA,NA,NA,NA,NA,NA
2020-04-30,Thursday,0,77112,NA,NA,NA,5136,1829,343,NA,1044,380,NA,NA,NA,NA,NA,NA
2020-05-01,Friday,0,81457,NA,NA,NA,5730,1911,371,NA,1096,404,NA,NA,NA,NA,NA,NA
2020-05-02,Saturday,0,85940,NA,NA,NA,6228,2002,395,317,1159,426,NA,NA,NA,NA,NA,NA
2020-05-03,Sunday,0,89776,NA,NA,NA,6663,2596,419,338,1199,444,NA,NA,NA,NA,NA,NA
2020-05-04,Monday,0,92938,NA,NA,NA,7234,3784,428,345,1271,475,NA,NA,NA,NA,NA,NA
2020-05-05,Tuesday,0,97005,NA,NA,NA,7851,4159,455,368,1350,488,NA,NA,NA,NA,NA,"MDH says ""interface error"" caused error in reported tests"
2020-05-06,Wednesday,0,100171,NA,NA,NA,8579,4521,484,391,1405,512,NA,NA,NA,NA,NA,MDH says this number includes tests from day before
