date,day,new_cases,new_tests,new_icu,new_nonicu,new_hosp,new_deaths,positivity,cases_incomplete,deaths_incomplete
2020-03-05,Thursday,1,71,1,1,2,NA,0.014084507042253521,FALSE,FALSE
2020-03-06,Friday,0,46,0,0,0,NA,0,FALSE,FALSE
2020-03-07,Saturday,1,39,0,0,0,NA,0.02564102564102564,FALSE,FALSE
2020-03-08,Sunday,0,52,0,0,0,NA,0,FALSE,FALSE
2020-03-09,Monday,3,233,1,0,1,NA,0.012875536480686695,FALSE,FALSE
2020-03-10,Tuesday,6,243,0,0,0,NA,0.024691358024691357,FALSE,FALSE
2020-03-11,Wednesday,10,394,0,1,1,NA,0.025380710659898477,FALSE,FALSE
2020-03-12,Thursday,22,969,0,2,2,NA,0.022703818369453045,FALSE,FALSE
2020-03-13,Friday,19,916,0,0,0,NA,0.02074235807860262,FALSE,FALSE
2020-03-14,Saturday,28,761,0,1,1,NA,0.03679369250985545,FALSE,FALSE
2020-03-15,Sunday,39,954,0,2,2,NA,0.040880503144654086,FALSE,FALSE
2020-03-16,Monday,51,2394,0,4,4,NA,0.021303258145363407,FALSE,FALSE
2020-03-17,Tuesday,67,2423,0,2,2,NA,0.02765167148163434,FALSE,FALSE
2020-03-18,Wednesday,23,1069,2,1,3,NA,0.021515434985968196,FALSE,FALSE
2020-03-19,Thursday,18,971,1,9,10,1,0.018537590113285273,FALSE,FALSE
2020-03-20,Friday,16,1050,2,2,4,0,0.015238095238095238,FALSE,FALSE
2020-03-21,Saturday,24,665,1,5,6,0,0.03609022556390978,FALSE,FALSE
2020-03-22,Sunday,22,671,3,3,6,0,0.03278688524590164,FALSE,FALSE
2020-03-23,Monday,45,1801,0,8,8,0,0.02498611882287618,FALSE,FALSE
2020-03-24,Tuesday,51,1496,4,8,12,1,0.03409090909090909,FALSE,FALSE
2020-03-25,Wednesday,58,1577,6,8,14,1,0.03677869372225745,FALSE,FALSE
2020-03-26,Thursday,64,1519,9,15,24,1,0.04213298222514812,FALSE,FALSE
2020-03-27,Friday,75,1722,6,8,14,5,0.04355400696864112,FALSE,FALSE
2020-03-28,Saturday,47,989,11,8,19,3,0.047522750252780584,FALSE,FALSE
2020-03-29,Sunday,38,865,8,8,16,0,0.04393063583815029,FALSE,FALSE
2020-03-30,Monday,98,2029,4,8,12,5,0.04829965500246427,FALSE,FALSE
2020-03-31,Tuesday,94,1761,5,12,17,2,0.05337876206700738,FALSE,FALSE
2020-04-01,Wednesday,57,1787,10,15,25,5,0.0318970341354225,FALSE,FALSE
2020-04-02,Thursday,85,1854,12,12,24,3,0.04584681769147789,FALSE,FALSE
2020-04-03,Friday,63,1590,9,7,16,1,0.03962264150943396,FALSE,FALSE
2020-04-04,Saturday,38,905,4,8,12,5,0.041988950276243095,FALSE,FALSE
2020-04-05,Sunday,60,894,7,16,23,5,0.06711409395973154,FALSE,FALSE
2020-04-06,Monday,113,2024,7,16,23,10,0.055830039525691696,FALSE,FALSE
2020-04-07,Tuesday,103,1850,5,23,28,6,0.055675675675675676,FALSE,FALSE
2020-04-08,Wednesday,102,1723,7,13,20,7,0.0591990713871155,FALSE,FALSE
2020-04-09,Thursday,104,1590,16,14,30,8,0.06540880503144654,FALSE,FALSE
2020-04-10,Friday,94,1463,6,15,21,6,0.06425153793574846,FALSE,FALSE
2020-04-11,Saturday,75,818,7,9,16,4,0.09168704156479218,FALSE,FALSE
2020-04-12,Sunday,57,619,11,23,34,4,0.09208400646203554,FALSE,FALSE
2020-04-13,Monday,147,2015,10,16,26,10,0.07295285359801489,FALSE,FALSE
2020-04-14,Tuesday,156,1632,16,19,35,6,0.09558823529411764,FALSE,FALSE
2020-04-15,Wednesday,152,1683,9,33,42,17,0.0903149138443256,FALSE,FALSE
2020-04-16,Thursday,184,1781,11,17,28,10,0.10331274564851207,FALSE,FALSE
2020-04-17,Friday,180,1846,17,15,32,17,0.09750812567713976,FALSE,FALSE
2020-04-18,Saturday,123,1182,11,21,32,17,0.10406091370558376,FALSE,FALSE
2020-04-19,Sunday,126,1117,8,16,24,16,0.11280214861235452,FALSE,FALSE
2020-04-20,Monday,277,2632,13,25,38,21,0.10524316109422492,FALSE,FALSE
2020-04-21,Tuesday,263,2392,11,28,39,26,0.10994983277591973,FALSE,FALSE
2020-04-22,Wednesday,307,2430,11,37,48,21,0.12633744855967077,FALSE,FALSE
2020-04-23,Thursday,535,3301,11,35,46,19,0.16207209936382913,FALSE,FALSE
2020-04-24,Friday,523,3446,12,37,49,23,0.1517701683110853,FALSE,FALSE
2020-04-25,Saturday,340,2275,12,30,42,18,0.14945054945054945,FALSE,FALSE
2020-04-26,Sunday,386,2099,15,31,46,17,0.1838970938542163,FALSE,FALSE
2020-04-27,Monday,681,4853,14,47,61,21,0.14032557181125077,FALSE,FALSE
2020-04-28,Tuesday,608,4693,16,34,50,16,0.12955465587044535,FALSE,FALSE
2020-04-29,Wednesday,686,4869,22,43,65,29,0.14089135346066956,FALSE,FALSE
2020-04-30,Thursday,651,4547,19,39,58,18,0.1431713217506048,FALSE,FALSE
2020-05-01,Friday,623,4836,18,43,61,30,0.12882547559966914,FALSE,FALSE
2020-05-02,Saturday,338,2908,30,42,72,19,0.11623108665749655,FALSE,FALSE
2020-05-03,Sunday,340,2386,17,48,65,29,0.14249790444258173,FALSE,FALSE
2020-05-04,Monday,825,5934,23,37,60,23,0.1390293225480283,FALSE,FALSE
2020-05-05,Tuesday,650,5930,19,41,60,19,0.10961214165261383,FALSE,FALSE
2020-05-06,Wednesday,641,5906,25,45,70,25,0.10853369454791738,FALSE,FALSE
2020-05-07,Thursday,821,7164,21,38,59,30,0.11460078168620882,FALSE,FALSE
2020-05-08,Friday,712,6576,20,42,62,20,0.10827250608272507,FALSE,FALSE
2020-05-09,Saturday,280,3210,15,48,63,26,0.08722741433021806,FALSE,FALSE
2020-05-10,Sunday,230,2686,15,40,55,19,0.08562918838421445,FALSE,FALSE
2020-05-11,Monday,821,8532,18,43,61,25,0.09622597280825129,FALSE,FALSE
2020-05-12,Tuesday,662,7427,17,37,54,20,0.08913423993537094,FALSE,FALSE
2020-05-13,Wednesday,735,7697,17,55,72,22,0.09549175003248019,FALSE,FALSE
2020-05-14,Thursday,799,8571,13,47,60,20,0.09322132773305332,FALSE,FALSE
2020-05-15,Friday,803,9701,12,53,65,20,0.08277497165240696,FALSE,FALSE
2020-05-16,Saturday,346,4207,23,53,76,20,0.08224387924887093,FALSE,FALSE
2020-05-17,Sunday,313,3597,20,37,57,23,0.0870169585765916,FALSE,FALSE
2020-05-18,Monday,980,9621,19,50,69,18,0.10186051346013927,FALSE,FALSE
2020-05-19,Tuesday,861,9060,22,64,86,35,0.09503311258278145,FALSE,FALSE
2020-05-20,Wednesday,757,8679,25,56,81,24,0.08722203018780965,FALSE,FALSE
2020-05-21,Thursday,988,9674,16,68,84,17,0.10212941906140169,FALSE,FALSE
2020-05-22,Friday,790,10761,22,47,69,20,0.0734132515565468,FALSE,FALSE
2020-05-23,Saturday,402,5999,20,43,63,26,0.06701116852808801,FALSE,FALSE
2020-05-24,Sunday,359,7032,17,40,57,25,0.051052332195676904,FALSE,FALSE
2020-05-25,Monday,409,7244,15,52,67,30,0.05646051905024848,FALSE,FALSE
2020-05-26,Tuesday,802,12487,16,62,78,29,0.06422679586770241,FALSE,FALSE
2020-05-27,Wednesday,681,10957,20,41,61,25,0.06215204891849959,FALSE,FALSE
2020-05-28,Thursday,578,9467,25,28,53,21,0.061054188232808705,FALSE,FALSE
2020-05-29,Friday,460,9967,12,37,49,17,0.0461523025985753,FALSE,FALSE
2020-05-30,Saturday,169,3833,12,27,39,10,0.04409079050352205,FALSE,FALSE
2020-05-31,Sunday,142,3126,16,26,42,20,0.045425463851567496,FALSE,FALSE
2020-06-01,Monday,588,11384,16,46,62,23,0.05165144061841181,FALSE,FALSE
2020-06-02,Tuesday,488,12576,11,27,38,21,0.03880407124681934,FALSE,FALSE
