death_date,new_deaths,total_deaths,report_date,newly_reported_deaths
2020-03-19,1,1,2021-07-01,1
2020-03-20,0,1,2021-07-01,0
2020-03-21,0,1,2021-07-01,0
2020-03-22,0,1,2021-07-01,0
2020-03-23,0,1,2021-07-01,0
2020-03-24,1,2,2021-07-01,1
2020-03-25,1,3,2021-07-01,1
2020-03-26,1,4,2021-07-01,1
2020-03-27,5,9,2021-07-01,5
2020-03-28,3,12,2021-07-01,3
2020-03-29,0,12,2021-07-01,0
2020-03-30,5,17,2021-07-01,5
2020-03-31,2,19,2021-07-01,2
2020-04-01,5,24,2021-07-01,5
2020-04-02,3,27,2021-07-01,3
2020-04-03,1,28,2021-07-01,1
2020-04-04,5,33,2021-07-01,5
2020-04-05,5,38,2021-07-01,5
2020-04-06,10,48,2021-07-01,10
2020-04-07,6,54,2021-07-01,6
2020-04-08,7,61,2021-07-01,7
2020-04-09,8,69,2021-07-01,8
2020-04-10,6,75,2021-07-01,6
2020-04-11,4,79,2021-07-01,4
2020-04-12,4,83,2021-07-01,4
2020-04-13,10,93,2021-07-01,10
2020-04-14,6,99,2021-07-01,6
2020-04-15,17,116,2021-07-01,17
2020-04-16,10,126,2021-07-01,10
2020-04-17,17,143,2021-07-01,17
2020-04-18,17,160,2021-07-01,17
2020-04-19,16,176,2021-07-01,16
2020-04-20,21,197,2021-07-01,21
2020-04-21,26,223,2021-07-01,26
2020-04-22,21,244,2021-07-01,21
2020-04-23,19,263,2021-07-01,19
2020-04-24,23,286,2021-07-01,23
2020-04-25,18,304,2021-07-01,18
2020-04-26,17,321,2021-07-01,17
2020-04-27,21,342,2021-07-01,21
2020-04-28,16,358,2021-07-01,16
2020-04-29,29,387,2021-07-01,29
2020-04-30,18,405,2021-07-01,18
2020-05-01,30,435,2021-07-01,30
2020-05-02,19,454,2021-07-01,19
2020-05-03,29,483,2021-07-01,29
2020-05-04,23,506,2021-07-01,23
2020-05-05,19,525,2021-07-01,19
2020-05-06,25,550,2021-07-01,25
2020-05-07,30,580,2021-07-01,30
2020-05-08,20,600,2021-07-01,20
2020-05-09,26,626,2021-07-01,26
2020-05-10,19,645,2021-07-01,19
2020-05-11,25,670,2021-07-01,25
2020-05-12,20,690,2021-07-01,20
2020-05-13,22,712,2021-07-01,22
2020-05-14,20,732,2021-07-01,20
2020-05-15,20,752,2021-07-01,20
2020-05-16,20,772,2021-07-01,20
2020-05-17,23,795,2021-07-01,23
2020-05-18,18,813,2021-07-01,18
2020-05-19,35,848,2021-07-01,35
2020-05-20,24,872,2021-07-01,24
2020-05-21,17,889,2021-07-01,17
2020-05-22,20,909,2021-07-01,20
2020-05-23,26,935,2021-07-01,26
2020-05-24,25,960,2021-07-01,25
2020-05-25,30,990,2021-07-01,30
2020-05-26,29,1019,2021-07-01,29
2020-05-27,25,1044,2021-07-01,25
2020-05-28,21,1065,2021-07-01,21
2020-05-29,17,1082,2021-07-01,17
2020-05-30,11,1093,2021-07-01,11
2020-05-31,20,1113,2021-07-01,20
2020-06-01,23,1136,2021-07-01,23
2020-06-02,21,1157,2021-07-01,21
2020-06-03,25,1182,2021-07-01,25
2020-06-04,26,1208,2021-07-01,26
2020-06-05,18,1226,2021-07-01,18
2020-06-06,12,1238,2021-07-01,12
2020-06-07,22,1260,2021-07-01,22
2020-06-08,12,1272,2021-07-01,12
2020-06-09,13,1285,2021-07-01,13
2020-06-10,10,1295,2021-07-01,10
2020-06-11,12,1307,2021-07-01,12
2020-06-12,11,1318,2021-07-01,11
2020-06-13,13,1331,2021-07-01,13
2020-06-14,11,1342,2021-07-01,11
2020-06-15,8,1350,2021-07-01,8
2020-06-16,8,1358,2021-07-01,8
2020-06-17,17,1375,2021-07-01,17
2020-06-18,9,1384,2021-07-01,9
2020-06-19,8,1392,2021-07-01,8
2020-06-20,12,1404,2021-07-01,12
2020-06-21,11,1415,2021-07-01,11
2020-06-22,6,1421,2021-07-01,6
2020-06-23,10,1431,2021-07-01,10
2020-06-24,1,1432,2021-07-01,1
2020-06-25,9,1441,2021-07-01,9
2020-06-26,6,1447,2021-07-01,6
2020-06-27,5,1452,2021-07-01,5
2020-06-28,11,1463,2021-07-01,11
2020-06-29,7,1470,2021-07-01,7
2020-06-30,9,1479,2021-07-01,9
2020-07-01,2,1481,2021-07-01,2
2020-07-02,3,1484,2021-07-01,3
2020-07-03,5,1489,2021-07-01,5
2020-07-04,4,1493,2021-07-01,4
2020-07-05,6,1499,2021-07-01,6
2020-07-06,4,1503,2021-07-01,4
2020-07-07,2,1505,2021-07-01,2
2020-07-08,9,1514,2021-07-01,9
2020-07-09,4,1518,2021-07-01,4
2020-07-10,3,1521,2021-07-01,3
2020-07-11,4,1525,2021-07-01,4
2020-07-12,6,1531,2021-07-01,6
2020-07-13,2,1533,2021-07-01,2
2020-07-14,6,1539,2021-07-01,6
2020-07-15,7,1546,2021-07-01,7
2020-07-16,3,1549,2021-07-01,3
2020-07-17,7,1556,2021-07-01,7
2020-07-18,6,1562,2021-07-01,6
2020-07-19,5,1567,2021-07-01,5
2020-07-20,3,1570,2021-07-01,3
2020-07-21,6,1576,2021-07-01,6
2020-07-22,5,1581,2021-07-01,5
2020-07-23,8,1589,2021-07-01,8
2020-07-24,6,1595,2021-07-01,6
2020-07-25,2,1597,2021-07-01,2
2020-07-26,5,1602,2021-07-01,5
2020-07-27,5,1607,2021-07-01,5
2020-07-28,7,1614,2021-07-01,7
2020-07-29,3,1617,2021-07-01,3
2020-07-30,6,1623,2021-07-01,6
2020-07-31,9,1632,2021-07-01,9
2020-08-01,4,1636,2021-07-01,4
2020-08-02,7,1643,2021-07-01,7
2020-08-03,4,1647,2021-07-01,4
2020-08-04,7,1654,2021-07-01,7
2020-08-05,8,1662,2021-07-01,8
2020-08-06,9,1671,2021-07-01,9
2020-08-07,7,1678,2021-07-01,7
2020-08-08,6,1684,2021-07-01,6
2020-08-09,10,1694,2021-07-01,10
2020-08-10,3,1697,2021-07-01,3
2020-08-11,9,1706,2021-07-01,9
2020-08-12,7,1713,2021-07-01,7
2020-08-13,5,1718,2021-07-01,5
2020-08-14,9,1727,2021-07-01,9
2020-08-15,13,1740,2021-07-01,13
2020-08-16,13,1753,2021-07-01,13
2020-08-17,6,1759,2021-07-01,6
2020-08-18,11,1770,2021-07-01,11
2020-08-19,3,1773,2021-07-01,3
2020-08-20,10,1783,2021-07-01,10
2020-08-21,12,1795,2021-07-01,12
2020-08-22,9,1804,2021-07-01,9
2020-08-23,7,1811,2021-07-01,7
2020-08-24,9,1820,2021-07-01,9
2020-08-25,4,1824,2021-07-01,4
2020-08-26,3,1827,2021-07-01,3
