year,week,mmwr_startdate,mmwr_enddate,report_date,age_group,pop_size,new_deaths,new_deaths_7day
2020,10,2020-03-01,2020-03-07,2022-09-22,0-4,351664,0,0
2020,10,2020-03-01,2020-03-07,2022-09-22,12-17,433734,0,0
2020,10,2020-03-01,2020-03-07,2022-09-22,18-49,2294817,0,0
2020,10,2020-03-01,2020-03-07,2022-09-22,5-11,509735,0,0
2020,10,2020-03-01,2020-03-07,2022-09-22,50-64,1114015,0,0
2020,10,2020-03-01,2020-03-07,2022-09-22,65+,858698,0,0
2020,10,2020-03-01,2020-03-07,2022-09-22,Total,5562663,0,0
2020,11,2020-03-08,2020-03-14,2022-09-22,0-4,351664,0,0
2020,11,2020-03-08,2020-03-14,2022-09-22,12-17,433734,0,0
2020,11,2020-03-08,2020-03-14,2022-09-22,18-49,2294817,0,0
2020,11,2020-03-08,2020-03-14,2022-09-22,5-11,509735,0,0
2020,11,2020-03-08,2020-03-14,2022-09-22,50-64,1114015,0,0
2020,11,2020-03-08,2020-03-14,2022-09-22,65+,858698,0,0
2020,11,2020-03-08,2020-03-14,2022-09-22,Total,5562663,0,0
2020,12,2020-03-15,2020-03-21,2022-09-22,0-4,351664,0,0
2020,12,2020-03-15,2020-03-21,2022-09-22,12-17,433734,0,0
2020,12,2020-03-15,2020-03-21,2022-09-22,18-49,2294817,0,0
2020,12,2020-03-15,2020-03-21,2022-09-22,5-11,509735,0,0
2020,12,2020-03-15,2020-03-21,2022-09-22,50-64,1114015,0,0
2020,12,2020-03-15,2020-03-21,2022-09-22,65+,858698,1,0.1
2020,12,2020-03-15,2020-03-21,2022-09-22,Total,5562663,1,0
2020,13,2020-03-22,2020-03-28,2022-09-22,0-4,351664,0,0
2020,13,2020-03-22,2020-03-28,2022-09-22,12-17,433734,0,0
2020,13,2020-03-22,2020-03-28,2022-09-22,18-49,2294817,0,0
2020,13,2020-03-22,2020-03-28,2022-09-22,5-11,509735,0,0
2020,13,2020-03-22,2020-03-28,2022-09-22,50-64,1114015,1,0.1
2020,13,2020-03-22,2020-03-28,2022-09-22,65+,858698,10,1.2
2020,13,2020-03-22,2020-03-28,2022-09-22,Total,5562663,11,0.2
2020,14,2020-03-29,2020-04-04,2022-09-22,0-4,351664,0,0
2020,14,2020-03-29,2020-04-04,2022-09-22,12-17,433734,0,0
2020,14,2020-03-29,2020-04-04,2022-09-22,18-49,2294817,0,0
2020,14,2020-03-29,2020-04-04,2022-09-22,5-11,509735,0,0
2020,14,2020-03-29,2020-04-04,2022-09-22,50-64,1114015,1,0.1
2020,14,2020-03-29,2020-04-04,2022-09-22,65+,858698,20,2.3
2020,14,2020-03-29,2020-04-04,2022-09-22,Total,5562663,21,0.4
2020,15,2020-04-05,2020-04-11,2022-09-22,0-4,351664,0,0
2020,15,2020-04-05,2020-04-11,2022-09-22,12-17,433734,0,0
2020,15,2020-04-05,2020-04-11,2022-09-22,18-49,2294817,0,0
2020,15,2020-04-05,2020-04-11,2022-09-22,5-11,509735,0,0
2020,15,2020-04-05,2020-04-11,2022-09-22,50-64,1114015,3,0.3
2020,15,2020-04-05,2020-04-11,2022-09-22,65+,858698,43,5
2020,15,2020-04-05,2020-04-11,2022-09-22,Total,5562663,46,0.8
2020,16,2020-04-12,2020-04-18,2022-09-22,0-4,351664,0,0
2020,16,2020-04-12,2020-04-18,2022-09-22,12-17,433734,0,0
2020,16,2020-04-12,2020-04-18,2022-09-22,18-49,2294817,0,0
2020,16,2020-04-12,2020-04-18,2022-09-22,5-11,509735,0,0
2020,16,2020-04-12,2020-04-18,2022-09-22,50-64,1114015,9,0.8
2020,16,2020-04-12,2020-04-18,2022-09-22,65+,858698,72,8.4
2020,16,2020-04-12,2020-04-18,2022-09-22,Total,5562663,81,1.5
2020,17,2020-04-19,2020-04-25,2022-09-22,0-4,351664,0,0
2020,17,2020-04-19,2020-04-25,2022-09-22,12-17,433734,0,0
2020,17,2020-04-19,2020-04-25,2022-09-22,18-49,2294817,2,0.1
2020,17,2020-04-19,2020-04-25,2022-09-22,5-11,509735,0,0
2020,17,2020-04-19,2020-04-25,2022-09-22,50-64,1114015,17,1.5
2020,17,2020-04-19,2020-04-25,2022-09-22,65+,858698,125,14.6
2020,17,2020-04-19,2020-04-25,2022-09-22,Total,5562663,144,2.6
2020,18,2020-04-26,2020-05-02,2022-09-22,0-4,351664,0,0
2020,18,2020-04-26,2020-05-02,2022-09-22,12-17,433734,0,0
2020,18,2020-04-26,2020-05-02,2022-09-22,18-49,2294817,3,0.1
2020,18,2020-04-26,2020-05-02,2022-09-22,5-11,509735,0,0
2020,18,2020-04-26,2020-05-02,2022-09-22,50-64,1114015,12,1.1
2020,18,2020-04-26,2020-05-02,2022-09-22,65+,858698,135,15.7
2020,18,2020-04-26,2020-05-02,2022-09-22,Total,5562663,150,2.7
2020,19,2020-05-03,2020-05-09,2022-09-22,0-4,351664,0,0
2020,19,2020-05-03,2020-05-09,2022-09-22,12-17,433734,0,0
2020,19,2020-05-03,2020-05-09,2022-09-22,18-49,2294817,2,0.1
2020,19,2020-05-03,2020-05-09,2022-09-22,5-11,509735,0,0
2020,19,2020-05-03,2020-05-09,2022-09-22,50-64,1114015,20,1.8
2020,19,2020-05-03,2020-05-09,2022-09-22,65+,858698,150,17.5
2020,19,2020-05-03,2020-05-09,2022-09-22,Total,5562663,172,3.1
2020,20,2020-05-10,2020-05-16,2022-09-22,0-4,351664,0,0
2020,20,2020-05-10,2020-05-16,2022-09-22,12-17,433734,0,0
2020,20,2020-05-10,2020-05-16,2022-09-22,18-49,2294817,3,0.1
2020,20,2020-05-10,2020-05-16,2022-09-22,5-11,509735,0,0
2020,20,2020-05-10,2020-05-16,2022-09-22,50-64,1114015,10,0.9
2020,20,2020-05-10,2020-05-16,2022-09-22,65+,858698,133,15.5
2020,20,2020-05-10,2020-05-16,2022-09-22,Total,5562663,146,2.6
2020,21,2020-05-17,2020-05-23,2022-09-22,0-4,351664,0,0
2020,21,2020-05-17,2020-05-23,2022-09-22,12-17,433734,0,0
2020,21,2020-05-17,2020-05-23,2022-09-22,18-49,2294817,2,0.1
2020,21,2020-05-17,2020-05-23,2022-09-22,5-11,509735,0,0
2020,21,2020-05-17,2020-05-23,2022-09-22,50-64,1114015,19,1.7
2020,21,2020-05-17,2020-05-23,2022-09-22,65+,858698,142,16.5
2020,21,2020-05-17,2020-05-23,2022-09-22,Total,5562663,163,2.9
2020,22,2020-05-24,2020-05-30,2022-09-22,0-4,351664,0,0
2020,22,2020-05-24,2020-05-30,2022-09-22,12-17,433734,0,0
2020,22,2020-05-24,2020-05-30,2022-09-22,18-49,2294817,7,0.3
2020,22,2020-05-24,2020-05-30,2022-09-22,5-11,509735,0,0
2020,22,2020-05-24,2020-05-30,2022-09-22,50-64,1114015,12,1.1
2020,22,2020-05-24,2020-05-30,2022-09-22,65+,858698,139,16.2
2020,22,2020-05-24,2020-05-30,2022-09-22,Total,5562663,158,2.8
2020,23,2020-05-31,2020-06-06,2022-09-22,0-4,351664,0,0
2020,23,2020-05-31,2020-06-06,2022-09-22,12-17,433734,0,0
2020,23,2020-05-31,2020-06-06,2022-09-22,18-49,2294817,5,0.2
2020,23,2020-05-31,2020-06-06,2022-09-22,5-11,509735,0,0
2020,23,2020-05-31,2020-06-06,2022-09-22,50-64,1114015,8,0.7
2020,23,2020-05-31,2020-06-06,2022-09-22,65+,858698,132,15.4
2020,23,2020-05-31,2020-06-06,2022-09-22,Total,5562663,145,2.6
2020,24,2020-06-07,2020-06-13,2022-09-22,0-4,351664,0,0
2020,24,2020-06-07,2020-06-13,2022-09-22,12-17,433734,0,0
2020,24,2020-06-07,2020-06-13,2022-09-22,18-49,2294817,1,0
2020,24,2020-06-07,2020-06-13,2022-09-22,5-11,509735,0,0
2020,24,2020-06-07,2020-06-13,2022-09-22,50-64,1114015,13,1.2
2020,24,2020-06-07,2020-06-13,2022-09-22,65+,858698,79,9.2
2020,24,2020-06-07,2020-06-13,2022-09-22,Total,5562663,93,1.7
2020,25,2020-06-14,2020-06-20,2022-09-22,0-4,351664,0,0
2020,25,2020-06-14,2020-06-20,2022-09-22,12-17,433734,0,0
2020,25,2020-06-14,2020-06-20,2022-09-22,18-49,2294817,3,0.1
2020,25,2020-06-14,2020-06-20,2022-09-22,5-11,509735,0,0
2020,25,2020-06-14,2020-06-20,2022-09-22,50-64,1114015,12,1.1
2020,25,2020-06-14,2020-06-20,2022-09-22,65+,858698,59,6.9
2020,25,2020-06-14,2020-06-20,2022-09-22,Total,5562663,74,1.3
2020,26,2020-06-21,2020-06-27,2022-09-22,0-4,351664,1,0.3
2020,26,2020-06-21,2020-06-27,2022-09-22,12-17,433734,0,0
2020,26,2020-06-21,2020-06-27,2022-09-22,18-49,2294817,2,0.1
2020,26,2020-06-21,2020-06-27,2022-09-22,5-11,509735,0,0
2020,26,2020-06-21,2020-06-27,2022-09-22,50-64,1114015,7,0.6
2020,26,2020-06-21,2020-06-27,2022-09-22,65+,858698,38,4.4
2020,26,2020-06-21,2020-06-27,2022-09-22,Total,5562663,48,0.9
2020,27,2020-06-28,2020-07-04,2022-09-22,0-4,351664,0,0
2020,27,2020-06-28,2020-07-04,2022-09-22,12-17,433734,0,0
2020,27,2020-06-28,2020-07-04,2022-09-22,18-49,2294817,2,0.1
2020,27,2020-06-28,2020-07-04,2022-09-22,5-11,509735,0,0
2020,27,2020-06-28,2020-07-04,2022-09-22,50-64,1114015,6,0.5
2020,27,2020-06-28,2020-07-04,2022-09-22,65+,858698,33,3.8
2020,27,2020-06-28,2020-07-04,2022-09-22,Total,5562663,41,0.7
2020,28,2020-07-05,2020-07-11,2022-09-22,0-4,351664,0,0
2020,28,2020-07-05,2020-07-11,2022-09-22,12-17,433734,0,0
2020,28,2020-07-05,2020-07-11,2022-09-22,18-49,2294817,2,0.1
2020,28,2020-07-05,2020-07-11,2022-09-22,5-11,509735,0,0
2020,28,2020-07-05,2020-07-11,2022-09-22,50-64,1114015,6,0.5
2020,28,2020-07-05,2020-07-11,2022-09-22,65+,858698,24,2.8
2020,28,2020-07-05,2020-07-11,2022-09-22,Total,5562663,32,0.6
2020,29,2020-07-12,2020-07-18,2022-09-22,0-4,351664,0,0
2020,29,2020-07-12,2020-07-18,2022-09-22,12-17,433734,0,0
2020,29,2020-07-12,2020-07-18,2022-09-22,18-49,2294817,2,0.1
2020,29,2020-07-12,2020-07-18,2022-09-22,5-11,509735,0,0
2020,29,2020-07-12,2020-07-18,2022-09-22,50-64,1114015,6,0.5
2020,29,2020-07-12,2020-07-18,2022-09-22,65+,858698,29,3.4
2020,29,2020-07-12,2020-07-18,2022-09-22,Total,5562663,37,0.7
2020,30,2020-07-19,2020-07-25,2022-09-22,0-4,351664,0,0
2020,30,2020-07-19,2020-07-25,2022-09-22,12-17,433734,0,0
2020,30,2020-07-19,2020-07-25,2022-09-22,18-49,2294817,2,0.1
2020,30,2020-07-19,2020-07-25,2022-09-22,5-11,509735,0,0
2020,30,2020-07-19,2020-07-25,2022-09-22,50-64,1114015,1,0.1
2020,30,2020-07-19,2020-07-25,2022-09-22,65+,858698,32,3.7
2020,30,2020-07-19,2020-07-25,2022-09-22,Total,5562663,35,0.6
2020,31,2020-07-26,2020-08-01,2022-09-22,0-4,351664,0,0
2020,31,2020-07-26,2020-08-01,2022-09-22,12-17,433734,0,0
2020,31,2020-07-26,2020-08-01,2022-09-22,18-49,2294817,5,0.2
2020,31,2020-07-26,2020-08-01,2022-09-22,5-11,509735,0,0
2020,31,2020-07-26,2020-08-01,2022-09-22,50-64,1114015,2,0.2
2020,31,2020-07-26,2020-08-01,2022-09-22,65+,858698,32,3.7
2020,31,2020-07-26,2020-08-01,2022-09-22,Total,5562663,39,0.7
2020,32,2020-08-02,2020-08-08,2022-09-22,0-4,351664,0,0
2020,32,2020-08-02,2020-08-08,2022-09-22,12-17,433734,0,0
2020,32,2020-08-02,2020-08-08,2022-09-22,18-49,2294817,2,0.1
2020,32,2020-08-02,2020-08-08,2022-09-22,5-11,509735,0,0
2020,32,2020-08-02,2020-08-08,2022-09-22,50-64,1114015,9,0.8
2020,32,2020-08-02,2020-08-08,2022-09-22,65+,858698,37,4.3
2020,32,2020-08-02,2020-08-08,2022-09-22,Total,5562663,48,0.9
2020,33,2020-08-09,2020-08-15,2022-09-22,0-4,351664,0,0
2020,33,2020-08-09,2020-08-15,2022-09-22,12-17,433734,0,0
2020,33,2020-08-09,2020-08-15,2022-09-22,18-49,2294817,5,0.2
2020,33,2020-08-09,2020-08-15,2022-09-22,5-11,509735,0,0
2020,33,2020-08-09,2020-08-15,2022-09-22,50-64,1114015,6,0.5
2020,33,2020-08-09,2020-08-15,2022-09-22,65+,858698,45,5.2
2020,33,2020-08-09,2020-08-15,2022-09-22,Total,5562663,56,1
2020,34,2020-08-16,2020-08-22,2022-09-22,0-4,351664,0,0
2020,34,2020-08-16,2020-08-22,2022-09-22,12-17,433734,0,0
2020,34,2020-08-16,2020-08-22,2022-09-22,18-49,2294817,1,0
2020,34,2020-08-16,2020-08-22,2022-09-22,5-11,509735,0,0
2020,34,2020-08-16,2020-08-22,2022-09-22,50-64,1114015,7,0.6
2020,34,2020-08-16,2020-08-22,2022-09-22,65+,858698,56,6.5
2020,34,2020-08-16,2020-08-22,2022-09-22,Total,5562663,64,1.2
2020,35,2020-08-23,2020-08-29,2022-09-22,0-4,351664,0,0
2020,35,2020-08-23,2020-08-29,2022-09-22,12-17,433734,0,0
2020,35,2020-08-23,2020-08-29,2022-09-22,18-49,2294817,0,0
2020,35,2020-08-23,2020-08-29,2022-09-22,5-11,509735,0,0
2020,35,2020-08-23,2020-08-29,2022-09-22,50-64,1114015,8,0.7
2020,35,2020-08-23,2020-08-29,2022-09-22,65+,858698,31,3.6
2020,35,2020-08-23,2020-08-29,2022-09-22,Total,5562663,39,0.7
2020,36,2020-08-30,2020-09-05,2022-09-22,0-4,351664,0,0
2020,36,2020-08-30,2020-09-05,2022-09-22,12-17,433734,0,0
2020,36,2020-08-30,2020-09-05,2022-09-22,18-49,2294817,2,0.1
2020,36,2020-08-30,2020-09-05,2022-09-22,5-11,509735,0,0
2020,36,2020-08-30,2020-09-05,2022-09-22,50-64,1114015,6,0.5
2020,36,2020-08-30,2020-09-05,2022-09-22,65+,858698,37,4.3
2020,36,2020-08-30,2020-09-05,2022-09-22,Total,5562663,45,0.8
2020,37,2020-09-06,2020-09-12,2022-09-22,0-4,351664,0,0
2020,37,2020-09-06,2020-09-12,2022-09-22,12-17,433734,0,0
2020,37,2020-09-06,2020-09-12,2022-09-22,18-49,2294817,1,0
2020,37,2020-09-06,2020-09-12,2022-09-22,5-11,509735,0,0
2020,37,2020-09-06,2020-09-12,2022-09-22,50-64,1114015,6,0.5
2020,37,2020-09-06,2020-09-12,2022-09-22,65+,858698,52,6.1
2020,37,2020-09-06,2020-09-12,2022-09-22,Total,5562663,59,1.1
2020,38,2020-09-13,2020-09-19,2022-09-22,0-4,351664,0,0
2020,38,2020-09-13,2020-09-19,2022-09-22,12-17,433734,0,0
2020,38,2020-09-13,2020-09-19,2022-09-22,18-49,2294817,0,0
2020,38,2020-09-13,2020-09-19,2022-09-22,5-11,509735,0,0
2020,38,2020-09-13,2020-09-19,2022-09-22,50-64,1114015,6,0.5
2020,38,2020-09-13,2020-09-19,2022-09-22,65+,858698,35,4.1
2020,38,2020-09-13,2020-09-19,2022-09-22,Total,5562663,41,0.7
2020,39,2020-09-20,2020-09-26,2022-09-22,0-4,351664,0,0
2020,39,2020-09-20,2020-09-26,2022-09-22,12-17,433734,0,0
2020,39,2020-09-20,2020-09-26,2022-09-22,18-49,2294817,1,0
2020,39,2020-09-20,2020-09-26,2022-09-22,5-11,509735,0,0
2020,39,2020-09-20,2020-09-26,2022-09-22,50-64,1114015,8,0.7
2020,39,2020-09-20,2020-09-26,2022-09-22,65+,858698,53,6.2
2020,39,2020-09-20,2020-09-26,2022-09-22,Total,5562663,62,1.1
2020,40,2020-09-27,2020-10-03,2022-09-22,0-4,351664,0,0
2020,40,2020-09-27,2020-10-03,2022-09-22,12-17,433734,0,0
2020,40,2020-09-27,2020-10-03,2022-09-22,18-49,2294817,1,0
2020,40,2020-09-27,2020-10-03,2022-09-22,5-11,509735,0,0
2020,40,2020-09-27,2020-10-03,2022-09-22,50-64,1114015,10,0.9
2020,40,2020-09-27,2020-10-03,2022-09-22,65+,858698,63,7.3
2020,40,2020-09-27,2020-10-03,2022-09-22,Total,5562663,74,1.3
2020,41,2020-10-04,2020-10-10,2022-09-22,0-4,351664,0,0
2020,41,2020-10-04,2020-10-10,2022-09-22,12-17,433734,0,0
2020,41,2020-10-04,2020-10-10,2022-09-22,18-49,2294817,2,0.1
2020,41,2020-10-04,2020-10-10,2022-09-22,5-11,509735,0,0
2020,41,2020-10-04,2020-10-10,2022-09-22,50-64,1114015,10,0.9
2020,41,2020-10-04,2020-10-10,2022-09-22,65+,858698,79,9.2
2020,41,2020-10-04,2020-10-10,2022-09-22,Total,5562663,91,1.6
2020,42,2020-10-11,2020-10-17,2022-09-22,0-4,351664,0,0
2020,42,2020-10-11,2020-10-17,2022-09-22,12-17,433734,0,0
2020,42,2020-10-11,2020-10-17,2022-09-22,18-49,2294817,0,0
2020,42,2020-10-11,2020-10-17,2022-09-22,5-11,509735,0,0
2020,42,2020-10-11,2020-10-17,2022-09-22,50-64,1114015,12,1.1
2020,42,2020-10-11,2020-10-17,2022-09-22,65+,858698,87,10.1
2020,42,2020-10-11,2020-10-17,2022-09-22,Total,5562663,99,1.8
2020,43,2020-10-18,2020-10-24,2022-09-22,0-4,351664,0,0
2020,43,2020-10-18,2020-10-24,2022-09-22,12-17,433734,0,0
2020,43,2020-10-18,2020-10-24,2022-09-22,18-49,2294817,4,0.2
2020,43,2020-10-18,2020-10-24,2022-09-22,5-11,509735,0,0
2020,43,2020-10-18,2020-10-24,2022-09-22,50-64,1114015,11,1
2020,43,2020-10-18,2020-10-24,2022-09-22,65+,858698,112,13
2020,43,2020-10-18,2020-10-24,2022-09-22,Total,5562663,127,2.3
2020,44,2020-10-25,2020-10-31,2022-09-22,0-4,351664,0,0
2020,44,2020-10-25,2020-10-31,2022-09-22,12-17,433734,0,0
2020,44,2020-10-25,2020-10-31,2022-09-22,18-49,2294817,4,0.2
2020,44,2020-10-25,2020-10-31,2022-09-22,5-11,509735,0,0
2020,44,2020-10-25,2020-10-31,2022-09-22,50-64,1114015,14,1.3
2020,44,2020-10-25,2020-10-31,2022-09-22,65+,858698,146,17
2020,44,2020-10-25,2020-10-31,2022-09-22,Total,5562663,164,2.9
2020,45,2020-11-01,2020-11-07,2022-09-22,0-4,351664,0,0
2020,45,2020-11-01,2020-11-07,2022-09-22,12-17,433734,0,0
2020,45,2020-11-01,2020-11-07,2022-09-22,18-49,2294817,5,0.2
2020,45,2020-11-01,2020-11-07,2022-09-22,5-11,509735,0,0
2020,45,2020-11-01,2020-11-07,2022-09-22,50-64,1114015,9,0.8
2020,45,2020-11-01,2020-11-07,2022-09-22,65+,858698,209,24.3
2020,45,2020-11-01,2020-11-07,2022-09-22,Total,5562663,223,4
2020,46,2020-11-08,2020-11-14,2022-09-22,0-4,351664,0,0
2020,46,2020-11-08,2020-11-14,2022-09-22,12-17,433734,0,0
2020,46,2020-11-08,2020-11-14,2022-09-22,18-49,2294817,4,0.2
2020,46,2020-11-08,2020-11-14,2022-09-22,5-11,509735,0,0
2020,46,2020-11-08,2020-11-14,2022-09-22,50-64,1114015,18,1.6
2020,46,2020-11-08,2020-11-14,2022-09-22,65+,858698,272,31.7
