year,week,mmwr_startdate,mmwr_enddate,report_date,race_ethnicity,pop_size,new_deaths,new_deaths_7day
2020,10,2020-03-01,2020-03-07,2022-08-11,American Indian,59651,0,0
2020,10,2020-03-01,2020-03-07,2022-08-11,Asian/Pacific Islander,288741,0,0
2020,10,2020-03-01,2020-03-07,2022-08-11,Black/African American,379408,0,0
2020,10,2020-03-01,2020-03-07,2022-08-11,Hispanic,312653,0,0
2020,10,2020-03-01,2020-03-07,2022-08-11,Multiracial,128987,0,0
2020,10,2020-03-01,2020-03-07,2022-08-11,White,4393223,0,0
2020,11,2020-03-08,2020-03-14,2022-08-11,American Indian,59651,0,0
2020,11,2020-03-08,2020-03-14,2022-08-11,Asian/Pacific Islander,288741,0,0
2020,11,2020-03-08,2020-03-14,2022-08-11,Black/African American,379408,0,0
2020,11,2020-03-08,2020-03-14,2022-08-11,Hispanic,312653,0,0
2020,11,2020-03-08,2020-03-14,2022-08-11,Multiracial,128987,0,0
2020,11,2020-03-08,2020-03-14,2022-08-11,White,4393223,0,0
2020,12,2020-03-15,2020-03-21,2022-08-11,American Indian,59651,0,0
2020,12,2020-03-15,2020-03-21,2022-08-11,Asian/Pacific Islander,288741,1,0.3
2020,12,2020-03-15,2020-03-21,2022-08-11,Black/African American,379408,0,0
2020,12,2020-03-15,2020-03-21,2022-08-11,Hispanic,312653,0,0
2020,12,2020-03-15,2020-03-21,2022-08-11,Multiracial,128987,0,0
2020,12,2020-03-15,2020-03-21,2022-08-11,White,4393223,0,0
2020,13,2020-03-22,2020-03-28,2022-08-11,American Indian,59651,0,0
2020,13,2020-03-22,2020-03-28,2022-08-11,Asian/Pacific Islander,288741,0,0
2020,13,2020-03-22,2020-03-28,2022-08-11,Black/African American,379408,0,0
2020,13,2020-03-22,2020-03-28,2022-08-11,Hispanic,312653,0,0
2020,13,2020-03-22,2020-03-28,2022-08-11,Multiracial,128987,0,0
2020,13,2020-03-22,2020-03-28,2022-08-11,White,4393223,11,0.3
2020,14,2020-03-29,2020-04-04,2022-08-11,American Indian,59651,0,0
2020,14,2020-03-29,2020-04-04,2022-08-11,Asian/Pacific Islander,288741,0,0
2020,14,2020-03-29,2020-04-04,2022-08-11,Black/African American,379408,0,0
2020,14,2020-03-29,2020-04-04,2022-08-11,Hispanic,312653,1,0.3
2020,14,2020-03-29,2020-04-04,2022-08-11,Multiracial,128987,0,0
2020,14,2020-03-29,2020-04-04,2022-08-11,White,4393223,20,0.5
2020,15,2020-04-05,2020-04-11,2022-08-11,American Indian,59651,1,1.7
2020,15,2020-04-05,2020-04-11,2022-08-11,Asian/Pacific Islander,288741,0,0
2020,15,2020-04-05,2020-04-11,2022-08-11,Black/African American,379408,1,0.3
2020,15,2020-04-05,2020-04-11,2022-08-11,Hispanic,312653,1,0.3
2020,15,2020-04-05,2020-04-11,2022-08-11,Multiracial,128987,0,0
2020,15,2020-04-05,2020-04-11,2022-08-11,White,4393223,43,1
2020,16,2020-04-12,2020-04-18,2022-08-11,American Indian,59651,2,3.4
2020,16,2020-04-12,2020-04-18,2022-08-11,Asian/Pacific Islander,288741,1,0.3
