year,week,mmwr_startdate,mmwr_enddate,report_date,sex,pop_size,new_deaths,new_deaths_7day
2020,10,2020-03-01,2020-03-07,2022-12-29,Female,2792505,0,0
2020,10,2020-03-01,2020-03-07,2022-12-29,Male,2770873,0,0
2020,10,2020-03-01,2020-03-07,2022-12-29,Total,5563378,0,0
2020,11,2020-03-08,2020-03-14,2022-12-29,Female,2792505,0,0
2020,11,2020-03-08,2020-03-14,2022-12-29,Male,2770873,0,0
2020,11,2020-03-08,2020-03-14,2022-12-29,Total,5563378,0,0
2020,12,2020-03-15,2020-03-21,2022-12-29,Female,2792505,1,0
2020,12,2020-03-15,2020-03-21,2022-12-29,Male,2770873,0,0
2020,12,2020-03-15,2020-03-21,2022-12-29,Total,5563378,1,0
2020,13,2020-03-22,2020-03-28,2022-12-29,Female,2792505,3,0.1
2020,13,2020-03-22,2020-03-28,2022-12-29,Male,2770873,8,0.3
2020,13,2020-03-22,2020-03-28,2022-12-29,Total,5563378,11,0.2
2020,14,2020-03-29,2020-04-04,2022-12-29,Female,2792505,9,0.3
2020,14,2020-03-29,2020-04-04,2022-12-29,Male,2770873,12,0.4
2020,14,2020-03-29,2020-04-04,2022-12-29,Total,5563378,21,0.4
2020,15,2020-04-05,2020-04-11,2022-12-29,Female,2792505,22,0.8
2020,15,2020-04-05,2020-04-11,2022-12-29,Male,2770873,24,0.9
2020,15,2020-04-05,2020-04-11,2022-12-29,Total,5563378,46,0.8
2020,16,2020-04-12,2020-04-18,2022-12-29,Female,2792505,33,1.2
2020,16,2020-04-12,2020-04-18,2022-12-29,Male,2770873,48,1.7
2020,16,2020-04-12,2020-04-18,2022-12-29,Total,5563378,81,1.5
2020,17,2020-04-19,2020-04-25,2022-12-29,Female,2792505,65,2.3
2020,17,2020-04-19,2020-04-25,2022-12-29,Male,2770873,79,2.9
2020,17,2020-04-19,2020-04-25,2022-12-29,Total,5563378,144,2.6
2020,18,2020-04-26,2020-05-02,2022-12-29,Female,2792505,77,2.8
2020,18,2020-04-26,2020-05-02,2022-12-29,Male,2770873,73,2.6
2020,18,2020-04-26,2020-05-02,2022-12-29,Total,5563378,150,2.7
2020,19,2020-05-03,2020-05-09,2022-12-29,Female,2792505,94,3.4
2020,19,2020-05-03,2020-05-09,2022-12-29,Male,2770873,78,2.8
2020,19,2020-05-03,2020-05-09,2022-12-29,Total,5563378,172,3.1
2020,20,2020-05-10,2020-05-16,2022-12-29,Female,2792505,79,2.8
2020,20,2020-05-10,2020-05-16,2022-12-29,Male,2770873,67,2.4
2020,20,2020-05-10,2020-05-16,2022-12-29,Total,5563378,146,2.6
2020,21,2020-05-17,2020-05-23,2022-12-29,Female,2792505,75,2.7
2020,21,2020-05-17,2020-05-23,2022-12-29,Male,2770873,88,3.2
2020,21,2020-05-17,2020-05-23,2022-12-29,Total,5563378,163,2.9
2020,22,2020-05-24,2020-05-30,2022-12-29,Female,2792505,83,3
2020,22,2020-05-24,2020-05-30,2022-12-29,Male,2770873,75,2.7
2020,22,2020-05-24,2020-05-30,2022-12-29,Total,5563378,158,2.8
2020,23,2020-05-31,2020-06-06,2022-12-29,Female,2792505,88,3.2
2020,23,2020-05-31,2020-06-06,2022-12-29,Male,2770873,57,2.1
2020,23,2020-05-31,2020-06-06,2022-12-29,Total,5563378,145,2.6
2020,24,2020-06-07,2020-06-13,2022-12-29,Female,2792505,47,1.7
2020,24,2020-06-07,2020-06-13,2022-12-29,Male,2770873,46,1.7
2020,24,2020-06-07,2020-06-13,2022-12-29,Total,5563378,93,1.7
2020,25,2020-06-14,2020-06-20,2022-12-29,Female,2792505,41,1.5
2020,25,2020-06-14,2020-06-20,2022-12-29,Male,2770873,33,1.2
2020,25,2020-06-14,2020-06-20,2022-12-29,Total,5563378,74,1.3
2020,26,2020-06-21,2020-06-27,2022-12-29,Female,2792505,27,1
2020,26,2020-06-21,2020-06-27,2022-12-29,Male,2770873,21,0.8
2020,26,2020-06-21,2020-06-27,2022-12-29,Total,5563378,48,0.9
2020,27,2020-06-28,2020-07-04,2022-12-29,Female,2792505,20,0.7
2020,27,2020-06-28,2020-07-04,2022-12-29,Male,2770873,21,0.8
2020,27,2020-06-28,2020-07-04,2022-12-29,Total,5563378,41,0.7
2020,28,2020-07-05,2020-07-11,2022-12-29,Female,2792505,17,0.6
2020,28,2020-07-05,2020-07-11,2022-12-29,Male,2770873,15,0.5
2020,28,2020-07-05,2020-07-11,2022-12-29,Total,5563378,32,0.6
2020,29,2020-07-12,2020-07-18,2022-12-29,Female,2792505,18,0.6
2020,29,2020-07-12,2020-07-18,2022-12-29,Male,2770873,19,0.7
2020,29,2020-07-12,2020-07-18,2022-12-29,Total,5563378,37,0.7
2020,30,2020-07-19,2020-07-25,2022-12-29,Female,2792505,17,0.6
2020,30,2020-07-19,2020-07-25,2022-12-29,Male,2770873,18,0.6
2020,30,2020-07-19,2020-07-25,2022-12-29,Total,5563378,35,0.6
2020,31,2020-07-26,2020-08-01,2022-12-29,Female,2792505,25,0.9
2020,31,2020-07-26,2020-08-01,2022-12-29,Male,2770873,14,0.5
2020,31,2020-07-26,2020-08-01,2022-12-29,Total,5563378,39,0.7
2020,32,2020-08-02,2020-08-08,2022-12-29,Female,2792505,22,0.8
2020,32,2020-08-02,2020-08-08,2022-12-29,Male,2770873,26,0.9
2020,32,2020-08-02,2020-08-08,2022-12-29,Total,5563378,48,0.9
2020,33,2020-08-09,2020-08-15,2022-12-29,Female,2792505,28,1
2020,33,2020-08-09,2020-08-15,2022-12-29,Male,2770873,28,1
2020,33,2020-08-09,2020-08-15,2022-12-29,Total,5563378,56,1
2020,34,2020-08-16,2020-08-22,2022-12-29,Female,2792505,26,0.9
