date,new_deaths,new_deaths_percap,outcome,report_date
2020-03-01,0,0,death,2023-05-11
2020-03-02,0,0,death,2023-05-11
2020-03-03,0,0,death,2023-05-11
2020-03-04,0,0,death,2023-05-11
2020-03-05,0,0,death,2023-05-11
2020-03-06,0,0,death,2023-05-11
2020-03-07,0,0,death,2023-05-11
2020-03-08,0,0,death,2023-05-11
2020-03-09,0,0,death,2023-05-11
2020-03-10,0,0,death,2023-05-11
2020-03-11,0,0,death,2023-05-11
2020-03-12,0,0,death,2023-05-11
2020-03-13,0,0,death,2023-05-11
2020-03-14,0,0,death,2023-05-11
2020-03-15,0,0,death,2023-05-11
2020-03-16,0,0,death,2023-05-11
2020-03-17,0,0,death,2023-05-11
2020-03-18,0,0,death,2023-05-11
2020-03-19,1,0.02,death,2023-05-11
2020-03-20,0,0,death,2023-05-11
2020-03-21,0,0,death,2023-05-11
2020-03-22,0,0,death,2023-05-11
2020-03-23,0,0,death,2023-05-11
2020-03-24,1,0.02,death,2023-05-11
2020-03-25,1,0.02,death,2023-05-11
2020-03-26,2,0.04,death,2023-05-11
2020-03-27,4,0.07,death,2023-05-11
2020-03-28,3,0.05,death,2023-05-11
2020-03-29,0,0,death,2023-05-11
2020-03-30,6,0.11,death,2023-05-11
2020-03-31,2,0.04,death,2023-05-11
2020-04-01,5,0.09,death,2023-05-11
2020-04-02,3,0.05,death,2023-05-11
2020-04-03,1,0.02,death,2023-05-11
2020-04-04,5,0.09,death,2023-05-11
2020-04-05,4,0.07,death,2023-05-11
2020-04-06,10,0.18,death,2023-05-11
2020-04-07,6,0.11,death,2023-05-11
2020-04-08,7,0.13,death,2023-05-11
2020-04-09,8,0.14,death,2023-05-11
2020-04-10,6,0.11,death,2023-05-11
2020-04-11,4,0.07,death,2023-05-11
2020-04-12,4,0.07,death,2023-05-11
2020-04-13,10,0.18,death,2023-05-11
2020-04-14,6,0.11,death,2023-05-11
2020-04-15,17,0.31,death,2023-05-11
2020-04-16,10,0.18,death,2023-05-11
2020-04-17,17,0.31,death,2023-05-11
2020-04-18,17,0.31,death,2023-05-11
2020-04-19,17,0.31,death,2023-05-11
2020-04-20,20,0.36,death,2023-05-11
2020-04-21,27,0.49,death,2023-05-11
2020-04-22,20,0.36,death,2023-05-11
2020-04-23,19,0.34,death,2023-05-11
2020-04-24,23,0.41,death,2023-05-11
2020-04-25,18,0.32,death,2023-05-11
2020-04-26,17,0.31,death,2023-05-11
2020-04-27,22,0.4,death,2023-05-11
2020-04-28,14,0.25,death,2023-05-11
2020-04-29,30,0.54,death,2023-05-11
2020-04-30,18,0.32,death,2023-05-11
2020-05-01,31,0.56,death,2023-05-11
2020-05-02,18,0.32,death,2023-05-11
2020-05-03,28,0.5,death,2023-05-11
2020-05-04,25,0.45,death,2023-05-11
2020-05-05,19,0.34,death,2023-05-11
2020-05-06,25,0.45,death,2023-05-11
2020-05-07,30,0.54,death,2023-05-11
2020-05-08,20,0.36,death,2023-05-11
2020-05-09,25,0.45,death,2023-05-11
2020-05-10,19,0.34,death,2023-05-11
2020-05-11,25,0.45,death,2023-05-11
2020-05-12,20,0.36,death,2023-05-11
2020-05-13,23,0.41,death,2023-05-11
2020-05-14,19,0.34,death,2023-05-11
2020-05-15,21,0.38,death,2023-05-11
2020-05-16,20,0.36,death,2023-05-11
2020-05-17,22,0.4,death,2023-05-11
2020-05-18,22,0.4,death,2023-05-11
2020-05-19,30,0.54,death,2023-05-11
2020-05-20,25,0.45,death,2023-05-11
2020-05-21,17,0.31,death,2023-05-11
2020-05-22,20,0.36,death,2023-05-11
2020-05-23,27,0.49,death,2023-05-11
2020-05-24,24,0.43,death,2023-05-11
2020-05-25,31,0.56,death,2023-05-11
2020-05-26,29,0.52,death,2023-05-11
2020-05-27,24,0.43,death,2023-05-11
2020-05-28,21,0.38,death,2023-05-11
2020-05-29,17,0.31,death,2023-05-11
2020-05-30,11,0.2,death,2023-05-11
2020-05-31,20,0.36,death,2023-05-11
2020-06-01,24,0.43,death,2023-05-11
2020-06-02,22,0.4,death,2023-05-11
2020-06-03,26,0.47,death,2023-05-11
2020-06-04,25,0.45,death,2023-05-11
2020-06-05,19,0.34,death,2023-05-11
2020-06-06,13,0.23,death,2023-05-11
2020-06-07,20,0.36,death,2023-05-11
2020-06-08,11,0.2,death,2023-05-11
2020-06-09,13,0.23,death,2023-05-11
2020-06-10,9,0.16,death,2023-05-11
2020-06-11,13,0.23,death,2023-05-11
2020-06-12,11,0.2,death,2023-05-11
2020-06-13,12,0.22,death,2023-05-11
2020-06-14,11,0.2,death,2023-05-11
2020-06-15,8,0.14,death,2023-05-11
2020-06-16,9,0.16,death,2023-05-11
2020-06-17,17,0.31,death,2023-05-11
2020-06-18,9,0.16,death,2023-05-11
2020-06-19,8,0.14,death,2023-05-11
2020-06-20,12,0.22,death,2023-05-11
2020-06-21,11,0.2,death,2023-05-11
2020-06-22,6,0.11,death,2023-05-11
2020-06-23,10,0.18,death,2023-05-11
2020-06-24,1,0.02,death,2023-05-11
2020-06-25,9,0.16,death,2023-05-11
2020-06-26,6,0.11,death,2023-05-11
2020-06-27,5,0.09,death,2023-05-11
2020-06-28,12,0.22,death,2023-05-11
2020-06-29,6,0.11,death,2023-05-11
2020-06-30,9,0.16,death,2023-05-11
2020-07-01,2,0.04,death,2023-05-11
2020-07-02,3,0.05,death,2023-05-11
2020-07-03,5,0.09,death,2023-05-11
2020-07-04,4,0.07,death,2023-05-11
2020-07-05,6,0.11,death,2023-05-11
2020-07-06,4,0.07,death,2023-05-11
2020-07-07,3,0.05,death,2023-05-11
2020-07-08,8,0.14,death,2023-05-11
2020-07-09,4,0.07,death,2023-05-11
2020-07-10,3,0.05,death,2023-05-11
2020-07-11,4,0.07,death,2023-05-11
2020-07-12,6,0.11,death,2023-05-11
2020-07-13,2,0.04,death,2023-05-11
2020-07-14,6,0.11,death,2023-05-11
2020-07-15,7,0.13,death,2023-05-11
2020-07-16,3,0.05,death,2023-05-11
2020-07-17,7,0.13,death,2023-05-11
2020-07-18,6,0.11,death,2023-05-11
2020-07-19,5,0.09,death,2023-05-11
2020-07-20,3,0.05,death,2023-05-11
2020-07-21,6,0.11,death,2023-05-11
2020-07-22,5,0.09,death,2023-05-11
2020-07-23,8,0.14,death,2023-05-11
2020-07-24,6,0.11,death,2023-05-11
2020-07-25,2,0.04,death,2023-05-11
2020-07-26,5,0.09,death,2023-05-11
2020-07-27,5,0.09,death,2023-05-11
2020-07-28,7,0.13,death,2023-05-11
2020-07-29,3,0.05,death,2023-05-11
2020-07-30,6,0.11,death,2023-05-11
2020-07-31,10,0.18,death,2023-05-11
2020-08-01,4,0.07,death,2023-05-11
2020-08-02,7,0.13,death,2023-05-11
2020-08-03,4,0.07,death,2023-05-11
2020-08-04,8,0.14,death,2023-05-11
2020-08-05,8,0.14,death,2023-05-11
2020-08-06,8,0.14,death,2023-05-11
2020-08-07,7,0.13,death,2023-05-11
2020-08-08,6,0.11,death,2023-05-11
2020-08-09,10,0.18,death,2023-05-11
2020-08-10,3,0.05,death,2023-05-11
2020-08-11,9,0.16,death,2023-05-11
2020-08-12,7,0.13,death,2023-05-11
