race,date,cases,pop
Native,2020-03-06,0,57046
Asian,2020-03-06,0,297460
Black,2020-03-06,0,392850
Hispanic,2020-03-06,0,345640
White,2020-03-06,1,4353880
Other,2020-03-06,0,259618
Native,2020-03-08,0,57046
Asian,2020-03-08,0,297460
Black,2020-03-08,0,392850
Hispanic,2020-03-08,0,345640
White,2020-03-08,2,4353880
Other,2020-03-08,0,259618
Native,2020-03-10,0,57046
Asian,2020-03-10,0,297460
Black,2020-03-10,0,392850
Hispanic,2020-03-10,0,345640
White,2020-03-10,3,4353880
Other,2020-03-10,0,259618
Native,2020-03-11,0,57046
Asian,2020-03-11,1,297460
Black,2020-03-11,0,392850
Hispanic,2020-03-11,0,345640
White,2020-03-11,4,4353880
Other,2020-03-11,0,259618
Native,2020-03-12,0,57046
Asian,2020-03-12,2,297460
Black,2020-03-12,0,392850
Hispanic,2020-03-12,0,345640
White,2020-03-12,7,4353880
Other,2020-03-12,0,259618
Native,2020-03-13,0,57046
Asian,2020-03-13,2,297460
Black,2020-03-13,1,392850
Hispanic,2020-03-13,0,345640
White,2020-03-13,10,4353880
Other,2020-03-13,0,259618
Native,2020-03-14,0,57046
Asian,2020-03-14,4,297460
Black,2020-03-14,1,392850
Hispanic,2020-03-14,0,345640
White,2020-03-14,15,4353880
Other,2020-03-14,0,259618
Native,2020-03-15,0,57046
Asian,2020-03-15,4,297460
Black,2020-03-15,1,392850
Hispanic,2020-03-15,1,345640
White,2020-03-15,27,4353880
Other,2020-03-15,0,259618
Native,2020-03-16,0,57046
Asian,2020-03-16,6,297460
Black,2020-03-16,1,392850
Hispanic,2020-03-16,1,345640
White,2020-03-16,41,4353880
Other,2020-03-16,1,259618
Native,2020-03-17,0,57046
Asian,2020-03-17,6,297460
Black,2020-03-17,1,392850
Hispanic,2020-03-17,1,345640
White,2020-03-17,47,4353880
Other,2020-03-17,1,259618
Native,2020-03-18,0,57046
Asian,2020-03-18,6,297460
Black,2020-03-18,2,392850
Hispanic,2020-03-18,1,345640
White,2020-03-18,61,4353880
Other,2020-03-18,1,259618
Native,2020-03-19,0,57046
Asian,2020-03-19,6,297460
Black,2020-03-19,3,392850
Hispanic,2020-03-19,1,345640
White,2020-03-19,71,4353880
Other,2020-03-19,1,259618
Native,2020-03-20,0,57046
Asian,2020-03-20,8,297460
Black,2020-03-20,5,392850
Hispanic,2020-03-20,1,345640
White,2020-03-20,91,4353880
Other,2020-03-20,1,259618
Native,2020-03-21,0,57046
Asian,2020-03-21,8,297460
Black,2020-03-21,9,392850
Hispanic,2020-03-21,1,345640
White,2020-03-21,109,4353880
Other,2020-03-21,2,259618
Native,2020-03-22,0,57046
Asian,2020-03-22,10,297460
Black,2020-03-22,9,392850
Hispanic,2020-03-22,4,345640
White,2020-03-22,132,4353880
Other,2020-03-22,2,259618
Native,2020-03-23,0,57046
Asian,2020-03-23,13,297460
Black,2020-03-23,11,392850
Hispanic,2020-03-23,6,345640
White,2020-03-23,182,4353880
Other,2020-03-23,3,259618
Native,2020-03-24,0,57046
Asian,2020-03-24,13,297460
Black,2020-03-24,13,392850
Hispanic,2020-03-24,9,345640
White,2020-03-24,211,4353880
Other,2020-03-24,3,259618
Native,2020-03-25,0,57046
Asian,2020-03-25,13,297460
Black,2020-03-25,14,392850
Hispanic,2020-03-25,10,345640
White,2020-03-25,230,4353880
Other,2020-03-25,4,259618
