year,week,age_group,new_hosp,mmwr_startdate,mmwr_enddate,pop_size,new_hosp_percap,outcome,report_date
2020,9,18-49,1,2020-02-23,2020-02-29,2294817,0.044,hospitalization,2023-11-16
2020,9,Total,1,2020-02-23,2020-02-29,5562663,0.018,hospitalization,2023-11-16
2020,10,0-4,0,2020-03-01,2020-03-07,351664,0,hospitalization,2023-11-16
2020,10,12-17,0,2020-03-01,2020-03-07,433734,0,hospitalization,2023-11-16
2020,10,18-49,0,2020-03-01,2020-03-07,2294817,0,hospitalization,2023-11-16
2020,10,5-11,0,2020-03-01,2020-03-07,509735,0,hospitalization,2023-11-16
2020,10,50-64,0,2020-03-01,2020-03-07,1114015,0,hospitalization,2023-11-16
2020,10,65-74,0,2020-03-01,2020-03-07,490739,0,hospitalization,2023-11-16
2020,10,75-84,0,2020-03-01,2020-03-07,252053,0,hospitalization,2023-11-16
2020,10,85+,0,2020-03-01,2020-03-07,115906,0,hospitalization,2023-11-16
2020,10,Total,0,2020-03-01,2020-03-07,5562663,0,hospitalization,2023-11-16
2020,11,0-4,0,2020-03-08,2020-03-14,351664,0,hospitalization,2023-11-16
2020,11,12-17,0,2020-03-08,2020-03-14,433734,0,hospitalization,2023-11-16
2020,11,18-49,1,2020-03-08,2020-03-14,2294817,0.044,hospitalization,2023-11-16
2020,11,5-11,0,2020-03-08,2020-03-14,509735,0,hospitalization,2023-11-16
2020,11,50-64,1,2020-03-08,2020-03-14,1114015,0.09,hospitalization,2023-11-16
2020,11,65-74,1,2020-03-08,2020-03-14,490739,0.204,hospitalization,2023-11-16
2020,11,75-84,1,2020-03-08,2020-03-14,252053,0.397,hospitalization,2023-11-16
2020,11,85+,1,2020-03-08,2020-03-14,115906,0.863,hospitalization,2023-11-16
2020,11,Total,5,2020-03-08,2020-03-14,5562663,0.09,hospitalization,2023-11-16
2020,12,0-4,0,2020-03-15,2020-03-21,351664,0,hospitalization,2023-11-16
2020,12,12-17,0,2020-03-15,2020-03-21,433734,0,hospitalization,2023-11-16
