date,percent_available,region_name,bed_type,total_capacity,total_available,in_use,percent_in_use,report_date
2022-09-10,0.056410256,Southeast,Adult Intensive Care Unit,195,11,184,0.943589744,2023-11-09
2020-11-28,0.075757576,Southeast,Adult Intensive Care Unit,198,15,183,0.924242424,2023-11-09
2021-11-11,0.068965517,Northwest,Adult Intensive Care Unit,29,2,27,0.931034483,2023-11-09
2023-10-15,0.077363897,Southeast,Medical and Surgical,1047,81,966,0.922636103,2023-11-09
2023-04-13,0.029469548,Metro,Adult Intensive Care Unit,509,15,494,0.970530452,2023-11-09
2021-07-12,0.314917127,Southwest,Medical and Surgical,362,114,248,0.685082873,2023-11-09
2020-12-13,0.101010101,Southeast,Adult Intensive Care Unit,198,20,178,0.898989899,2023-11-09
2020-11-25,0.142857143,Central,Pediatrics,28,4,24,0.857142857,2023-11-09
2022-08-24,0.25,Central,Pediatric Intensive Care Unit,4,1,3,0.75,2023-11-09
2022-04-25,0.163636364,Metro,Pediatric Intensive Care Unit,110,18,92,0.836363636,2023-11-09
2021-06-07,0.149492017,Northeast,Medical and Surgical,689,103,586,0.850507983,2023-11-09
2022-07-03,0.112068966,Northeast,Medical and Surgical,696,78,618,0.887931034,2023-11-09
2022-12-04,0.2,Northwest,Adult Intensive Care Unit,30,6,24,0.8,2023-11-09
2022-12-30,0.166666667,Northwest,Adult Intensive Care Unit,30,5,25,0.833333333,2023-11-09
2022-07-29,0.284153005,West Central,Medical and Surgical,183,52,131,0.715846995,2023-11-09
2022-03-19,0.260162602,South Central,Medical and Surgical,369,96,273,0.739837398,2023-11-09
2023-10-17,0.021611002,Metro,Adult Intensive Care Unit,509,11,498,0.978388998,2023-11-09
2023-06-01,0.103448276,Central,Pediatrics,29,3,26,0.896551724,2023-11-09
2021-02-01,0.083333333,Southeast,Pediatric Intensive Care Unit,24,2,22,0.916666667,2023-11-09
2023-04-06,0.258899676,Southwest,Medical and Surgical,309,80,229,0.741100324,2023-11-09
2020-09-21,0.2,Central,Pediatric Intensive Care Unit,5,1,4,0.8,2023-11-09
2022-08-26,0.041025641,Southeast,Adult Intensive Care Unit,195,8,187,0.958974359,2023-11-09
2021-11-26,0.103448276,Northwest,Adult Intensive Care Unit,29,3,26,0.896551724,2023-11-09
2021-07-07,0.064253394,Southeast,Medical and Surgical,1105,71,1034,0.935746606,2023-11-09
2022-06-28,0.212389381,Northwest,Medical and Surgical,226,48,178,0.787610619,2023-11-09
2022-12-05,0.045614035,Metro,Pediatrics,285,13,272,0.954385965,2023-11-09
2022-07-27,0.041025641,Southeast,Adult Intensive Care Unit,195,8,187,0.958974359,2023-11-09
2023-04-15,0.054441261,Southeast,Medical and Surgical,1047,57,990,0.945558739,2023-11-09
2020-12-25,0.083333333,Southeast,Pediatric Intensive Care Unit,24,2,22,0.916666667,2023-11-09
2021-12-15,0.034482759,Northwest,Adult Intensive Care Unit,29,1,28,0.965517241,2023-11-09
2023-01-18,0.1,Northwest,Adult Intensive Care Unit,30,3,27,0.9,2023-11-09
2021-02-14,0.041666667,Southeast,Pediatric Intensive Care Unit,24,1,23,0.958333333,2023-11-09
2022-10-17,0.043478261,Southeast,Pediatric Intensive Care Unit,23,1,22,0.956521739,2023-11-09
2023-11-07,0.05,Northwest,Pediatrics,20,1,19,0.95,2023-11-09
2020-09-16,0.25,South Central,Pediatrics,8,2,6,0.75,2023-11-09
2020-09-24,0.028049408,Metro,Medical and Surgical,3886,109,3777,0.971950592,2023-11-09
2021-05-30,0.110169492,Metro,Pediatrics,354,39,315,0.889830508,2023-11-09
2022-09-30,0.086956522,Southeast,Pediatric Intensive Care Unit,23,2,21,0.913043478,2023-11-09
2023-08-30,0.333333333,Southeast,Pediatrics,45,15,30,0.666666667,2023-11-09
2021-06-16,0.305785124,Northwest,Medical and Surgical,242,74,168,0.694214876,2023-11-09
2021-04-13,0.109090909,Metro,Pediatric Intensive Care Unit,110,12,98,0.890909091,2023-11-09
2023-10-15,0.103448276,Central,Pediatrics,29,3,26,0.896551724,2023-11-09
2023-10-24,0.28802589,Southwest,Medical and Surgical,309,89,220,0.71197411,2023-11-09
2021-11-15,0.039215686,Central,Adult Intensive Care Unit,102,4,98,0.960784314,2023-11-09
2021-03-09,0.317073171,South Central,Medical and Surgical,369,117,252,0.682926829,2023-11-09
2021-07-05,0.036585366,Metro,Adult Intensive Care Unit,574,21,553,0.963414634,2023-11-09
2022-11-12,0.086956522,Southeast,Pediatric Intensive Care Unit,23,2,21,0.913043478,2023-11-09
2022-08-15,0.071794872,Southeast,Adult Intensive Care Unit,195,14,181,0.928205128,2023-11-09
2022-01-03,0.103448276,Northwest,Adult Intensive Care Unit,29,3,26,0.896551724,2023-11-09
2020-10-21,0.111675127,Southeast,Adult Intensive Care Unit,197,22,175,0.888324873,2023-11-09
2022-10-30,0.086956522,Southeast,Pediatric Intensive Care Unit,23,2,21,0.913043478,2023-11-09
2021-01-11,0.083333333,Southeast,Pediatric Intensive Care Unit,24,2,22,0.916666667,2023-11-09
2022-12-19,0.076923077,Northwest,Adult Intensive Care Unit,26,2,24,0.923076923,2023-11-09
2020-11-05,0.431578947,West Central,Medical and Surgical,190,82,108,0.568421053,2023-11-09
2022-12-13,0.086538462,Central,Adult Intensive Care Unit,104,9,95,0.913461538,2023-11-09
2020-12-01,0.2,Central,Pediatric Intensive Care Unit,5,1,4,0.8,2023-11-09
2020-11-09,0.086294416,Southeast,Adult Intensive Care Unit,197,17,180,0.913705584,2023-11-09
2023-09-27,0.01661963,Metro,Medical and Surgical,3189,53,3136,0.98338037,2023-11-09
2021-01-29,0.355371901,Northwest,Medical and Surgical,242,86,156,0.644628099,2023-11-09
2023-08-12,0.125,Southwest,Pediatrics,16,2,14,0.875,2023-11-09
2022-01-07,0.166666667,Southeast,Pediatric Intensive Care Unit,24,4,20,0.833333333,2023-11-09
2023-04-10,0.153846154,Central,Adult Intensive Care Unit,104,16,88,0.846153846,2023-11-09
2022-07-19,0.166666667,Northwest,Adult Intensive Care Unit,30,5,25,0.833333333,2023-11-09
2022-12-09,0.249201278,Southwest,Medical and Surgical,313,78,235,0.750798722,2023-11-09
2021-11-11,0.236151603,Southwest,Medical and Surgical,343,81,262,0.763848397,2023-11-09
2022-11-28,0.029608405,Southeast,Medical and Surgical,1047,31,1016,0.970391595,2023-11-09
2021-12-26,0.045918367,Southeast,Adult Intensive Care Unit,196,9,187,0.954081633,2023-11-09
2020-10-13,0.40625,Northwest,Adult Intensive Care Unit,32,13,19,0.59375,2023-11-09
2021-12-07,0.045918367,Southeast,Adult Intensive Care Unit,196,9,187,0.954081633,2023-11-09
2023-02-25,0.173913043,Southeast,Pediatric Intensive Care Unit,23,4,19,0.826086957,2023-11-09
2021-11-18,0.028054299,Southeast,Medical and Surgical,1105,31,1074,0.971945701,2023-11-09
2023-11-06,0.095238095,Central,Medical and Surgical,693,66,627,0.904761905,2023-11-09
2022-11-09,0.231441048,Northwest,Medical and Surgical,229,53,176,0.768558952,2023-11-09
2022-11-23,0.137931034,Central,Pediatrics,29,4,25,0.862068966,2023-11-09
2021-06-03,0.107142857,Central,Pediatrics,28,3,25,0.892857143,2023-11-09
2022-12-11,0.030769231,Southeast,Adult Intensive Care Unit,195,6,189,0.969230769,2023-11-09
2021-07-16,0.225490196,Central,Adult Intensive Care Unit,102,23,79,0.774509804,2023-11-09
2023-03-14,0.086956522,Southeast,Pediatric Intensive Care Unit,23,2,21,0.913043478,2023-11-09
2023-01-30,0.086956522,Southeast,Pediatric Intensive Care Unit,23,2,21,0.913043478,2023-11-09
2020-10-04,0.227272727,Metro,Pediatric Intensive Care Unit,110,25,85,0.772727273,2023-11-09
2021-04-02,0.2,Central,Pediatric Intensive Care Unit,5,1,4,0.8,2023-11-09
2020-11-26,0.2,Metro,Pediatric Intensive Care Unit,110,22,88,0.8,2023-11-09
2021-02-09,0.181422351,Northeast,Medical and Surgical,689,125,564,0.818577649,2023-11-09
2022-11-02,0.086206897,Northeast,Medical and Surgical,696,60,636,0.913793103,2023-11-09
2023-01-10,0.046153846,Southeast,Adult Intensive Care Unit,195,9,186,0.953846154,2023-11-09
2021-11-03,0.035714286,Southeast,Adult Intensive Care Unit,196,7,189,0.964285714,2023-11-09
2023-02-12,0.260869565,Southeast,Pediatric Intensive Care Unit,23,6,17,0.739130435,2023-11-09
2022-02-27,0.125,Southeast,Pediatric Intensive Care Unit,24,3,21,0.875,2023-11-09
2022-04-28,0.2,Central,Pediatric Intensive Care Unit,5,1,4,0.8,2023-11-09
2021-11-20,0.005703422,Metro,Adult Intensive Care Unit,526,3,523,0.994296578,2023-11-09
2022-08-07,0.1,Northwest,Adult Intensive Care Unit,30,3,27,0.9,2023-11-09
2022-09-02,0.1,Northwest,Adult Intensive Care Unit,30,3,27,0.9,2023-11-09
2021-11-18,0.030612245,Southeast,Adult Intensive Care Unit,196,6,190,0.969387755,2023-11-09
2022-07-31,0.260586319,South Central,Medical and Surgical,307,80,227,0.739413681,2023-11-09
2022-11-26,0.066666667,Southeast,Adult Intensive Care Unit,195,13,182,0.933333333,2023-11-09
2022-11-30,0.021611002,Metro,Adult Intensive Care Unit,509,11,498,0.978388998,2023-11-09
2022-02-10,0.125,Southeast,Pediatric Intensive Care Unit,24,3,21,0.875,2023-11-09
2022-09-06,0.045454545,Metro,Pediatric Intensive Care Unit,110,5,105,0.954545455,2023-11-09
2020-11-01,0.258064516,Northwest,Adult Intensive Care Unit,31,8,23,0.741935484,2023-11-09
2022-03-29,0.289473684,West Central,Medical and Surgical,190,55,135,0.710526316,2023-11-09
2020-12-05,0.137931034,Northwest,Adult Intensive Care Unit,29,4,25,0.862068966,2023-11-09
2021-03-03,0.5,West Central,Medical and Surgical,190,95,95,0.5,2023-11-09
2020-11-20,0.068965517,Northwest,Adult Intensive Care Unit,29,2,27,0.931034483,2023-11-09
2022-01-20,0.083333333,Southeast,Pediatric Intensive Care Unit,24,2,22,0.916666667,2023-11-09
2022-12-22,0.066666667,Southeast,Adult Intensive Care Unit,195,13,182,0.933333333,2023-11-09
2020-11-21,0.124293785,Metro,Pediatrics,354,44,310,0.875706215,2023-11-09
2023-06-13,0.031578947,Metro,Pediatrics,285,9,276,0.968421053,2023-11-09
2023-10-28,0.163461538,Central,Adult Intensive Care Unit,104,17,87,0.836538462,2023-11-09
2020-10-22,0.305210918,South Central,Medical and Surgical,403,123,280,0.694789082,2023-11-09
2022-08-18,0.033333333,Northwest,Adult Intensive Care Unit,30,1,29,0.966666667,2023-11-09
2023-10-11,0.038596491,Metro,Pediatrics,285,11,274,0.961403509,2023-11-09
2023-10-05,0.25,South Central,Pediatrics,4,1,3,0.75,2023-11-09
2020-09-20,0.523809524,Southwest,Adult Intensive Care Unit,21,11,10,0.476190476,2023-11-09
2021-10-16,0.126637555,Northwest,Medical and Surgical,229,29,200,0.873362445,2023-11-09
2020-10-07,0.571428571,Southwest,Adult Intensive Care Unit,21,12,9,0.428571429,2023-11-09
2021-03-05,0.046712803,Metro,Adult Intensive Care Unit,578,27,551,0.953287197,2023-11-09
2023-07-20,0.117142857,Northeast,Medical and Surgical,700,82,618,0.882857143,2023-11-09
2021-07-17,0.344173442,South Central,Medical and Surgical,369,127,242,0.655826558,2023-11-09
2022-03-31,0.049429658,Metro,Adult Intensive Care Unit,526,26,500,0.950570342,2023-11-09
2020-09-15,0.52,South Central,Adult Intensive Care Unit,25,13,12,0.48,2023-11-09
2023-09-22,0.136363636,Northwest,Medical and Surgical,220,30,190,0.863636364,2023-11-09
2023-09-13,0.118571429,Northeast,Medical and Surgical,700,83,617,0.881428571,2023-11-09
2022-11-28,0.262295082,West Central,Medical and Surgical,183,48,135,0.737704918,2023-11-09
2021-12-26,0.2,Central,Pediatric Intensive Care Unit,5,1,4,0.8,2023-11-09
2022-11-26,0.176470588,West Central,Adult Intensive Care Unit,17,3,14,0.823529412,2023-11-09
2020-09-04,0.5,Northeast,Pediatrics,42,21,21,0.5,2023-11-09
2021-12-26,0.05,West Central,Adult Intensive Care Unit,20,1,19,0.95,2023-11-09
2021-11-18,0.05,West Central,Adult Intensive Care Unit,20,1,19,0.95,2023-11-09
2022-12-11,0.176470588,West Central,Adult Intensive Care Unit,17,3,14,0.823529412,2023-11-09
2023-01-05,0,Central,Pediatric Intensive Care Unit,4,0,4,1,2023-11-09
2021-03-03,0.095927602,Southeast,Medical and Surgical,1105,106,999,0.904072398,2023-11-09
2020-10-01,0.148717949,Central,Medical and Surgical,780,116,664,0.851282051,2023-11-09
2022-08-01,0.144230769,Central,Adult Intensive Care Unit,104,15,89,0.855769231,2023-11-09
2020-10-04,0.56,South Central,Adult Intensive Care Unit,25,14,11,0.44,2023-11-09
2021-04-29,0.081920904,Metro,Pediatrics,354,29,325,0.918079096,2023-11-09
2020-10-21,0.310679612,Central,Adult Intensive Care Unit,103,32,71,0.689320388,2023-11-09
2021-12-07,0.2,West Central,Adult Intensive Care Unit,20,4,16,0.8,2023-11-09
2021-11-03,0.45,West Central,Adult Intensive Care Unit,20,9,11,0.55,2023-11-09
2022-12-22,0.294117647,West Central,Adult Intensive Care Unit,17,5,12,0.705882353,2023-11-09
2023-01-03,0.077192982,Metro,Pediatrics,285,22,263,0.922807018,2023-11-09
2023-05-08,0.045454545,Metro,Pediatric Intensive Care Unit,110,5,105,0.954545455,2023-11-09
2023-07-11,0.15,Northwest,Medical and Surgical,220,33,187,0.85,2023-11-09
2022-03-24,0.279883382,Southwest,Medical and Surgical,343,96,247,0.720116618,2023-11-09
2023-08-20,0.05,Northwest,Pediatrics,20,1,19,0.95,2023-11-09
2020-10-21,0.214285714,Central,Pediatrics,28,6,22,0.785714286,2023-11-09
2021-03-12,0.325966851,Southwest,Medical and Surgical,362,118,244,0.674033149,2023-11-09
2023-07-04,0.172413793,Central,Pediatrics,29,5,24,0.827586207,2023-11-09
2023-01-10,0.176470588,West Central,Adult Intensive Care Unit,17,3,14,0.823529412,2023-11-09
2020-09-07,0.571428571,Southwest,Adult Intensive Care Unit,21,12,9,0.428571429,2023-11-09
2021-11-18,0.210526316,West Central,Medical and Surgical,190,40,150,0.789473684,2023-11-09
2022-03-29,0.041628959,Southeast,Medical and Surgical,1105,46,1059,0.958371041,2023-11-09
2023-10-29,0.249190939,South Central,Medical and Surgical,309,77,232,0.750809061,2023-11-09
2021-10-11,0.081277213,Northeast,Medical and Surgical,689,56,633,0.918722787,2023-11-09
2021-08-13,0.063636364,Metro,Pediatric Intensive Care Unit,110,7,103,0.936363636,2023-11-09
2023-03-20,0.270358306,South Central,Medical and Surgical,307,83,224,0.729641694,2023-11-09
2022-02-06,0.173441734,South Central,Medical and Surgical,369,64,305,0.826558266,2023-11-09
2023-09-11,0.300546448,West Central,Medical and Surgical,183,55,128,0.699453552,2023-11-09
2021-02-11,0.103167421,Southeast,Medical and Surgical,1105,114,991,0.896832579,2023-11-09
2023-05-21,0.125,Southwest,Pediatrics,16,2,14,0.875,2023-11-09
2023-01-25,0.1875,South Central,Adult Intensive Care Unit,32,6,26,0.8125,2023-11-09
2022-02-26,0.428571429,Northwest,Pediatrics,7,3,4,0.571428571,2023-11-09
2022-09-10,0.428571429,Northeast,Pediatric Intensive Care Unit,7,3,4,0.571428571,2023-11-09
2023-03-22,0.444444444,Southwest,Adult Intensive Care Unit,18,8,10,0.555555556,2023-11-09
2022-02-18,0.238095238,Southwest,Adult Intensive Care Unit,21,5,16,0.761904762,2023-11-09
2022-10-30,0.090909091,Northeast,Adult Intensive Care Unit,88,8,80,0.909090909,2023-11-09
2021-06-23,0.285714286,Northwest,Pediatrics,7,2,5,0.714285714,2023-11-09
2021-08-12,0.107142857,Central,Pediatrics,28,3,25,0.892857143,2023-11-09
2022-03-07,0.428571429,Southwest,Adult Intensive Care Unit,21,9,12,0.571428571,2023-11-09
2022-09-30,0.056818182,Northeast,Adult Intensive Care Unit,88,5,83,0.943181818,2023-11-09
2023-02-21,0.027272727,Metro,Pediatric Intensive Care Unit,110,3,107,0.972727273,2023-11-09
2022-02-05,0.260869565,South Central,Adult Intensive Care Unit,23,6,17,0.739130435,2023-11-09
2022-01-25,0.086956522,South Central,Adult Intensive Care Unit,23,2,21,0.913043478,2023-11-09
2022-06-18,0.153846154,Central,Adult Intensive Care Unit,104,16,88,0.846153846,2023-11-09
2022-03-20,0.098039216,Metro,Pediatrics,357,35,322,0.901960784,2023-11-09
2023-08-04,0.25,Central,Pediatric Intensive Care Unit,4,1,3,0.75,2023-11-09
2023-02-09,0.1875,South Central,Adult Intensive Care Unit,32,6,26,0.8125,2023-11-09
2023-01-04,0.125,West Central,Pediatrics,8,1,7,0.875,2023-11-09
2022-02-06,0.095238095,Metro,Pediatrics,357,34,323,0.904761905,2023-11-09
2021-01-11,0.147368421,Northeast,Adult Intensive Care Unit,95,14,81,0.852631579,2023-11-09
2021-01-19,0.30726257,Southwest,Medical and Surgical,358,110,248,0.69273743,2023-11-09
2022-09-22,0.034482759,Central,Pediatrics,29,1,28,0.965517241,2023-11-09
