date,region,non_icu_beds_total,non_icu_beds_occupied,non_icu_beds_available,non_icu_beds_non_covid,non_icu_beds_covid,icu_beds_total,icu_beds_occupied,icu_beds_available,icu_beds_non_covid,icu_beds_covid,metro,icu_covid_week_avg,icu_non_covid_week_avg,non_icu_non_covid_week_avg,non_icu_covid_week_avg,report_date
2020-07-01,Central,957,569,388,569,1,180,75,105,75,1,Greater MN,NA,NA,NA,NA,2022-09-15
2020-07-02,Central,955,571,384,571,1,182,84,98,84,1,Greater MN,NA,NA,NA,NA,2022-09-15
2020-07-03,Central,914,539,375,539,2,174,91,83,91,1,Greater MN,NA,NA,NA,NA,2022-09-15
2020-07-04,Central,957,486,471,486,2,180,90,90,90,1,Greater MN,NA,NA,NA,NA,2022-09-15
2020-07-05,Central,913,484,429,484,1,175,86,89,86,1,Greater MN,NA,NA,NA,NA,2022-09-15
2020-07-06,Central,951,516,435,516,1,181,79,102,79,1,Greater MN,NA,NA,NA,NA,2022-09-15
2020-07-07,Central,954,571,383,571,0,178,78,100,78,3,Greater MN,1,83,534,1,2022-09-15
2020-07-08,Central,955,604,351,604,0,172,77,95,77,3,Greater MN,2,84,539,1,2022-09-15
2020-07-09,Central,955,607,348,607,0,172,85,87,85,4,Greater MN,2,84,544,1,2022-09-15
2020-07-10,Central,885,539,346,539,0,160,76,84,76,5,Greater MN,3,82,544,1,2022-09-15
2020-07-11,Central,960,485,475,485,0,172,80,92,80,3,Greater MN,3,80,544,0,2022-09-15
2020-07-12,Central,960,491,469,491,0,172,68,104,68,3,Greater MN,3,78,545,0,2022-09-15
2020-07-13,Central,960,526,434,526,2,172,66,106,66,1,Greater MN,3,76,546,0,2022-09-15
2020-07-14,Central,965,524,441,524,3,172,66,106,66,0,Greater MN,3,74,539,1,2022-09-15
2020-07-15,Central,965,604,361,604,3,172,72,100,72,1,Greater MN,2,73,539,1,2022-09-15
2020-07-16,Central,1040,554,486,554,3,72,82,-10,82,1,Greater MN,2,73,532,2,2022-09-15
2020-07-17,Central,969,522,447,522,0,171,50,121,50,4,Greater MN,2,69,529,2,2022-09-15
2020-07-18,Central,964,532,432,532,0,171,52,119,52,4,Greater MN,2,65,536,2,2022-09-15
2020-07-19,Central,964,546,418,546,1,171,44,127,44,3,Greater MN,2,62,544,2,2022-09-15
2020-07-20,Central,969,514,455,514,2,171,45,126,45,3,Greater MN,2,59,542,2,2022-09-15
2020-07-21,Central,969,577,392,577,0,171,50,121,50,4,Greater MN,3,56,550,1,2022-09-15
2020-07-22,Central,964,599,365,599,0,171,51,120,51,4,Greater MN,3,53,549,1,2022-09-15
2020-07-23,Central,964,567,397,567,0,171,45,126,45,4,Greater MN,4,48,551,0,2022-09-15
2020-07-24,Central,979,553,426,543,11,169,88,81,85,3,Greater MN,4,53,554,2,2022-09-15
2020-07-25,Central,956,487,469,479,10,163,93,70,90,3,Greater MN,3,59,546,3,2022-09-15
2020-07-26,Central,897,475,422,466,10,163,92,71,87,5,Greater MN,4,65,535,5,2022-09-15
2020-07-27,Central,877,473,404,463,10,163,97,66,91,7,Greater MN,4,71,528,6,2022-09-15
2020-07-28,Central,909,584,325,574,11,165,89,76,85,4,Greater MN,4,76,527,7,2022-09-15
2020-07-29,Central,904,536,368,525,11,165,96,69,92,5,Greater MN,4,82,517,9,2022-09-15
2020-07-30,Central,878,560,318,549,10,162,101,61,97,5,Greater MN,5,90,514,10,2022-09-15
2020-07-31,Central,909,565,344,553,11,164,103,61,98,5,Greater MN,5,91,516,10,2022-09-15
2020-09-01,Central,827,572,255,557,15,161,93,68,92,1,Greater MN,5,92,527,11,2022-09-15
2020-09-02,Central,874,629,245,614,15,165,89,76,86,3,Greater MN,4,92,548,12,2022-09-15
2020-09-03,Central,870,618,252,603,15,165,91,74,87,4,Greater MN,4,91,568,13,2022-09-15
2020-09-04,Central,871,567,304,554,13,165,95,70,92,3,Greater MN,4,92,565,13,2022-09-15
2020-09-05,Central,877,532,345,519,13,165,94,71,90,4,Greater MN,4,92,564,13,2022-09-15
2020-09-06,Central,871,536,335,521,15,165,92,73,90,2,Greater MN,3,91,560,14,2022-09-15
2020-09-07,Central,872,543,329,528,15,165,84,81,81,3,Greater MN,3,88,557,14,2022-09-15
2020-09-08,Central,844,533,311,518,15,159,82,77,80,2,Greater MN,3,87,551,14,2022-09-15
2020-09-09,Central,896,620,276,599,21,165,86,79,86,0,Greater MN,3,87,549,15,2022-09-15
2020-09-10,Central,877,609,268,587,22,165,91,74,91,0,Greater MN,2,87,547,16,2022-09-15
2020-09-11,Central,868,560,308,539,21,165,89,76,89,0,Greater MN,2,87,544,17,2022-09-15
2020-09-12,Central,874,561,313,545,16,165,84,81,81,3,Greater MN,1,85,548,18,2022-09-15
2020-09-13,Central,875,544,331,527,17,165,75,90,72,3,Greater MN,2,83,549,18,2022-09-15
2020-09-14,Central,842,529,313,508,21,159,72,87,69,3,Greater MN,2,81,546,19,2022-09-15
2020-09-15,Central,868,589,279,569,20,165,89,76,83,6,Greater MN,2,82,553,20,2022-09-15
2020-09-16,Central,865,605,260,582,23,166,99,67,93,6,Greater MN,3,83,551,20,2022-09-15
2020-09-17,Central,877,612,265,594,18,166,108,58,101,7,Greater MN,4,84,552,19,2022-09-15
2020-09-18,Central,878,638,240,617,21,165,100,65,94,6,Greater MN,5,85,563,19,2022-09-15
2020-09-19,Central,826,585,241,561,24,159,90,69,84,6,Greater MN,5,85,565,21,2022-09-15
2020-09-20,Central,870,554,316,531,23,165,81,84,73,8,Greater MN,6,85,566,21,2022-09-15
2020-09-21,Central,871,542,329,522,20,165,88,77,78,10,Greater MN,7,87,568,21,2022-09-15
2020-09-22,Central,877,593,284,570,23,165,106,59,90,16,Greater MN,8,88,568,22,2022-09-15
2020-09-23,Central,878,618,260,596,22,165,97,68,83,14,Greater MN,10,86,570,22,2022-09-15
