date,icu_used_pct,nonicu_used_pct,covid_pct_icu,covid_pct_nonicu,inuse_icu_non_covid,inuse_icu_covid,inuse_non_icu_covid,inuse_non_icu_non_covid,inuse_beds_surge,inuse_non_icu_na,inuse_icu_na,inuse_vents,avail_beds,avail_non_icu,avail_icu,avail_vents,surge_beds,surge_ventilators
2020-03-01,NA,NA,NA,NA,NA,NA,NA,NA,0,2754,403,0,0,3258,517,0,0,0
2020-03-02,NA,NA,NA,NA,NA,NA,NA,NA,0,3437,525,0,0,4011,646,0,0,0
2020-03-03,NA,NA,NA,NA,NA,NA,NA,NA,0,5176,899,0,0,5855,1059,0,0,0
2020-03-04,NA,NA,NA,NA,NA,NA,NA,NA,0,5228,890,0,0,5859,1030,0,0,0
2020-03-05,NA,NA,NA,NA,NA,NA,NA,NA,0,5241,899,0,0,5916,1042,0,0,0
2020-03-06,NA,NA,NA,NA,NA,NA,NA,NA,0,5153,918,0,0,5878,1060,0,0,0
2020-03-07,NA,NA,NA,NA,NA,NA,NA,NA,0,4953,908,0,0,5795,1075,0,0,0
2020-03-08,NA,NA,NA,NA,NA,NA,NA,NA,0,4874,894,0,0,5631,1058,0,0,0
2020-03-09,NA,NA,NA,NA,NA,NA,NA,NA,0,4490,782,0,0,5320,939,0,0,0
2020-03-10,NA,NA,NA,NA,NA,NA,NA,NA,0,5299,943,0,0,6029,1100,0,0,0
2020-03-11,NA,NA,NA,NA,NA,NA,NA,NA,0,5088,909,0,0,5821,1050,0,0,0
2020-03-12,NA,NA,NA,NA,NA,NA,NA,NA,0,4787,847,0,0,5451,1005,0,0,0
2020-03-13,NA,NA,NA,NA,NA,NA,NA,NA,0,4977,837,0,0,5671,995,0,0,0
2020-03-14,NA,NA,NA,NA,NA,NA,NA,NA,0,5015,872,0,0,5849,1068,0,0,0
2020-03-15,NA,NA,NA,NA,NA,NA,NA,NA,0,5207,893,38,0,6194,1121,1169,0,0
