date,reinfections_confirmed,reinfections_probable,total_reinfections,report_date,new_reinfections,newly_reported_reinf
2020-06-29,1,0,1,2021-11-01,1,1
2020-06-30,0,0,1,2021-11-01,0,0
2020-07-01,0,0,1,2021-11-01,0,0
2020-07-02,0,0,1,2021-11-01,0,0
2020-07-03,0,0,1,2021-11-01,0,0
2020-07-04,0,0,1,2021-11-01,0,0
2020-07-05,0,0,1,2021-11-01,0,0
2020-07-06,0,0,1,2021-11-01,0,0
2020-07-07,0,0,1,2021-11-01,0,0
2020-07-08,1,0,2,2021-11-01,1,1
2020-07-09,0,0,2,2021-11-01,0,0
2020-07-10,2,0,4,2021-11-01,2,2
2020-07-11,0,0,4,2021-11-01,0,0
2020-07-12,0,0,4,2021-11-01,0,0
2020-07-13,0,0,4,2021-11-01,0,0
2020-07-14,1,0,5,2021-11-01,1,1
2020-07-15,1,0,6,2021-11-01,1,1
2020-07-16,0,0,6,2021-11-01,0,0
2020-07-17,1,0,7,2021-11-01,1,1
2020-07-18,1,0,8,2021-11-01,1,1
2020-07-19,0,0,8,2021-11-01,0,0
2020-07-20,0,0,8,2021-11-01,0,0
2020-07-21,1,0,9,2021-11-01,1,1
2020-07-22,2,0,11,2021-11-01,2,2
2020-07-23,1,0,12,2021-11-01,1,1
2020-07-24,0,0,12,2021-11-01,0,0
2020-07-25,2,0,14,2021-11-01,2,2
2020-07-26,0,0,14,2021-11-01,0,0
2020-07-27,2,0,16,2021-11-01,2,2
2020-07-28,2,0,18,2021-11-01,2,2
2020-07-29,0,0,18,2021-11-01,0,0
2020-07-30,2,0,20,2021-11-01,2,2
2020-07-31,0,0,20,2021-11-01,0,0
2020-08-01,2,0,22,2021-11-01,2,2
2020-08-02,0,0,22,2021-11-01,0,0
2020-08-03,3,0,25,2021-11-01,3,3
2020-08-04,2,0,27,2021-11-01,2,2
2020-08-05,5,0,32,2021-11-01,5,5
2020-08-06,1,0,33,2021-11-01,1,1
2020-08-07,2,0,35,2021-11-01,2,2
2020-08-08,1,0,36,2021-11-01,1,1
2020-08-09,1,0,37,2021-11-01,1,1
2020-08-10,2,0,39,2021-11-01,2,2
2020-08-11,1,0,40,2021-11-01,1,1
2020-08-12,7,0,47,2021-11-01,7,7
2020-08-13,4,0,51,2021-11-01,4,4
2020-08-14,1,0,52,2021-11-01,1,1
2020-08-15,0,0,52,2021-11-01,0,0
2020-08-16,1,0,53,2021-11-01,1,1
2020-08-17,7,0,60,2021-11-01,7,7
2020-08-18,2,0,62,2021-11-01,2,2
2020-08-19,5,0,67,2021-11-01,5,5
2020-08-20,4,0,71,2021-11-01,4,4
2020-08-21,8,0,79,2021-11-01,8,8
2020-08-22,5,0,84,2021-11-01,5,5
2020-08-23,1,0,85,2021-11-01,1,1
2020-08-24,3,0,88,2021-11-01,3,3
2020-08-25,3,0,91,2021-11-01,3,3
2020-08-26,1,0,92,2021-11-01,1,1
2020-08-27,2,0,94,2021-11-01,2,2
2020-08-28,4,0,98,2021-11-01,4,4
2020-08-29,2,0,100,2021-11-01,2,2
2020-08-30,0,0,100,2021-11-01,0,0
2020-08-31,3,0,103,2021-11-01,3,3
2020-09-01,3,0,106,2021-11-01,3,3
2020-09-02,5,0,111,2021-11-01,5,5
2020-09-03,6,0,117,2021-11-01,6,6
2020-09-04,3,0,120,2021-11-01,3,3
2020-09-05,0,0,120,2021-11-01,0,0
2020-09-06,0,0,120,2021-11-01,0,0
2020-09-07,1,0,121,2021-11-01,1,1
2020-09-08,2,0,123,2021-11-01,2,2
2020-09-09,7,0,130,2021-11-01,7,7
2020-09-10,1,0,131,2021-11-01,1,1
2020-09-11,4,0,135,2021-11-01,4,4
2020-09-12,1,0,136,2021-11-01,1,1
2020-09-13,0,0,136,2021-11-01,0,0
2020-09-14,1,0,137,2021-11-01,1,1
2020-09-15,5,0,142,2021-11-01,5,5
2020-09-16,3,0,145,2021-11-01,3,3
2020-09-17,4,0,149,2021-11-01,4,4
2020-09-18,6,0,155,2021-11-01,6,6
2020-09-19,3,0,158,2021-11-01,3,3
2020-09-20,1,0,159,2021-11-01,1,1
2020-09-21,2,1,162,2021-11-01,3,3
2020-09-22,3,0,165,2021-11-01,3,3
2020-09-23,7,0,172,2021-11-01,7,7
2020-09-24,2,0,174,2021-11-01,2,2
2020-09-25,6,0,180,2021-11-01,6,6
2020-09-26,3,0,183,2021-11-01,3,3
2020-09-27,0,0,183,2021-11-01,0,0
2020-09-28,7,2,192,2021-11-01,9,9
2020-09-29,8,0,200,2021-11-01,8,8
2020-09-30,7,0,207,2021-11-01,7,7
2020-10-01,5,0,212,2021-11-01,5,5
2020-10-02,4,0,216,2021-11-01,4,4
2020-10-03,2,0,218,2021-11-01,2,2
2020-10-04,3,0,221,2021-11-01,3,3
2020-10-05,2,1,224,2021-11-01,3,3
2020-10-06,6,0,230,2021-11-01,6,6
2020-10-07,6,0,236,2021-11-01,6,6
2020-10-08,6,0,242,2021-11-01,6,6
2020-10-09,4,0,246,2021-11-01,4,4
2020-10-10,1,0,247,2021-11-01,1,1
2020-10-11,4,0,251,2021-11-01,4,4
2020-10-12,4,0,255,2021-11-01,4,4
2020-10-13,4,0,259,2021-11-01,4,4
2020-10-14,6,0,265,2021-11-01,6,6
2020-10-15,9,0,274,2021-11-01,9,9
2020-10-16,10,0,284,2021-11-01,10,10
2020-10-17,5,0,289,2021-11-01,5,5
2020-10-18,1,0,290,2021-11-01,1,1
2020-10-19,10,0,300,2021-11-01,10,10
2020-10-20,8,0,308,2021-11-01,8,8
2020-10-21,5,0,313,2021-11-01,5,5
2020-10-22,9,0,322,2021-11-01,9,9
2020-10-23,10,0,332,2021-11-01,10,10
2020-10-24,4,0,336,2021-11-01,4,4
2020-10-25,1,0,337,2021-11-01,1,1
2020-10-26,7,1,345,2021-11-01,8,8
2020-10-27,10,0,355,2021-11-01,10,10
2020-10-28,8,0,363,2021-11-01,8,8
2020-10-29,7,0,370,2021-11-01,7,7
2020-10-30,7,0,377,2021-11-01,7,7
2020-10-31,2,0,379,2021-11-01,2,2
2020-11-01,1,0,380,2021-11-01,1,1
