date,day,cases_7day,tests_7day,positive_rate_7day,new_hosp_7day,deaths_7day,active_cases_7day,new_vaccines_1x_7day,new_vaccines_full_7day,new_boosters_7day
2022-03-23,Wednesday,402.14285714285717,14863.57142857143,0.02705560094190014,31.571428571428573,5.714285714285714,3294.6,382.14285714285717,612.7142857142857,1370.2857142857142
2022-03-22,Tuesday,488,16729,0.029170900830892462,34.285714285714285,7.285714285714286,3336.6,395.7142857142857,615.1428571428571,1360.7142857142858
2022-03-21,Monday,405.42857142857144,17183.14285714286,0.023594552800917844,31.857142857142858,6.857142857142857,3286.4,525.5714285714286,831,1704.5714285714287
2022-03-18,Friday,415.7142857142857,17080.428571428572,0.024338633189197326,31.714285714285715,8.142857142857142,3465,323,535.8571428571429,1156.7142857142858
2022-03-17,Thursday,422.14285714285717,17135.571428571428,0.02463547007478178,33,8.142857142857142,3693,434.85714285714283,719.2857142857143,1435.857142857143
2022-03-16,Wednesday,441.2857142857143,17367.714285714286,0.02540839324197608,34.714285714285715,9.142857142857142,3931,463.42857142857144,749.1428571428571,1487
2022-03-15,Tuesday,396.42857142857144,17610.85714285714,0.022510464323956002,35.285714285714285,9.714285714285714,4175.2,485,798,1530.857142857143
2022-03-14,Monday,535.5714285714286,18343.85714285714,0.029196227619989565,39.57142857142857,11.285714285714286,4545.8,462.42857142857144,782.4285714285714,1450.5714285714287
2022-03-11,Friday,589.5714285714286,19074.85714285714,0.03090830112938498,41.714285714285715,11.571428571428571,4886.6,679.8571428571429,1124.2857142857142,2033.2857142857142
2022-03-10,Thursday,625.2857142857143,19514.428571428572,0.03204222516672645,45.57142857142857,11.857142857142858,5213.8,607.8571428571429,1001.8571428571429,1828.4285714285713
2022-03-09,Wednesday,660,19955.428571428572,0.03307370711872172,43.714285714285715,12.285714285714286,5538.4,640.7142857142857,1113.7142857142858,1909.7142857142858
2022-03-08,Tuesday,662.2857142857143,20005.571428571428,0.033105063589428656,54.42857142857143,12.857142857142858,5854.4,688.7142857142857,1271,2067.1428571428573
2022-03-07,Monday,760.1428571428571,20626.14285714286,0.036853369163959745,57.57142857142857,13.142857142857142,6216.4,724.4285714285714,1511.7142857142858,2162.714285714286
2022-03-04,Friday,790.7142857142857,21004,0.03764589057866529,59,14.571428571428571,6782.2,763.8571428571429,1820.4285714285713,2223.8571428571427
2022-03-03,Thursday,809,20661.714285714286,0.03915454394601471,57.42857142857143,15.142857142857142,7483.8,636.4285714285714,1624.7142857142858,2225.714285714286
2022-03-02,Wednesday,841.5714285714286,20677.285714285714,0.040700285337257586,63,19,8224.2,742.1428571428571,1775.2857142857142,2301
2022-03-01,Tuesday,757.1428571428571,18031.714285714286,0.04198951054491293,39.142857142857146,16,8782.5,582.8571428571429,1456.142857142857,1875.5714285714287
2022-02-28,Monday,1029.7142857142858,21450,0.04800532800532801,57,16.571428571428573,9599.25,773,1814.2857142857142,2440.1428571428573
2022-02-25,Friday,1156.857142857143,22576.285714285714,0.05124213776782211,59,17.142857142857142,11196.5,787.8571428571429,1700.857142857143,2550.8571428571427
2022-02-24,Thursday,1343,23927.285714285714,0.05612838898806503,67,19.428571428571427,13025.75,884.8571428571429,1992.857142857143,2761.714285714286
2022-02-22,Tuesday,1668.5714285714287,27774.85714285714,0.06007488787392503,103.85714285714286,22.428571428571427,15086.6,1030.7142857142858,2256.714285714286,3249.4285714285716
2022-02-21,Monday,2014.142857142857,27135.85714285714,0.07422440524135172,101.28571428571429,23.285714285714285,16782.8,996.5714285714286,2028.4285714285713,3158.714285714286
2022-02-18,Friday,2346.4285714285716,28386.571428571428,0.08265980896399706,116.14285714285714,23.428571428571427,18597.6,1055.142857142857,2102.1428571428573,3316
2022-02-17,Thursday,2716.8571428571427,28955.285714285714,0.0938294019843404,122.28571428571429,24.142857142857142,20495.8,1243,2260.285714285714,3557
2022-02-16,Wednesday,3089.5714285714284,30095.85714285714,0.10265769849670814,130.85714285714286,25.857142857142858,22268.2,1245.7142857142858,2216.714285714286,3662.8571428571427
2022-02-15,Tuesday,3422.714285714286,31645.85714285714,0.10815678874689082,151.14285714285714,25.714285714285715,23952.8,1366.5714285714287,2319.285714285714,3863.5714285714284
2022-02-14,Monday,3985.5714285714284,33048.28571428572,0.12059843173192472,152.71428571428572,28,25824.6,1660.4285714285713,2508.4285714285716,4444.285714285715
2022-02-11,Friday,4198.571428571428,33022.57142857143,0.127142473978837,152.14285714285714,28.285714285714285,28798.2,1787.857142857143,2513.4285714285716,4708.714285714285
2022-02-10,Thursday,4450,33840.71428571428,0.13149840639972982,167.57142857142858,28.571428571428573,32161,1923.4285714285713,2550.714285714286,5054.428571428572
2022-02-09,Wednesday,4595.428571428572,34188,0.13441642013070584,177.57142857142858,29.428571428571427,35429.2,2014.4285714285713,2575,5403.428571428572
2022-02-08,Tuesday,4607.285714285715,34598,0.13316624412641523,162.14285714285714,32.142857142857146,38675.4,2116.1428571428573,2596.1428571428573,5684.142857142857
2022-02-07,Monday,6171.714285714285,38037.28571428572,0.16225432939859763,178,31.857142857142858,42429.2,2033.5714285714287,2283.1428571428573,5671
2022-02-04,Friday,7067.285714285715,39354.57142857143,0.17957979105712896,193.42857142857142,31,46875.8,2280.8571428571427,2379.4285714285716,6436.428571428572
2022-02-03,Thursday,8202.714285714286,40877.57142857143,0.2006654015649518,198.57142857142858,31.714285714285715,50844.8,2447.714285714286,2291.1428571428573,6613.714285714285
2022-02-02,Wednesday,9510.285714285714,42322.28571428572,0.22471106070425578,212.14285714285714,33.42857142857143,53483.4,2493.285714285714,2240.4285714285716,6865.857142857143
2022-02-01,Tuesday,11175.42857142857,45199,0.2472494650640185,224.42857142857142,32.42857142857143,54608.4,2483.1428571428573,2197.285714285714,7093
2022-01-31,Monday,13196,49986.28571428572,0.26399240934656365,224.57142857142858,31.142857142857142,53774,2591.5714285714284,2105.8571428571427,9686.42857142857
2022-01-28,Friday,13285.142857142857,53464.28571428572,0.24848630594522378,218.57142857142858,33,52050,2596.285714285714,2057.8571428571427,8010.428571428572
2022-01-27,Thursday,12894.142857142857,58109.42857142857,0.2218941602788827,216.28571428571428,32,50794.8,2368,2005.2857142857142,8200.714285714286
2022-01-26,Wednesday,12438,60102.28571428572,0.2069472042898297,209,35,50075.6,2563.5714285714284,2138.285714285714,8636
2022-01-25,Tuesday,16588.571428571428,83596.71428571429,0.19843568698017866,258,32.857142857142854,50193.4,3792.5714285714284,2898.4285714285716,13308.857142857143
2022-01-24,Monday,11516.57142857143,64355.142857142855,0.17895339699790894,213.71428571428572,27.571428571428573,52190.25,3038.4285714285716,2334.4285714285716,8903.57142857143
2022-01-21,Friday,11220.714285714286,70951.14285714286,0.1581470549150522,230.42857142857142,25.714285714285715,55073.5,3008.5714285714284,2290.8571428571427,10983.714285714286
2022-01-20,Thursday,11182.42857142857,63739.71428571428,0.17543895037406596,227.28571428571428,25.142857142857142,57658,3242.285714285714,2432.714285714286,11626
2022-01-19,Wednesday,11192.42857142857,64089.142857142855,0.17463845001604908,223,21.428571428571427,60066,3191.8571428571427,2414.714285714286,11829.285714285714
2022-01-17,Monday,10561,63098,0.1673745602079305,239.14285714285714,27.142857142857142,58081.6,3427.8571428571427,3097.285714285714,13415.42857142857
2022-01-14,Friday,10605.714285714286,58148.71428571428,0.18238948901953367,226.14285714285714,29.285714285714285,54574.8,3447.285714285714,3297.1428571428573,13657
2022-01-13,Thursday,10073.285714285714,70905.28571428571,0.14206678123935954,237.42857142857142,29.428571428571427,49906.2,3346,3247.8571428571427,13834.57142857143
2022-01-12,Wednesday,9419.857142857143,77002.57142857143,0.12233172176068331,232.85714285714286,30.857142857142858,45616.6,3334.5714285714284,3313,15205.142857142857
2022-01-11,Tuesday,8481.285714285714,71666.42857142857,0.11834391476383642,202.42857142857142,34,41914.8,3278.8571428571427,3438.714285714286,13791.285714285714
2022-01-10,Monday,6583.714285714285,63928.142857142855,0.10298616527038171,162.57142857142858,35.142857142857146,39022,2969.5714285714284,3167,13430
2022-01-07,Friday,5017.428571428572,51272.42857142857,0.0978582195387663,124.42857142857143,28.857142857142858,37075.25,2369.5714285714284,2503.285714285714,11108.285714285714
2022-01-06,Thursday,4867,41315.857142857145,0.11779980706128051,92.71428571428571,31,34346.5,2637.285714285714,2675.5714285714284,11302.285714285714
2022-01-05,Wednesday,4844.714285714285,32242,0.15026097282160802,88.14285714285714,29,31684.75,2649.285714285714,2710.714285714286,10473.714285714286
2022-01-04,Tuesday,4997,39059.857142857145,0.1279318555038238,114.28571428571429,28.714285714285715,29364.5,2737.714285714286,2695.5714285714284,12500.57142857143
2021-12-31,Friday,4092.5714285714284,42658.42857142857,0.09593816663261992,128.14285714285714,29.285714285714285,27045.25,2515,2452.5714285714284,11556.42857142857
2021-12-30,Thursday,3717.5714285714284,40944.857142857145,0.09079458784288276,132,30,25285,2461.285714285714,2398.285714285714,12443.285714285714
2021-12-29,Wednesday,3231.5714285714284,43383.857142857145,0.07448787732105754,127.71428571428571,30.571428571428573,24186.25,2471,2466.714285714286,13555.857142857143
2021-12-28,Tuesday,2887.5714285714284,37579.42857142857,0.07683915211970074,120.42857142857143,28.857142857142858,23855.25,2531.4285714285716,2493.714285714286,14095.142857142857
2021-12-24,Friday,3019,41288.57142857143,0.07311950730053283,139,35.42857142857143,24678.4,3519.714285714286,3446.285714285714,20159.85714285714
2021-12-23,Thursday,2976,42192.57142857143,0.07053374324525645,145.85714285714286,35.57142857142857,25166,3434.1428571428573,3803.5714285714284,20583
2021-12-22,Wednesday,3037,38915.142857142855,0.0780415996710792,151.14285714285714,33.714285714285715,25628.4,3428.1428571428573,4014.1428571428573,20434.571428571428
2021-12-21,Tuesday,2954.714285714286,38746.142857142855,0.07625828193036727,162.85714285714286,33.285714285714285,26149.2,3431.1428571428573,4511.142857142857,20810.428571428572
2021-12-20,Monday,3189.8571428571427,40698.857142857145,0.07837706920517248,166.42857142857142,34,27126,3432.4285714285716,5844,21875.14285714286
2021-12-17,Friday,3226.714285714286,38059,0.08478189878121563,171.14285714285714,34.142857142857146,28715.6,3298.8571428571427,6127.857142857143,20878.285714285714
2021-12-16,Thursday,3326.714285714286,38894.28571428572,0.08553221185631382,173.85714285714286,34.714285714285715,30683,3446,6659.428571428572,21567.14285714286
2021-12-15,Wednesday,3319.4285714285716,40674.28571428572,0.08161000280977802,171.85714285714286,34.857142857142854,32607.4,3567.285714285714,6903.428571428572,22052.571428571428
2021-12-14,Tuesday,3449.285714285714,39713.857142857145,0.08685345525311425,187,37.857142857142854,34685,3506.5714285714284,6811,21509.714285714286
2021-12-13,Monday,3935.4285714285716,40241.142857142855,0.09779614325068871,186.57142857142858,37.714285714285715,36406.6,3581.4285714285716,6958.571428571428,21469
2021-12-10,Friday,4287.857142857143,43712.57142857143,0.09809208204243304,190.42857142857142,36.57142857142857,36238.8,4028,7633.571428571428,24846.714285714286
2021-12-09,Thursday,4449.428571428572,44371.71428571428,0.10027623775764483,190,37.142857142857146,35306.2,4019.4285714285716,7383.857142857143,24693.571428571428
2021-12-08,Wednesday,4672.142857142857,44203.857142857145,0.10569536595061194,196.28571428571428,41.714285714285715,34056,4047.4285714285716,7503.142857142857,24524.285714285714
2021-12-07,Tuesday,4735,46823.42857142857,0.10112458964376808,196.14285714285714,45.285714285714285,32380.4,4193.857142857143,7497.714285714285,24886.714285714286
2021-12-06,Monday,4761.714285714285,42356.57142857143,0.11241972910258485,204.57142857142858,38.857142857142854,30807.4,5127.142857142857,6524.857142857143,39886.857142857145
2021-12-03,Friday,4531.571428571428,49118.42857142857,0.09225807014533387,201.28571428571428,39.714285714285715,30110.6,NA,NA,NA
2021-12-02,Thursday,3719.4285714285716,40608.857142857145,0.09159155989896645,171.71428571428572,30.857142857142858,29208.75,NA,NA,NA
2021-12-01,Wednesday,3550.5714285714284,40314.42857142857,0.08807197706599197,166.14285714285714,28.571428571428573,30206,NA,NA,NA
2021-11-30,Tuesday,3576.1428571428573,39482.142857142855,0.09057620985979195,157.57142857142858,21.857142857142858,31446.75,NA,NA,NA
2021-11-29,Monday,3408,44936.57142857143,0.075840231945981,150.14285714285714,27.142857142857142,32600.75,NA,NA,NA
2021-11-25,Thursday,4175,45398.71428571428,0.0919629567860638,168.71428571428572,30.428571428571427,34504.2,8520.142857142857,1923.7142857142858,24549
2021-11-24,Wednesday,4274.428571428572,45176.42857142857,0.09461634543930937,169.57142857142858,27,34457,8918.857142857143,1924.5714285714287,24325.285714285714
2021-11-23,Tuesday,4231.285714285715,44529.857142857145,0.0950213179600204,165.57142857142858,26,34248.4,9607.714285714286,1874.857142857143,23726
2021-11-22,Monday,4153.857142857143,43070.857142857145,0.09644240719611537,169.57142857142858,28,34047.8,9099.42857142857,3401,21563.571428571428
2021-11-19,Friday,4232.142857142857,42960.42857142857,0.09851258467094302,175.57142857142858,22.714285714285715,33550,8771.42857142857,3428.714285714286,20648.714285714286
2021-11-18,Thursday,4187.428571428572,43153.142857142855,0.0970364681268042,171.71428571428572,22.428571428571427,32621.4,8412.42857142857,3436.5714285714284,20521.571428571428
2021-11-17,Wednesday,4229.714285714285,42127.857142857145,0.10040183794231845,171.57142857142858,24,31655,8094,3520.4285714285716,20449.428571428572
2021-11-16,Tuesday,4489.714285714285,42164,0.10648217165625382,155.71428571428572,23.571428571428573,30508.6,7073.285714285715,-1403,19897.571428571428
2021-11-15,Monday,3955.4285714285716,42022.42857142857,0.09412660586013591,148.42857142857142,19.142857142857142,28757.6,6052.428571428572,-1421.5714285714287,20187.571428571428
2021-11-12,Friday,3810.714285714286,41153.857142857145,0.09259677100219733,131.85714285714286,24,27173.4,5844.142857142857,-2812,19698
2021-11-11,Thursday,3600.5714285714284,40190.57142857143,0.08958746543254636,128.57142857142858,25,25656.2,4861.428571428572,-2484.5714285714284,19201.14285714286
2021-11-10,Wednesday,3399.8571428571427,40268.142857142855,0.08443044306559244,126.71428571428571,23.428571428571427,24379.2,4215.285714285715,-2100,18286.714285714286
2021-11-09,Tuesday,3068.285714285714,39393.142857142855,0.07788882764222925,121,23.428571428571427,23336.8,3581.5714285714284,3040.5714285714284,18102.85714285714
2021-11-08,Monday,3049.714285714286,37749.42857142857,0.08078835630435276,108.85714285714286,24,22650.4,2785.714285714286,2618.4285714285716,17497.285714285714
2021-11-05,Friday,2850.285714285714,37109.57142857143,0.07680729268921764,134.71428571428572,22.714285714285715,21646.8,2211.8571428571427,4462.714285714285,18601.285714285714
2021-11-04,Thursday,2846,35820.42857142857,0.07945186904519767,129.28571428571428,20,20763.4,2181,4432.714285714285,19496.571428571428
2021-11-03,Wednesday,2699.1428571428573,34983.142857142855,0.07715552796857261,124.42857142857143,21.285714285714285,19841.2,2326.4285714285716,3897.4285714285716,19379.428571428572
2021-11-02,Tuesday,2535.4285714285716,34017.142857142855,0.07453384847975811,115.42857142857143,19.571428571428573,19117,2378.714285714286,4013.285714285714,19586.285714285714
2021-11-01,Monday,2469.714285714286,33921.42857142857,0.07280690671720362,119.57142857142857,19.285714285714285,18594.2,2239.285714285714,2889.8571428571427,16262.42857142857
2021-10-29,Friday,2391.5714285714284,33933.71428571428,0.07047773811127576,98.14285714285714,18.857142857142858,18305,2348.4285714285716,2511,13913.42857142857
2021-10-28,Thursday,2220.4285714285716,33359.42857142857,0.0665607495846109,94.85714285714286,19.714285714285715,18157.2,2320.8571428571427,2197.285714285714,11148.57142857143
2021-10-27,Wednesday,2173.4285714285716,31514.285714285714,0.06896645512239347,91.57142857142857,17.571428571428573,18291.6,2023.857142857143,2305.714285714286,9831.57142857143
2021-10-26,Tuesday,2180.285714285714,33596.857142857145,0.0648955259420524,96.14285714285714,17.714285714285715,18564.2,1986.142857142857,2035.5714285714287,8834.285714285714
2021-10-25,Monday,2052.1428571428573,32321.428571428572,0.06349171270718232,100.85714285714286,17.571428571428573,18967.6,2037.4285714285713,2180.4285714285716,8312.857142857143
2021-10-22,Friday,2131.8571428571427,32957.71428571428,0.06468461751855191,102.85714285714286,18.571428571428573,19880.2,1954.142857142857,2140.714285714286,8252.142857142857
2021-10-21,Thursday,2303.5714285714284,34460.28571428572,0.06684713666249346,109.57142857142857,19.428571428571427,20897,2027,2216.1428571428573,8377.285714285714
2021-10-20,Wednesday,2383.285714285714,37614.142857142855,0.06336142560359136,111.42857142857143,19.285714285714285,21704.6,2147.285714285714,2313,8633
2021-10-19,Tuesday,2459,35754.42857142857,0.0687746972403019,117,18.142857142857142,22395,2101.1428571428573,2286.285714285714,8560.714285714286
2021-10-18,Monday,2781.285714285714,37921.42857142857,0.0733433791674515,114.85714285714286,16.571428571428573,23016.4,2054.285714285714,2238.714285714286,8322.42857142857
2021-10-15,Friday,2832,38084.71428571428,0.07436054209975505,116.57142857142857,16,23236.6,2280.4285714285716,2474.8571428571427,9718.57142857143
2021-10-14,Thursday,2876.1428571428573,39077.142857142855,0.07360166703224391,114.85714285714286,14.857142857142858,23365.8,2710.5714285714284,2913.285714285714,11424.142857142857
2021-10-13,Wednesday,2841.1428571428573,37961.857142857145,0.0748420406949833,124.85714285714286,15.857142857142858,23405.4,2572.1428571428573,2791.1428571428573,11377.857142857143
2021-10-12,Tuesday,3055.1428571428573,39350.57142857143,0.07763909763517683,119.14285714285714,18.142857142857142,23447.6,2587.5714285714284,2820.5714285714284,11547.57142857143
2021-10-11,Monday,2939.5714285714284,40874.71428571428,0.07191662327041168,117.28571428571429,18.428571428571427,23078.4,2565.1428571428573,2833.1428571428573,11507
2021-10-08,Friday,2985.714285714286,41777.71428571428,0.07146667396151057,111.14285714285714,17.857142857142858,22542.8,2339.714285714286,2578,9864.57142857143
2021-10-07,Thursday,2993.285714285714,41466.57142857143,0.07218551259878869,108.57142857142857,17.428571428571427,21777,1902.7142857142858,2103.714285714286,8123.714285714285
2021-10-06,Wednesday,3021.8571428571427,42216.57142857143,0.07157988061560118,94.85714285714286,14.714285714285714,20968,2001.4285714285713,2143.285714285714,7997.428571428572
2021-10-05,Tuesday,2763.4285714285716,41736.42857142857,0.0662114288648149,96.71428571428571,13.428571428571429,20084.4,2106.285714285714,2175.714285714286,7910.428571428572
2021-10-04,Monday,2630.5714285714284,41032.28571428572,0.06410979507426208,95.57142857142857,13.285714285714286,19529.4,2329.714285714286,2568.285714285714,6674.857142857143
2021-10-01,Friday,2524.4285714285716,40482.57142857143,0.0623584046750277,96.71428571428571,13.428571428571429,18994.4,2379,2751,5650
2021-09-30,Thursday,2422,40139.42857142857,0.06033967313934286,98.14285714285714,14.857142857142858,18551.8,2336.1428571428573,2831.285714285714,4436
