product,doses_shipped,filed_date,report_date,is_ltc
Moderna,2540060,2022-05-24,2022-05-25,General population
Pfizer,4954560,2022-05-24,2022-05-25,General population
Johnson & Johnson,311900,2022-05-24,2022-05-25,General population
Moderna,2087560,2022-05-24,2022-05-25,Long-term care
Pfizer,2928160,2022-05-24,2022-05-25,Long-term care
Johnson & Johnson,192900,2022-05-24,2022-05-25,Long-term care
Moderna,2540060,2022-05-23,2022-05-24,General population
Pfizer,4942860,2022-05-23,2022-05-24,General population
Johnson & Johnson,311900,2022-05-23,2022-05-24,General population
Moderna,2085360,2022-05-23,2022-05-24,Long-term care
Pfizer,2926160,2022-05-23,2022-05-24,Long-term care
Johnson & Johnson,192900,2022-05-23,2022-05-24,Long-term care
Moderna,2533960,2022-05-20,2022-05-23,General population
Pfizer,4923460,2022-05-20,2022-05-23,General population
Johnson & Johnson,311800,2022-05-20,2022-05-23,General population
Moderna,2081560,2022-05-20,2022-05-23,Long-term care
Pfizer,2909960,2022-05-20,2022-05-23,Long-term care
Johnson & Johnson,192700,2022-05-20,2022-05-23,Long-term care
Moderna,2533960,2022-05-19,2022-05-20,General population
Pfizer,4923460,2022-05-19,2022-05-20,General population
Johnson & Johnson,311800,2022-05-19,2022-05-20,General population
Moderna,2081560,2022-05-19,2022-05-20,Long-term care
Pfizer,2909960,2022-05-19,2022-05-20,Long-term care
Johnson & Johnson,192700,2022-05-19,2022-05-20,Long-term care
Moderna,2533360,2022-05-18,2022-05-19,General population
Pfizer,4917760,2022-05-18,2022-05-19,General population
Johnson & Johnson,311800,2022-05-18,2022-05-19,General population
Moderna,2079160,2022-05-18,2022-05-19,Long-term care
Pfizer,2902260,2022-05-18,2022-05-19,Long-term care
Johnson & Johnson,192700,2022-05-18,2022-05-19,Long-term care
Moderna,2525260,2022-05-17,2022-05-18,General population
Pfizer,4914360,2022-05-17,2022-05-18,General population
Johnson & Johnson,311800,2022-05-17,2022-05-18,General population
Moderna,2071460,2022-05-17,2022-05-18,Long-term care
Pfizer,2900160,2022-05-17,2022-05-18,Long-term care
Johnson & Johnson,192600,2022-05-17,2022-05-18,Long-term care
Moderna,2521560,2022-05-16,2022-05-17,General population
Pfizer,4911960,2022-05-16,2022-05-17,General population
Johnson & Johnson,311800,2022-05-16,2022-05-17,General population
Moderna,2065460,2022-05-16,2022-05-17,Long-term care
Pfizer,2893460,2022-05-16,2022-05-17,Long-term care
Johnson & Johnson,192500,2022-05-16,2022-05-17,Long-term care
Moderna,2517760,2022-05-13,2022-05-16,General population
Pfizer,4887160,2022-05-13,2022-05-16,General population
Johnson & Johnson,311800,2022-05-13,2022-05-16,General population
Moderna,2059960,2022-05-13,2022-05-16,Long-term care
Pfizer,2885960,2022-05-13,2022-05-16,Long-term care
Johnson & Johnson,192400,2022-05-13,2022-05-16,Long-term care
Moderna,2517760,2022-05-12,2022-05-13,General population
Pfizer,4887160,2022-05-12,2022-05-13,General population
Johnson & Johnson,311800,2022-05-12,2022-05-13,General population
Moderna,2059960,2022-05-12,2022-05-13,Long-term care
Pfizer,2885960,2022-05-12,2022-05-13,Long-term care
Johnson & Johnson,192400,2022-05-12,2022-05-13,Long-term care
Moderna,2507360,2022-05-10,2022-05-12,General population
Pfizer,4880260,2022-05-10,2022-05-12,General population
Johnson & Johnson,311800,2022-05-10,2022-05-12,General population
Moderna,2044260,2022-05-10,2022-05-12,Long-term care
Pfizer,2876660,2022-05-10,2022-05-12,Long-term care
Johnson & Johnson,192300,2022-05-10,2022-05-12,Long-term care
Moderna,2507360,2022-05-10,2022-05-11,General population
Pfizer,4880260,2022-05-10,2022-05-11,General population
Johnson & Johnson,311800,2022-05-10,2022-05-11,General population
Moderna,2044260,2022-05-10,2022-05-11,Long-term care
Pfizer,2876660,2022-05-10,2022-05-11,Long-term care
Johnson & Johnson,192300,2022-05-10,2022-05-11,Long-term care
Moderna,2506660,2022-05-09,2022-05-10,General population
Pfizer,4878160,2022-05-09,2022-05-10,General population
Johnson & Johnson,311800,2022-05-09,2022-05-10,General population
Moderna,2041260,2022-05-06,2022-05-09,Long-term care
Pfizer,2867860,2022-05-06,2022-05-09,Long-term care
Johnson & Johnson,192300,2022-05-06,2022-05-09,Long-term care
Moderna,2504360,2022-05-06,2022-05-09,General population
Pfizer,4876460,2022-05-06,2022-05-09,General population
Johnson & Johnson,311800,2022-05-06,2022-05-09,General population
Moderna,2501660,2022-05-05,2022-05-06,General population
Pfizer,4865260,2022-05-05,2022-05-06,General population
Johnson & Johnson,311800,2022-05-05,2022-05-06,General population
Moderna,2038060,2022-05-05,2022-05-06,Long-term care
Pfizer,2863460,2022-05-05,2022-05-06,Long-term care
Johnson & Johnson,192100,2022-05-05,2022-05-06,Long-term care
Moderna,2498160,2022-05-04,2022-05-05,General population
Pfizer,4846560,2022-05-04,2022-05-05,General population
Johnson & Johnson,311800,2022-05-04,2022-05-05,General population
Moderna,2035960,2022-05-04,2022-05-05,Long-term care
Pfizer,2854560,2022-05-04,2022-05-05,Long-term care
Johnson & Johnson,192100,2022-05-04,2022-05-05,Long-term care
Moderna,2488060,2022-05-03,2022-05-04,General population
Pfizer,4835260,2022-05-03,2022-05-04,General population
Johnson & Johnson,311800,2022-05-03,2022-05-04,General population
Moderna,2024860,2022-05-03,2022-05-04,Long-term care
Pfizer,2849060,2022-05-03,2022-05-04,Long-term care
Johnson & Johnson,192100,2022-05-03,2022-05-04,Long-term care
Moderna,2488060,2022-05-02,2022-05-03,General population
Pfizer,4835260,2022-05-02,2022-05-03,General population
Johnson & Johnson,311800,2022-05-02,2022-05-03,General population
Moderna,2024860,2022-05-02,2022-05-03,Long-term care
Pfizer,2849060,2022-05-02,2022-05-03,Long-term care
Johnson & Johnson,192100,2022-05-02,2022-05-03,Long-term care
Moderna,2485160,2022-04-29,2022-05-02,General population
Pfizer,4830060,2022-04-29,2022-05-02,General population
Johnson & Johnson,311800,2022-04-29,2022-05-02,General population
Moderna,2024160,2022-04-29,2022-05-02,Long-term care
Pfizer,2845860,2022-04-29,2022-05-02,Long-term care
Johnson & Johnson,192100,2022-04-29,2022-05-02,Long-term care
Moderna,2484060,2022-04-28,2022-04-29,General population
Pfizer,4821360,2022-04-28,2022-04-29,General population
Johnson & Johnson,311800,2022-04-28,2022-04-29,General population
Moderna,2020060,2022-04-28,2022-04-29,Long-term care
Pfizer,2837960,2022-04-28,2022-04-29,Long-term care
Johnson & Johnson,192100,2022-04-28,2022-04-29,Long-term care
Moderna,2482960,2022-04-27,2022-04-28,General population
Pfizer,4811660,2022-04-27,2022-04-28,General population
Johnson & Johnson,311800,2022-04-27,2022-04-28,General population
Moderna,2010460,2022-04-27,2022-04-28,Long-term care
Pfizer,2831060,2022-04-27,2022-04-28,Long-term care
Johnson & Johnson,192000,2022-04-27,2022-04-28,Long-term care
Moderna,2482060,2022-04-26,2022-04-27,General population
Pfizer,4805560,2022-04-26,2022-04-27,General population
Johnson & Johnson,311800,2022-04-26,2022-04-27,General population
Moderna,2002960,2022-04-26,2022-04-27,Long-term care
Pfizer,2828860,2022-04-26,2022-04-27,Long-term care
Johnson & Johnson,191900,2022-04-26,2022-04-27,Long-term care
Moderna,2476760,2022-04-25,2022-04-26,General population
Pfizer,4801760,2022-04-25,2022-04-26,General population
Johnson & Johnson,311800,2022-04-25,2022-04-26,General population
Moderna,2000260,2022-04-25,2022-04-26,Long-term care
Pfizer,2826160,2022-04-25,2022-04-26,Long-term care
Johnson & Johnson,191700,2022-04-25,2022-04-26,Long-term care
Moderna,2475560,2022-04-22,2022-04-25,General population
Pfizer,4801360,2022-04-22,2022-04-25,General population
Johnson & Johnson,311800,2022-04-22,2022-04-25,General population
Moderna,1997760,2022-04-22,2022-04-25,Long-term care
Pfizer,2814960,2022-04-22,2022-04-25,Long-term care
Johnson & Johnson,191700,2022-04-22,2022-04-25,Long-term care
Moderna,2474260,2022-04-21,2022-04-22,General population
Pfizer,4796660,2022-04-21,2022-04-22,General population
Johnson & Johnson,311800,2022-04-21,2022-04-22,General population
Moderna,1983760,2022-04-21,2022-04-22,Long-term care
Pfizer,2807560,2022-04-21,2022-04-22,Long-term care
Johnson & Johnson,191700,2022-04-21,2022-04-22,Long-term care
Moderna,2473860,2022-04-20,2022-04-21,General population
Pfizer,4778360,2022-04-20,2022-04-21,General population
Johnson & Johnson,311800,2022-04-20,2022-04-21,General population
Moderna,1982460,2022-04-20,2022-04-21,Long-term care
Pfizer,2793260,2022-04-20,2022-04-21,Long-term care
Johnson & Johnson,191700,2022-04-20,2022-04-21,Long-term care
Moderna,2471660,2022-04-19,2022-04-20,General population
Pfizer,4775660,2022-04-19,2022-04-20,General population
Johnson & Johnson,311800,2022-04-19,2022-04-20,General population
Moderna,1974560,2022-04-19,2022-04-20,Long-term care
Pfizer,2790860,2022-04-19,2022-04-20,Long-term care
Johnson & Johnson,191700,2022-04-19,2022-04-20,Long-term care
Moderna,2455260,2022-04-18,2022-04-19,General population
Pfizer,4757960,2022-04-18,2022-04-19,General population
Johnson & Johnson,311800,2022-04-18,2022-04-19,General population
Moderna,1970760,2022-04-18,2022-04-19,Long-term care
Pfizer,2776860,2022-04-18,2022-04-19,Long-term care
Johnson & Johnson,191700,2022-04-18,2022-04-19,Long-term care
Moderna,2455260,2022-04-15,2022-04-18,General population
Pfizer,4751560,2022-04-15,2022-04-18,General population
Johnson & Johnson,311800,2022-04-15,2022-04-18,General population
Moderna,1970760,2022-04-15,2022-04-18,Long-term care
Pfizer,2774960,2022-04-15,2022-04-18,Long-term care
Johnson & Johnson,191700,2022-04-15,2022-04-18,Long-term care
Moderna,2455260,2022-04-15,2022-04-16,General population
Pfizer,4751560,2022-04-15,2022-04-16,General population
Johnson & Johnson,311800,2022-04-15,2022-04-16,General population
Moderna,1970760,2022-04-15,2022-04-16,Long-term care
Pfizer,2774960,2022-04-15,2022-04-16,Long-term care
Johnson & Johnson,191700,2022-04-15,2022-04-16,Long-term care
Moderna,2451860,2022-04-14,2022-04-15,General population
Pfizer,4731960,2022-04-14,2022-04-15,General population
Johnson & Johnson,311800,2022-04-14,2022-04-15,General population
Moderna,1956060,2022-04-14,2022-04-15,Long-term care
Pfizer,2762360,2022-04-14,2022-04-15,Long-term care
Johnson & Johnson,191700,2022-04-14,2022-04-15,Long-term care
Moderna,2450360,2022-04-12,2022-04-14,General population
Pfizer,4718360,2022-04-12,2022-04-14,General population
Johnson & Johnson,311800,2022-04-12,2022-04-14,General population
Moderna,1953060,2022-04-12,2022-04-14,Long-term care
Pfizer,2754960,2022-04-12,2022-04-14,Long-term care
Johnson & Johnson,191700,2022-04-12,2022-04-14,Long-term care
Moderna,2447660,2022-04-12,2022-04-13,General population
Pfizer,4707960,2022-04-12,2022-04-13,General population
Johnson & Johnson,311800,2022-04-12,2022-04-13,General population
Moderna,1940260,2022-04-12,2022-04-13,Long-term care
Pfizer,2753660,2022-04-12,2022-04-13,Long-term care
Johnson & Johnson,191600,2022-04-12,2022-04-13,Long-term care
Moderna,2441160,2022-04-11,2022-04-12,General population
Pfizer,4703060,2022-04-11,2022-04-12,General population
Johnson & Johnson,311800,2022-04-11,2022-04-12,General population
Moderna,1937560,2022-04-11,2022-04-12,Long-term care
Pfizer,2746760,2022-04-11,2022-04-12,Long-term care
Johnson & Johnson,191600,2022-04-11,2022-04-12,Long-term care
Moderna,2439660,2022-04-08,2022-04-11,General population
Pfizer,4698960,2022-04-08,2022-04-11,General population
Johnson & Johnson,311800,2022-04-08,2022-04-11,General population
Moderna,1936860,2022-04-08,2022-04-11,Long-term care
Pfizer,2744960,2022-04-08,2022-04-11,Long-term care
