category,doses,filed_date,report_date
Moderna,3775841,2023-01-28,2023-02-02
Unknown/missing,5012,2023-01-28,2023-02-02
Pfizer - Bivalent Booster,978168,2023-01-28,2023-02-02
Pfizer,6466310,2023-01-28,2023-02-02
Moderna - Bivalent Booster,386257,2023-01-28,2023-02-02
Novavax,984,2023-01-28,2023-02-02
Johnson & Johnson,343058,2023-01-28,2023-02-02
Total vaccine doses administered,11955630,2023-01-28,2023-02-02
Moderna,3776062,2023-01-21,2023-01-26
Unknown/missing,4960,2023-01-21,2023-01-26
Pfizer - Bivalent Booster,966617,2023-01-21,2023-01-26
Pfizer,6464818,2023-01-21,2023-01-26
Moderna - Bivalent Booster,382044,2023-01-21,2023-01-26
Novavax,974,2023-01-21,2023-01-26
Johnson & Johnson,343081,2023-01-21,2023-01-26
Total vaccine doses administered,11938556,2023-01-21,2023-01-26
Moderna,3776786,2023-01-14,2023-01-19
Unknown/missing,4917,2023-01-14,2023-01-19
Pfizer - Bivalent Booster,953526,2023-01-14,2023-01-19
Pfizer,6463663,2023-01-14,2023-01-19
Moderna - Bivalent Booster,377253,2023-01-14,2023-01-19
Novavax,963,2023-01-14,2023-01-19
Johnson & Johnson,343102,2023-01-14,2023-01-19
Total vaccine doses administered,11920210,2023-01-14,2023-01-19
Moderna,3777064,2023-01-07,2023-01-12
Unknown/missing,4875,2023-01-07,2023-01-12
Pfizer - Bivalent Booster,936524,2023-01-07,2023-01-12
Pfizer,6461747,2023-01-07,2023-01-12
Moderna - Bivalent Booster,370340,2023-01-07,2023-01-12
Novavax,945,2023-01-07,2023-01-12
Johnson & Johnson,343110,2023-01-07,2023-01-12
Total vaccine doses administered,11894605,2023-01-07,2023-01-12
Moderna,3777429,2022-12-31,2023-01-05
Unknown/missing,4840,2022-12-31,2023-01-05
Pfizer - Bivalent Booster,922630,2022-12-31,2023-01-05
Pfizer,6460503,2022-12-31,2023-01-05
Moderna - Bivalent Booster,364978,2022-12-31,2023-01-05
Novavax,934,2022-12-31,2023-01-05
Johnson & Johnson,343120,2022-12-31,2023-01-05
Total vaccine doses administered,11874434,2022-12-31,2023-01-05
Moderna,3777754,2022-12-24,2022-12-29
Unknown/missing,4804,2022-12-24,2022-12-29
Pfizer - Bivalent Booster,904138,2022-12-24,2022-12-29
Pfizer,6459224,2022-12-24,2022-12-29
Moderna - Bivalent Booster,357622,2022-12-24,2022-12-29
Novavax,923,2022-12-24,2022-12-29
Johnson & Johnson,343126,2022-12-24,2022-12-29
Total vaccine doses administered,11847591,2022-12-24,2022-12-29
Moderna,3777701,2022-12-17,2022-12-22
Unknown/missing,4758,2022-12-17,2022-12-22
Pfizer - Bivalent Booster,881602,2022-12-17,2022-12-22
Pfizer,6457643,2022-12-17,2022-12-22
Moderna - Bivalent Booster,348407,2022-12-17,2022-12-22
Novavax,908,2022-12-17,2022-12-22
Johnson & Johnson,343112,2022-12-17,2022-12-22
Total vaccine doses administered,11814131,2022-12-17,2022-12-22
Moderna,3777792,2022-12-10,2022-12-15
Unknown/missing,4693,2022-12-10,2022-12-15
Pfizer - Bivalent Booster,850424,2022-12-10,2022-12-15
Pfizer,6455334,2022-12-10,2022-12-15
Moderna - Bivalent Booster,335320,2022-12-10,2022-12-15
Novavax,888,2022-12-10,2022-12-15
Johnson & Johnson,343132,2022-12-10,2022-12-15
Total vaccine doses administered,11767583,2022-12-10,2022-12-15
Moderna,3777392,2022-12-03,2022-12-08
Unknown/missing,4698,2022-12-03,2022-12-08
Pfizer - Bivalent Booster,812324,2022-12-03,2022-12-08
Pfizer,6451883,2022-12-03,2022-12-08
Moderna - Bivalent Booster,318864,2022-12-03,2022-12-08
Novavax,860,2022-12-03,2022-12-08
Johnson & Johnson,343138,2022-12-03,2022-12-08
Total vaccine doses administered,11709159,2022-12-03,2022-12-08
Moderna,3777506,2022-11-26,2022-12-01
Unknown/missing,4638,2022-11-26,2022-12-01
Pfizer - Bivalent Booster,773856,2022-11-26,2022-12-01
Pfizer,6448613,2022-11-26,2022-12-01
Moderna - Bivalent Booster,303103,2022-11-26,2022-12-01
Novavax,836,2022-11-26,2022-12-01
Johnson & Johnson,343166,2022-11-26,2022-12-01
Total vaccine doses administered,11651718,2022-11-26,2022-12-01
Moderna,3777289,2022-11-19,2022-11-24
Unknown/missing,4608,2022-11-19,2022-11-24
Pfizer - Bivalent Booster,739274,2022-11-19,2022-11-24
Pfizer,6445564,2022-11-19,2022-11-24
Moderna - Bivalent Booster,289253,2022-11-19,2022-11-24
Novavax,814,2022-11-19,2022-11-24
Johnson & Johnson,343174,2022-11-19,2022-11-24
Total vaccine doses administered,11599976,2022-11-19,2022-11-24
Moderna,3777175,2022-11-12,2022-11-17
Unknown/missing,4582,2022-11-12,2022-11-17
Pfizer - Bivalent Booster,683861,2022-11-12,2022-11-17
Pfizer,6443412,2022-11-12,2022-11-17
Moderna - Bivalent Booster,265453,2022-11-12,2022-11-17
Novavax,789,2022-11-12,2022-11-17
Johnson & Johnson,343170,2022-11-12,2022-11-17
Total vaccine doses administered,11518442,2022-11-12,2022-11-17
Moderna,3776800,2022-11-05,2022-11-10
Unknown/missing,4501,2022-11-05,2022-11-10
Pfizer - Bivalent Booster,622442,2022-11-05,2022-11-10
Pfizer,6438708,2022-11-05,2022-11-10
Moderna - Bivalent Booster,238509,2022-11-05,2022-11-10
Novavax,765,2022-11-05,2022-11-10
Johnson & Johnson,343159,2022-11-05,2022-11-10
Total vaccine doses administered,11424884,2022-11-05,2022-11-10
Moderna,3776182,2022-10-29,2022-11-03
Unknown/missing,4433,2022-10-29,2022-11-03
Pfizer - Bivalent Booster,551421,2022-10-29,2022-11-03
Pfizer,6435377,2022-10-29,2022-11-03
Moderna - Bivalent Booster,208272,2022-10-29,2022-11-03
Novavax,718,2022-10-29,2022-11-03
Johnson & Johnson,343151,2022-10-29,2022-11-03
Total vaccine doses administered,11319554,2022-10-29,2022-11-03
Moderna,3774237,2022-10-22,2022-10-27
Unknown/missing,4382,2022-10-22,2022-10-27
Pfizer - Bivalent Booster,470835,2022-10-22,2022-10-27
Pfizer,6429289,2022-10-22,2022-10-27
Moderna - Bivalent Booster,173929,2022-10-22,2022-10-27
Novavax,680,2022-10-22,2022-10-27
Johnson & Johnson,343079,2022-10-22,2022-10-27
Total vaccine doses administered,11196431,2022-10-22,2022-10-27
Moderna,3772284,2022-10-15,2022-10-20
Unknown/missing,4208,2022-10-15,2022-10-20
Pfizer - Bivalent Booster,384426,2022-10-15,2022-10-20
Pfizer,6423686,2022-10-15,2022-10-20
Moderna - Bivalent Booster,137018,2022-10-15,2022-10-20
Novavax,646,2022-10-15,2022-10-20
Johnson & Johnson,343074,2022-10-15,2022-10-20
Total vaccine doses administered,11065342,2022-10-15,2022-10-20
Moderna,3771000,2022-10-08,2022-10-13
Unknown/missing,4390,2022-10-08,2022-10-13
Pfizer - Bivalent Booster,302543,2022-10-08,2022-10-13
Pfizer,6417989,2022-10-08,2022-10-13
Moderna - Bivalent Booster,107648,2022-10-08,2022-10-13
Novavax,611,2022-10-08,2022-10-13
Johnson & Johnson,343028,2022-10-08,2022-10-13
Total vaccine doses administered,10947209,2022-10-08,2022-10-13
Moderna,3769496,2022-10-01,2022-10-06
Unknown/missing,4298,2022-10-01,2022-10-06
Pfizer - Bivalent Booster,218350,2022-10-01,2022-10-06
Pfizer,6411322,2022-10-01,2022-10-06
Moderna - Bivalent Booster,77383,2022-10-01,2022-10-06
Novavax,582,2022-10-01,2022-10-06
Johnson & Johnson,342999,2022-10-01,2022-10-06
Total vaccine doses administered,10824430,2022-10-01,2022-10-06
Moderna,3768975,2022-09-24,2022-09-29
Unknown/missing,4243,2022-09-24,2022-09-29
Pfizer - Bivalent Booster,139580,2022-09-24,2022-09-29
Pfizer,6404358,2022-09-24,2022-09-29
Moderna - Bivalent Booster,52530,2022-09-24,2022-09-29
Novavax,538,2022-09-24,2022-09-29
Johnson & Johnson,343005,2022-09-24,2022-09-29
Total vaccine doses administered,10713229,2022-09-24,2022-09-29
Total vaccine doses administered,10638967,2022-09-20,2022-09-22
Total Pfizer doses administered,6398945,2022-09-20,2022-09-22
Total Moderna doses administered,3768557,2022-09-20,2022-09-22
Total Johnson & Johnson doses administered,342997,2022-09-20,2022-09-22
Total Unknown/missing vaccine type,4058,2022-09-20,2022-09-22
Total vaccine doses administered,10537467,2022-09-12,2022-09-14
Total Pfizer doses administered,6390247,2022-09-12,2022-09-14
Total Moderna doses administered,3766898,2022-09-12,2022-09-14
Total Johnson & Johnson doses administered,342953,2022-09-12,2022-09-14
Total Unknown/missing vaccine type,4457,2022-09-12,2022-09-14
Total vaccine doses administered,10496781,2022-09-06,2022-09-08
Total Pfizer doses administered,6383797,2022-09-06,2022-09-08
Total Moderna doses administered,3765608,2022-09-06,2022-09-08
Total Johnson & Johnson doses administered,342942,2022-09-06,2022-09-08
Total Unknown/missing vaccine type,3957,2022-09-06,2022-09-08
Total vaccine doses administered,10485588,2022-08-30,2022-09-01
Total Pfizer doses administered,6374909,2022-08-30,2022-09-01
Total Moderna doses administered,3763480,2022-08-30,2022-09-01
Total Johnson & Johnson doses administered,342902,2022-08-30,2022-09-01
Total Unknown/missing vaccine type,3931,2022-08-30,2022-09-01
Total vaccine doses administered,10464595,2022-08-23,2022-08-25
Total Pfizer doses administered,6358488,2022-08-23,2022-08-25
Total Moderna doses administered,3758991,2022-08-23,2022-08-25
Total Johnson & Johnson doses administered,342902,2022-08-23,2022-08-25
Total Unknown/missing vaccine type,3891,2022-08-23,2022-08-25
Total vaccine doses administered,10444558,2022-08-17,2022-08-19
Total Pfizer doses administered,6343953,2022-08-17,2022-08-19
Total Moderna doses administered,3753622,2022-08-17,2022-08-19
Total Johnson & Johnson doses administered,342820,2022-08-17,2022-08-19
Total Unknown/missing vaccine type,3870,2022-08-17,2022-08-19
Total vaccine doses administered,10439012,2022-08-16,2022-08-18
Total Pfizer doses administered,6340000,2022-08-16,2022-08-18
Total Moderna doses administered,3752079,2022-08-16,2022-08-18
