age,people_complete,filed_date,report_date
50-64,346283,2023-06-17,2023-06-22
12-15,41771,2023-06-17,2023-06-22
0.5-4,14846,2023-06-17,2023-06-22
16-17,22517,2023-06-17,2023-06-22
Unknown/missing,NA,2023-06-17,2023-06-22
65+,588000,2023-06-17,2023-06-22
18-49,433989,2023-06-17,2023-06-22
5-11,50573,2023-06-17,2023-06-22
65+,780856,2023-06-10,2023-06-15
Unknown/missing,NA,2023-06-10,2023-06-15
16-17,96290,2023-06-10,2023-06-15
18-49,1610934,2023-06-10,2023-06-15
0.5-4,39979,2023-06-10,2023-06-15
5-11,214042,2023-06-10,2023-06-15
12-15,185907,2023-06-10,2023-06-15
50-64,861938,2023-06-10,2023-06-15
5-11,214037,2023-06-03,2023-06-08
16-17,96291,2023-06-03,2023-06-08
65+,781378,2023-06-03,2023-06-08
0.5-4,39765,2023-06-03,2023-06-08
Unknown/missing,NA,2023-06-03,2023-06-08
50-64,862024,2023-06-03,2023-06-08
18-49,1610814,2023-06-03,2023-06-08
12-15,185905,2023-06-03,2023-06-08
16-17,96288,2023-05-27,2023-06-01
Unknown/missing,NA,2023-05-27,2023-06-01
5-11,214043,2023-05-27,2023-06-01
65+,781854,2023-05-27,2023-06-01
0.5-4,39558,2023-05-27,2023-06-01
50-64,862073,2023-05-27,2023-06-01
12-15,185910,2023-05-27,2023-06-01
18-49,1610704,2023-05-27,2023-06-01
65+,782366,2023-05-20,2023-05-25
Unknown/missing,NA,2023-05-20,2023-05-25
16-17,96281,2023-05-20,2023-05-25
0.5-4,39328,2023-05-20,2023-05-25
12-15,185912,2023-05-20,2023-05-25
18-49,1610606,2023-05-20,2023-05-25
50-64,862133,2023-05-20,2023-05-25
5-11,214026,2023-05-20,2023-05-25
50-64,862224,2023-05-13,2023-05-18
12-15,185913,2023-05-13,2023-05-18
0.5-4,39066,2023-05-13,2023-05-18
18-49,1610513,2023-05-13,2023-05-18
16-17,96273,2023-05-13,2023-05-18
5-11,214019,2023-05-13,2023-05-18
65+,782921,2023-05-13,2023-05-18
Unknown/missing,NA,2023-05-13,2023-05-18
18-49,1610406,2023-05-06,2023-05-11
65+,783346,2023-05-06,2023-05-11
0.5-4,38806,2023-05-06,2023-05-11
16-17,96266,2023-05-06,2023-05-11
5-11,214017,2023-05-06,2023-05-11
12-15,185902,2023-05-06,2023-05-11
50-64,862276,2023-05-06,2023-05-11
Unknown/missing,NA,2023-05-06,2023-05-11
5-11,214007,2023-04-29,2023-05-04
12-15,185898,2023-04-29,2023-05-04
50-64,862347,2023-04-29,2023-05-04
18-49,1610273,2023-04-29,2023-05-04
65+,783892,2023-04-29,2023-05-04
0.5-4,38528,2023-04-29,2023-05-04
Unknown/missing,NA,2023-04-29,2023-05-04
16-17,96264,2023-04-29,2023-05-04
5-11,213999,2023-04-22,2023-04-27
12-15,185890,2023-04-22,2023-04-27
50-64,862398,2023-04-22,2023-04-27
Unknown/missing,NA,2023-04-22,2023-04-27
18-49,1610156,2023-04-22,2023-04-27
65+,784454,2023-04-22,2023-04-27
0.5-4,38253,2023-04-22,2023-04-27
16-17,96262,2023-04-22,2023-04-27
12-15,185865,2023-04-15,2023-04-20
50-64,862456,2023-04-15,2023-04-20
0.5-4,37954,2023-04-15,2023-04-20
65+,785011,2023-04-15,2023-04-20
Unknown/missing,NA,2023-04-15,2023-04-20
16-17,96244,2023-04-15,2023-04-20
18-49,1609947,2023-04-15,2023-04-20
5-11,213935,2023-04-15,2023-04-20
0.5-4,37556,2023-04-08,2023-04-13
12-15,185839,2023-04-08,2023-04-13
18-49,1609659,2023-04-08,2023-04-13
50-64,862491,2023-04-08,2023-04-13
5-11,213811,2023-04-08,2023-04-13
65+,785568,2023-04-08,2023-04-13
Unknown/missing,NA,2023-04-08,2023-04-13
16-17,96230,2023-04-08,2023-04-13
18-49,1609367,2023-04-01,2023-04-06
50-64,862528,2023-04-01,2023-04-06
12-15,185794,2023-04-01,2023-04-06
Unknown/missing,NA,2023-04-01,2023-04-06
5-11,213700,2023-04-01,2023-04-06
0.5-4,37153,2023-04-01,2023-04-06
65+,786116,2023-04-01,2023-04-06
16-17,96223,2023-04-01,2023-04-06
0.5-4,36761,2023-03-25,2023-03-31
5-11,213566,2023-03-25,2023-03-31
Unknown/missing,NA,2023-03-25,2023-03-31
16-17,96203,2023-03-25,2023-03-31
18-49,1609023,2023-03-25,2023-03-31
50-64,862571,2023-03-25,2023-03-31
65+,786612,2023-03-25,2023-03-31
12-15,185741,2023-03-25,2023-03-31
5-11,213406,2023-03-18,2023-03-23
50-64,862618,2023-03-18,2023-03-23
12-15,185700,2023-03-18,2023-03-23
18-49,1608656,2023-03-18,2023-03-23
0.5-4,36283,2023-03-18,2023-03-23
16-17,96182,2023-03-18,2023-03-23
Unknown/missing,NA,2023-03-18,2023-03-23
65+,787182,2023-03-18,2023-03-23
50-64,862644,2023-03-11,2023-03-16
12-15,185658,2023-03-11,2023-03-16
5-11,213275,2023-03-11,2023-03-16
16-17,96161,2023-03-11,2023-03-16
18-49,1608338,2023-03-11,2023-03-16
65+,787746,2023-03-11,2023-03-16
0.5-4,35766,2023-03-11,2023-03-16
Unknown/missing,NA,2023-03-11,2023-03-16
Unknown/missing,NA,2023-03-04,2023-03-09
5-11,213116,2023-03-04,2023-03-09
16-17,96139,2023-03-04,2023-03-09
65+,788341,2023-03-04,2023-03-09
0.5-4,35285,2023-03-04,2023-03-09
50-64,862682,2023-03-04,2023-03-09
12-15,185599,2023-03-04,2023-03-09
18-49,1607997,2023-03-04,2023-03-09
Unknown/missing,NA,2023-02-25,2023-03-02
16-17,96116,2023-02-25,2023-03-02
