gender,people_complete,filed_date,report_date
FEMALE,830789,2023-06-17,2023-06-22
Unknown/Missing,1705,2023-06-17,2023-06-22
MALE,665472,2023-06-17,2023-06-22
OTHER,NA,2023-06-17,2023-06-22
FEMALE,1993782,2023-06-10,2023-06-15
MALE,1780507,2023-06-10,2023-06-15
OTHER,70,2023-06-10,2023-06-15
Unknown/Missing,15597,2023-06-10,2023-06-15
MALE,1780635,2023-06-03,2023-06-08
Unknown/Missing,15631,2023-06-03,2023-06-08
OTHER,70,2023-06-03,2023-06-08
FEMALE,1993887,2023-06-03,2023-06-08
MALE,1780707,2023-05-27,2023-06-01
OTHER,70,2023-05-27,2023-06-01
Unknown/Missing,15657,2023-05-27,2023-06-01
FEMALE,1994005,2023-05-27,2023-06-01
FEMALE,1994076,2023-05-20,2023-05-25
MALE,1780793,2023-05-20,2023-05-25
OTHER,71,2023-05-20,2023-05-25
Unknown/Missing,15721,2023-05-20,2023-05-25
Unknown/Missing,15756,2023-05-13,2023-05-18
FEMALE,1994181,2023-05-13,2023-05-18
MALE,1780930,2023-05-13,2023-05-18
OTHER,71,2023-05-13,2023-05-18
OTHER,70,2023-05-06,2023-05-11
FEMALE,1994208,2023-05-06,2023-05-11
Unknown/Missing,15787,2023-05-06,2023-05-11
MALE,1780963,2023-05-06,2023-05-11
MALE,1781042,2023-04-29,2023-05-04
Unknown/Missing,15813,2023-04-29,2023-05-04
FEMALE,1994291,2023-04-29,2023-05-04
OTHER,70,2023-04-29,2023-05-04
MALE,1781114,2023-04-22,2023-04-27
Unknown/Missing,15846,2023-04-22,2023-04-27
OTHER,70,2023-04-22,2023-04-27
FEMALE,1994387,2023-04-22,2023-04-27
OTHER,72,2023-04-15,2023-04-20
FEMALE,1994362,2023-04-15,2023-04-20
Unknown/Missing,15864,2023-04-15,2023-04-20
MALE,1781118,2023-04-15,2023-04-20
Unknown/Missing,15890,2023-04-08,2023-04-13
FEMALE,1994193,2023-04-08,2023-04-13
MALE,1781000,2023-04-08,2023-04-13
OTHER,74,2023-04-08,2023-04-13
FEMALE,1994033,2023-04-01,2023-04-06
Unknown/Missing,15924,2023-04-01,2023-04-06
OTHER,74,2023-04-01,2023-04-06
MALE,1780853,2023-04-01,2023-04-06
Unknown/Missing,15946,2023-03-25,2023-03-31
FEMALE,1993815,2023-03-25,2023-03-31
MALE,1780644,2023-03-25,2023-03-31
OTHER,74,2023-03-25,2023-03-31
Unknown/Missing,15988,2023-03-18,2023-03-23
OTHER,75,2023-03-18,2023-03-23
MALE,1780420,2023-03-18,2023-03-23
FEMALE,1993553,2023-03-18,2023-03-23
FEMALE,1993283,2023-03-11,2023-03-16
OTHER,74,2023-03-11,2023-03-16
Unknown/Missing,16011,2023-03-11,2023-03-16
MALE,1780233,2023-03-11,2023-03-16
MALE,1779994,2023-03-04,2023-03-09
Unknown/Missing,16044,2023-03-04,2023-03-09
FEMALE,1993065,2023-03-04,2023-03-09
OTHER,74,2023-03-04,2023-03-09
FEMALE,1992790,2023-02-25,2023-03-02
MALE,1779709,2023-02-25,2023-03-02
Unknown/Missing,16075,2023-02-25,2023-03-02
OTHER,74,2023-02-25,2023-03-02
OTHER,74,2023-02-18,2023-02-23
FEMALE,1992612,2023-02-18,2023-02-23
Unknown/Missing,16109,2023-02-18,2023-02-23
MALE,1779617,2023-02-18,2023-02-23
MALE,1779356,2023-02-11,2023-02-16
FEMALE,1992252,2023-02-11,2023-02-16
OTHER,74,2023-02-11,2023-02-16
Unknown/Missing,16139,2023-02-11,2023-02-16
FEMALE,1991870,2023-02-04,2023-02-09
OTHER,74,2023-02-04,2023-02-09
MALE,1779012,2023-02-04,2023-02-09
Unknown/Missing,16175,2023-02-04,2023-02-09
MALE,1778596,2023-01-28,2023-02-02
OTHER,74,2023-01-28,2023-02-02
FEMALE,1991480,2023-01-28,2023-02-02
Unknown/Missing,16219,2023-01-28,2023-02-02
Unknown/Missing,16263,2023-01-21,2023-01-26
FEMALE,1991094,2023-01-21,2023-01-26
OTHER,74,2023-01-21,2023-01-26
MALE,1778152,2023-01-21,2023-01-26
OTHER,73,2023-01-14,2023-01-19
MALE,1777789,2023-01-14,2023-01-19
FEMALE,1990745,2023-01-14,2023-01-19
Unknown/Missing,16317,2023-01-14,2023-01-19
Unknown/Missing,16356,2023-01-07,2023-01-12
MALE,1777218,2023-01-07,2023-01-12
FEMALE,1990224,2023-01-07,2023-01-12
OTHER,73,2023-01-07,2023-01-12
