age_group,year,week,case_definition,white,black_african_american,american_indian,asian_pacific_islander,multiracial,hispanic,web_date
65+,2022,21,At least one vaccine dose,0.997,1,0.846,1,0.97,0.961,2022-06-06
11-May,2022,21,At least one vaccine dose,0.379,0.301,0.365,0.674,0.243,0.337,2022-06-06
5+,2022,21,At least one vaccine dose,0.711,0.711,0.628,0.892,0.414,0.711,2022-06-06
45-64,2022,21,At least one vaccine dose,0.7070000000000001,0.9229999999999999,0.701,0.982,0.6759999999999999,0.88,2022-06-06
19-44,2022,21,At least one vaccine dose,0.6679999999999999,0.722,0.628,0.8640000000000001,0.447,0.774,2022-06-06
18-Dec,2022,21,At least one vaccine dose,0.5720000000000001,0.655,0.621,0.93,0.312,0.664,2022-06-06
12+,2022,21,At least one vaccine dose,0.741,0.7879999999999999,0.6709999999999999,0.9209999999999999,0.466,0.785,2022-06-06
65+,2022,21,Completed vaccine series,0.965,1,0.8190000000000001,1,0.9309999999999999,0.893,2022-06-06
11-May,2022,21,Completed vaccine series,0.354,0.249,0.295,0.619,0.221,0.29,2022-06-06
5+,2022,21,Completed vaccine series,0.6829999999999999,0.644,0.5710000000000001,0.8390000000000001,0.38799999999999996,0.647,2022-06-06
45-64,2022,21,Completed vaccine series,0.6890000000000001,0.87,0.659,0.9390000000000001,0.654,0.8290000000000001,2022-06-06
19-44,2022,21,Completed vaccine series,0.632,0.644,0.56,0.807,0.415,0.698,2022-06-06
18-Dec,2022,21,Completed vaccine series,0.547,0.5770000000000001,0.561,0.885,0.293,0.605,2022-06-06
12+,2022,21,Completed vaccine series,0.713,0.718,0.617,0.8690000000000001,0.439,0.718,2022-06-06
65+,2022,21,Up to date vaccine doses,0.825,0.8170000000000001,0.649,0.925,0.759,0.6940000000000001,2022-06-06
11-May,2022,21,Up to date vaccine doses,0.35200000000000004,0.248,0.292,0.619,0.221,0.29,2022-06-06
5+,2022,21,Up to date vaccine doses,0.494,0.354,0.379,0.583,0.262,0.37200000000000005,2022-06-06
45-64,2022,21,Up to date vaccine doses,0.504,0.53,0.465,0.72,0.46799999999999997,0.542,2022-06-06
19-44,2022,21,Up to date vaccine doses,0.387,0.289,0.331,0.501,0.245,0.344,2022-06-06
18-Dec,2022,21,Up to date vaccine doses,0.27399999999999997,0.23,0.262,0.461,0.152,0.265,2022-06-06
12+,2022,21,Up to date vaccine doses,0.507,0.374,0.39399999999999996,0.578,0.275,0.389,2022-06-06
65+,2022,20,At least one vaccine dose,0.996,1,0.845,1,0.9690000000000001,0.9590000000000001,2022-06-06
11-May,2022,20,At least one vaccine dose,0.37799999999999995,0.299,0.36200000000000004,0.6709999999999999,0.242,0.336,2022-06-06
5+,2022,20,At least one vaccine dose,0.711,0.71,0.626,0.8909999999999999,0.413,0.71,2022-06-06
45-64,2022,20,At least one vaccine dose,0.7070000000000001,0.922,0.7,0.982,0.675,0.88,2022-06-06
19-44,2022,20,At least one vaccine dose,0.6679999999999999,0.721,0.626,0.863,0.446,0.773,2022-06-06
