zip,people_complete,filed_date,report_date
56641,74,7/15/2023,2023-07-20
56515,844,7/15/2023,2023-07-20
56218,85,7/15/2023,2023-07-20
55077,3975,7/15/2023,2023-07-20
56684,51,7/15/2023,2023-07-20
56057,636,7/15/2023,2023-07-20
55757,196,7/15/2023,2023-07-20
55752,89,7/15/2023,2023-07-20
56446,266,7/15/2023,2023-07-20
56295,45,7/15/2023,2023-07-20
56320,1869,7/15/2023,2023-07-20
56401,5597,7/15/2023,2023-07-20
55421,8064,7/15/2023,2023-07-20
56547,518,7/15/2023,2023-07-20
55918,240,7/15/2023,2023-07-20
55555,6,7/15/2023,2023-07-20
56575,171,7/15/2023,2023-07-20
55386,2572,7/15/2023,2023-07-20
56278,626,7/15/2023,2023-07-20
55402,241,7/15/2023,2023-07-20
55102,7395,7/15/2023,2023-07-20
56122,65,7/15/2023,2023-07-20
56111,46,7/15/2023,2023-07-20
55432,8442,7/15/2023,2023-07-20
56128,228,7/15/2023,2023-07-20
55108,6494,7/15/2023,2023-07-20
55605,156,7/15/2023,2023-07-20
56003,3968,7/15/2023,2023-07-20
56029,157,7/15/2023,2023-07-20
55009,1947,7/15/2023,2023-07-20
56724,37,7/15/2023,2023-07-20
55704,168,7/15/2023,2023-07-20
56118,44,7/15/2023,2023-07-20
55379,10374,7/15/2023,2023-07-20
56287,15,7/15/2023,2023-07-20
56359,622,7/15/2023,2023-07-20
55474,5,7/15/2023,2023-07-20
55407,13572,7/15/2023,2023-07-20
55616,1731,7/15/2023,2023-07-20
56636,912,7/15/2023,2023-07-20
56117,60,7/15/2023,2023-07-20
55979,144,7/15/2023,2023-07-20
56080,116,7/15/2023,2023-07-20
56653,180,7/15/2023,2023-07-20
56540,320,7/15/2023,2023-07-20
56260,137,7/15/2023,2023-07-20
55932,488,7/15/2023,2023-07-20
55319,1030,7/15/2023,2023-07-20
56434,23,7/15/2023,2023-07-20
55414,7390,7/15/2023,2023-07-20
56339,193,7/15/2023,2023-07-20
