age,doses,filed_date,report_date
12-15,436102,2022-06-16,2022-06-21
16-17,235227,2022-06-16,2022-06-21
18-49,3987170,2022-06-16,2022-06-21
5-11,425168,2022-06-16,2022-06-21
50-64,2427807,2022-06-16,2022-06-21
65+,2639719,2022-06-16,2022-06-21
Unknown/missing,741,2022-06-16,2022-06-21
12-15,435841,2022-06-15,2022-06-17
16-17,235137,2022-06-15,2022-06-17
18-49,3986114,2022-06-15,2022-06-17
5-11,424433,2022-06-15,2022-06-17
50-64,2426048,2022-06-15,2022-06-17
65+,2636706,2022-06-15,2022-06-17
Unknown/missing,742,2022-06-15,2022-06-17
12-15,435594,2022-06-14,2022-06-16
16-17,235050,2022-06-14,2022-06-16
18-49,3984989,2022-06-14,2022-06-16
5-11,423741,2022-06-14,2022-06-16
50-64,2424103,2022-06-14,2022-06-16
65+,2633626,2022-06-14,2022-06-16
Unknown/missing,738,2022-06-14,2022-06-16
12-15,435329,2022-06-13,2022-06-15
16-17,234948,2022-06-13,2022-06-15
18-49,3983850,2022-06-13,2022-06-15
5-11,423000,2022-06-13,2022-06-15
50-64,2422223,2022-06-13,2022-06-15
65+,2630518,2022-06-13,2022-06-15
Unknown/missing,735,2022-06-13,2022-06-15
12-15,435081,2022-06-12,2022-06-14
16-17,234838,2022-06-12,2022-06-14
18-49,3982990,2022-06-12,2022-06-14
5-11,422196,2022-06-12,2022-06-14
50-64,2420646,2022-06-12,2022-06-14
65+,2628131,2022-06-12,2022-06-14
Unknown/missing,734,2022-06-12,2022-06-14
12-15,434737,2022-06-09,2022-06-13
16-17,234692,2022-06-09,2022-06-13
18-49,3981529,2022-06-09,2022-06-13
5-11,420896,2022-06-09,2022-06-13
50-64,2417917,2022-06-09,2022-06-13
65+,2625627,2022-06-09,2022-06-13
Unknown/missing,732,2022-06-09,2022-06-13
12-15,434532,2022-06-08,2022-06-10
16-17,234602,2022-06-08,2022-06-10
18-49,3980577,2022-06-08,2022-06-10
5-11,420270,2022-06-08,2022-06-10
50-64,2416007,2022-06-08,2022-06-10
65+,2622305,2022-06-08,2022-06-10
Unknown/missing,729,2022-06-08,2022-06-10
12-15,434115,2022-06-06,2022-06-08
16-17,234380,2022-06-06,2022-06-08
18-49,3978259,2022-06-06,2022-06-08
5-11,418883,2022-06-06,2022-06-08
50-64,2411525,2022-06-06,2022-06-08
65+,2614410,2022-06-06,2022-06-08
Unknown/missing,725,2022-06-06,2022-06-08
12-15,433540,2022-06-02,2022-06-07
16-17,234121,2022-06-02,2022-06-07
18-49,3975538,2022-06-02,2022-06-07
5-11,416532,2022-06-02,2022-06-07
50-64,2406066,2022-06-02,2022-06-07
65+,2607465,2022-06-02,2022-06-07
