gender,doses,filed_date,report_date
MALE,5506091,2023-02-18,2023-02-23
Unknown/Missing,40697,2023-02-18,2023-02-23
OTHER,205,2023-02-18,2023-02-23
FEMALE,6449167,2023-02-18,2023-02-23
MALE,5500697,2023-02-11,2023-02-16
Unknown/Missing,40718,2023-02-11,2023-02-16
OTHER,206,2023-02-11,2023-02-16
FEMALE,6442692,2023-02-11,2023-02-16
MALE,5494684,2023-02-04,2023-02-09
Unknown/Missing,40798,2023-02-04,2023-02-09
OTHER,206,2023-02-04,2023-02-09
FEMALE,6435274,2023-02-04,2023-02-09
MALE,5487626,2023-01-28,2023-02-02
Unknown/Missing,40905,2023-01-28,2023-02-02
OTHER,206,2023-01-28,2023-02-02
FEMALE,6426893,2023-01-28,2023-02-02
MALE,5479691,2023-01-21,2023-01-26
Unknown/Missing,40978,2023-01-21,2023-01-26
OTHER,206,2023-01-21,2023-01-26
FEMALE,6417681,2023-01-21,2023-01-26
MALE,5471085,2023-01-14,2023-01-19
Unknown/Missing,41098,2023-01-14,2023-01-19
OTHER,203,2023-01-14,2023-01-19
FEMALE,6407824,2023-01-14,2023-01-19
MALE,5458983,2023-01-07,2023-01-12
Unknown/Missing,41155,2023-01-07,2023-01-12
OTHER,203,2023-01-07,2023-01-12
FEMALE,6394264,2023-01-07,2023-01-12
MALE,5449630,2022-12-31,2023-01-05
Unknown/Missing,41282,2022-12-31,2023-01-05
OTHER,205,2022-12-31,2023-01-05
FEMALE,6383317,2022-12-31,2023-01-05
MALE,5437264,2022-12-24,2022-12-29
Unknown/Missing,41407,2022-12-24,2022-12-29
OTHER,205,2022-12-24,2022-12-29
FEMALE,6368715,2022-12-24,2022-12-29
MALE,5420972,2022-12-17,2022-12-22
Unknown/Missing,41427,2022-12-17,2022-12-22
OTHER,207,2022-12-17,2022-12-22
FEMALE,6351525,2022-12-17,2022-12-22
MALE,5398626,2022-12-10,2022-12-15
Unknown/Missing,41483,2022-12-10,2022-12-15
OTHER,211,2022-12-10,2022-12-15
FEMALE,6327263,2022-12-10,2022-12-15
MALE,5371117,2022-12-03,2022-12-08
Unknown/Missing,41649,2022-12-03,2022-12-08
OTHER,213,2022-12-03,2022-12-08
FEMALE,6296180,2022-12-03,2022-12-08
MALE,5344363,2022-11-26,2022-12-01
Unknown/Missing,41839,2022-11-26,2022-12-01
OTHER,213,2022-11-26,2022-12-01
FEMALE,6265303,2022-11-26,2022-12-01
MALE,5320060,2022-11-19,2022-11-24
Unknown/Missing,41915,2022-11-19,2022-11-24
OTHER,216,2022-11-19,2022-11-24
FEMALE,6237785,2022-11-19,2022-11-24
MALE,5283004,2022-11-12,2022-11-17
Unknown/Missing,42079,2022-11-12,2022-11-17
OTHER,221,2022-11-12,2022-11-17
FEMALE,6193138,2022-11-12,2022-11-17
MALE,5241666,2022-11-05,2022-11-10
Unknown/Missing,42262,2022-11-05,2022-11-10
OTHER,219,2022-11-05,2022-11-10
FEMALE,6140737,2022-11-05,2022-11-10
MALE,5195330,2022-10-29,2022-11-03
Unknown/Missing,42530,2022-10-29,2022-11-03
OTHER,217,2022-10-29,2022-11-03
FEMALE,6081477,2022-10-29,2022-11-03
MALE,5140883,2022-10-22,2022-10-27
Unknown/Missing,42594,2022-10-22,2022-10-27
OTHER,222,2022-10-22,2022-10-27
FEMALE,6012732,2022-10-22,2022-10-27
MALE,5084117,2022-10-15,2022-10-20
Unknown/Missing,42815,2022-10-15,2022-10-20
OTHER,229,2022-10-15,2022-10-20
FEMALE,5938181,2022-10-15,2022-10-20
MALE,5032744,2022-10-08,2022-10-13
Unknown/Missing,42939,2022-10-08,2022-10-13
OTHER,222,2022-10-08,2022-10-13
FEMALE,5871304,2022-10-08,2022-10-13
MALE,4979916,2022-10-01,2022-10-06
Unknown/Missing,43106,2022-10-01,2022-10-06
OTHER,222,2022-10-01,2022-10-06
FEMALE,5801186,2022-10-01,2022-10-06
MALE,4931891,2022-09-24,2022-09-29
Unknown/Missing,43308,2022-09-24,2022-09-29
OTHER,224,2022-09-24,2022-09-29
FEMALE,5737806,2022-09-24,2022-09-29
Female,5696059,2022-09-20,2022-09-22
Male,4899154,2022-09-20,2022-09-22
Unknown/Missing,43529,2022-09-20,2022-09-22
Other,225,2022-09-20,2022-09-22
Female,5646167,2022-09-13,2022-09-15
Male,4859479,2022-09-13,2022-09-15
Unknown/Missing,43712,2022-09-13,2022-09-15
Other,227,2022-09-13,2022-09-15
Male,4835564,2022-09-06,2022-09-08
Female,5617124,2022-09-06,2022-09-08
Unknown/Missing,43866,2022-09-06,2022-09-08
Other,227,2022-09-06,2022-09-08
Female,5611172,2022-08-30,2022-09-01
Male,4830241,2022-08-30,2022-09-01
Unknown/Missing,43947,2022-08-30,2022-09-01
Other,228,2022-08-30,2022-09-01
Female,5599847,2022-08-23,2022-08-25
Male,4820493,2022-08-23,2022-08-25
Unknown/Missing,44027,2022-08-23,2022-08-25
Other,228,2022-08-23,2022-08-25
Male,4811306,2022-08-17,2022-08-19
Female,5588987,2022-08-17,2022-08-19
Unknown/Missing,44037,2022-08-17,2022-08-19
Other,228,2022-08-17,2022-08-19
Male,4808717,2022-08-16,2022-08-18
Female,5586033,2022-08-16,2022-08-18
Unknown/Missing,44034,2022-08-16,2022-08-18
Other,228,2022-08-16,2022-08-18
Female,5570013,2022-08-09,2022-08-11
Male,4794875,2022-08-09,2022-08-11
Unknown/Missing,44141,2022-08-09,2022-08-11
Other,231,2022-08-09,2022-08-11
Male,4779294,2022-08-01,2022-08-03
Female,5551318,2022-08-01,2022-08-03
Unknown/Missing,44212,2022-08-01,2022-08-03
Other,234,2022-08-01,2022-08-03
Female,5534469,2022-07-26,2022-07-28
Male,4765286,2022-07-26,2022-07-28
Unknown/Missing,44274,2022-07-26,2022-07-28
Other,234,2022-07-26,2022-07-28
Female,5512469,2022-07-19,2022-07-21
Male,4746847,2022-07-19,2022-07-21
Unknown/Missing,44354,2022-07-19,2022-07-21
Other,236,2022-07-19,2022-07-21
Male,4727149,2022-07-12,2022-07-14
Female,5488310,2022-07-12,2022-07-14
Unknown/Missing,44484,2022-07-12,2022-07-14
Other,238,2022-07-12,2022-07-14
Female,5470677,2022-07-05,2022-07-07
Male,4712506,2022-07-05,2022-07-07
Unknown/Missing,44579,2022-07-05,2022-07-07
Other,238,2022-07-05,2022-07-07
Female,5461236,2022-06-29,2022-07-01
Male,4704728,2022-06-29,2022-07-01
Unknown/Missing,44621,2022-06-29,2022-07-01
Other,240,2022-06-29,2022-07-01
Female,5453427,2022-06-27,2022-06-29
Male,4698537,2022-06-27,2022-06-29
Unknown/Missing,44645,2022-06-27,2022-06-29
