provider,doses,filed_date,report_date
Primary Care,3818305,2023-01-21,2023-01-26
Community Vaccinator,1165924,2023-01-21,2023-01-26
Pharmacy,4607693,2023-01-21,2023-01-26
Public Health,1029734,2023-01-21,2023-01-26
Other,352118,2023-01-21,2023-01-26
Tribal Health Sites,114718,2023-01-21,2023-01-26
Hospital,555481,2023-01-21,2023-01-26
Specialty,294583,2023-01-21,2023-01-26
Other,351637,2023-01-14,2023-01-19
Tribal Health Sites,114646,2023-01-14,2023-01-19
Community Vaccinator,1165507,2023-01-14,2023-01-19
Pharmacy,4603860,2023-01-14,2023-01-19
Hospital,555212,2023-01-14,2023-01-19
Specialty,294346,2023-01-14,2023-01-19
Public Health,1029399,2023-01-14,2023-01-19
Primary Care,3805603,2023-01-14,2023-01-19
Tribal Health Sites,114476,2023-01-07,2023-01-12
Specialty,302356,2023-01-07,2023-01-12
Public Health,1028678,2023-01-07,2023-01-12
Community Vaccinator,1165010,2023-01-07,2023-01-12
Other,351202,2023-01-07,2023-01-12
Pharmacy,4596087,2023-01-07,2023-01-12
Hospital,554852,2023-01-07,2023-01-12
Primary Care,3781944,2023-01-07,2023-01-12
Specialty,301997,2022-12-31,2023-01-05
Other,350447,2022-12-31,2023-01-05
Tribal Health Sites,114370,2022-12-31,2023-01-05
Hospital,554695,2022-12-31,2023-01-05
Primary Care,3770217,2022-12-31,2023-01-05
Community Vaccinator,1164968,2022-12-31,2023-01-05
Pharmacy,4589524,2022-12-31,2023-01-05
Public Health,1028216,2022-12-31,2023-01-05
Hospital,554465,2022-12-24,2022-12-29
Tribal Health Sites,114220,2022-12-24,2022-12-29
Pharmacy,4579260,2022-12-24,2022-12-29
Public Health,1027496,2022-12-24,2022-12-29
Community Vaccinator,1164547,2022-12-24,2022-12-29
Other,349810,2022-12-24,2022-12-29
Specialty,301682,2022-12-24,2022-12-29
Primary Care,3756111,2022-12-24,2022-12-29
Tribal Health Sites,114045,2022-12-17,2022-12-22
Public Health,1026752,2022-12-17,2022-12-22
Hospital,554113,2022-12-17,2022-12-22
Specialty,301221,2022-12-17,2022-12-22
Pharmacy,4565841,2022-12-17,2022-12-22
Community Vaccinator,1164076,2022-12-17,2022-12-22
Primary Care,3739089,2022-12-17,2022-12-22
Other,348994,2022-12-17,2022-12-22
Tribal Health Sites,113859,2022-12-10,2022-12-15
Community Vaccinator,1162795,2022-12-10,2022-12-15
Primary Care,3717008,2022-12-10,2022-12-15
Hospital,552810,2022-12-10,2022-12-15
Other,347868,2022-12-10,2022-12-15
Specialty,300524,2022-12-10,2022-12-15
Pharmacy,4547255,2022-12-10,2022-12-15
Public Health,1025464,2022-12-10,2022-12-15
Hospital,552002,2022-12-03,2022-12-08
Pharmacy,4522142,2022-12-03,2022-12-08
Primary Care,3689863,2022-12-03,2022-12-08
Specialty,299783,2022-12-03,2022-12-08
Community Vaccinator,1161198,2022-12-03,2022-12-08
Other,335151,2022-12-03,2022-12-08
Tribal Health Sites,113568,2022-12-03,2022-12-08
Public Health,1035452,2022-12-03,2022-12-08
Primary Care,3661560,2022-11-26,2022-12-01
Hospital,551332,2022-11-26,2022-12-01
Other,333435,2022-11-26,2022-12-01
Community Vaccinator,1160384,2022-11-26,2022-12-01
Specialty,298965,2022-11-26,2022-12-01
