year,week,variant_cat,new_cases,mmwr_startdate,mmwr_enddate,report_date
2020,2,Alpha,0,2020-01-05,2020-01-11,2022-10-13
2020,2,Beta,0,2020-01-05,2020-01-11,2022-10-13
2020,2,Delta,0,2020-01-05,2020-01-11,2022-10-13
2020,2,Gamma,0,2020-01-05,2020-01-11,2022-10-13
2020,2,Omicron,0,2020-01-05,2020-01-11,2022-10-13
2020,2,Other,0,2020-01-05,2020-01-11,2022-10-13
2020,2,VOI,0,2020-01-05,2020-01-11,2022-10-13
2020,3,Alpha,0,2020-01-12,2020-01-18,2022-10-13
2020,3,Beta,0,2020-01-12,2020-01-18,2022-10-13
2020,3,Delta,0,2020-01-12,2020-01-18,2022-10-13
2020,3,Gamma,0,2020-01-12,2020-01-18,2022-10-13
2020,3,Omicron,0,2020-01-12,2020-01-18,2022-10-13
2020,3,Other,0,2020-01-12,2020-01-18,2022-10-13
2020,3,VOI,0,2020-01-12,2020-01-18,2022-10-13
2020,4,Alpha,0,2020-01-19,2020-01-25,2022-10-13
2020,4,Beta,0,2020-01-19,2020-01-25,2022-10-13
2020,4,Delta,0,2020-01-19,2020-01-25,2022-10-13
2020,4,Gamma,0,2020-01-19,2020-01-25,2022-10-13
2020,4,Omicron,0,2020-01-19,2020-01-25,2022-10-13
2020,4,Other,0,2020-01-19,2020-01-25,2022-10-13
2020,4,VOI,0,2020-01-19,2020-01-25,2022-10-13
2020,5,Alpha,0,2020-01-26,2020-02-01,2022-10-13
2020,5,Beta,0,2020-01-26,2020-02-01,2022-10-13
2020,5,Delta,0,2020-01-26,2020-02-01,2022-10-13
2020,5,Gamma,0,2020-01-26,2020-02-01,2022-10-13
2020,5,Omicron,0,2020-01-26,2020-02-01,2022-10-13
2020,5,Other,0,2020-01-26,2020-02-01,2022-10-13
2020,5,VOI,0,2020-01-26,2020-02-01,2022-10-13
2020,6,Alpha,0,2020-02-02,2020-02-08,2022-10-13
2020,6,Beta,0,2020-02-02,2020-02-08,2022-10-13
2020,6,Delta,0,2020-02-02,2020-02-08,2022-10-13
2020,6,Gamma,0,2020-02-02,2020-02-08,2022-10-13
2020,6,Omicron,0,2020-02-02,2020-02-08,2022-10-13
2020,6,Other,0,2020-02-02,2020-02-08,2022-10-13
2020,6,VOI,0,2020-02-02,2020-02-08,2022-10-13
2020,7,Alpha,0,2020-02-09,2020-02-15,2022-10-13
2020,7,Beta,0,2020-02-09,2020-02-15,2022-10-13
2020,7,Delta,0,2020-02-09,2020-02-15,2022-10-13
2020,7,Gamma,0,2020-02-09,2020-02-15,2022-10-13
2020,7,Omicron,0,2020-02-09,2020-02-15,2022-10-13
2020,7,Other,0,2020-02-09,2020-02-15,2022-10-13
2020,7,VOI,0,2020-02-09,2020-02-15,2022-10-13
2020,8,Alpha,0,2020-02-16,2020-02-22,2022-10-13
2020,8,Beta,0,2020-02-16,2020-02-22,2022-10-13
2020,8,Delta,0,2020-02-16,2020-02-22,2022-10-13
2020,8,Gamma,0,2020-02-16,2020-02-22,2022-10-13
2020,8,Omicron,0,2020-02-16,2020-02-22,2022-10-13
2020,8,Other,0,2020-02-16,2020-02-22,2022-10-13
2020,8,VOI,0,2020-02-16,2020-02-22,2022-10-13
2020,9,Alpha,0,2020-02-23,2020-02-29,2022-10-13
2020,9,Beta,0,2020-02-23,2020-02-29,2022-10-13
2020,9,Delta,0,2020-02-23,2020-02-29,2022-10-13
2020,9,Gamma,0,2020-02-23,2020-02-29,2022-10-13
2020,9,Omicron,0,2020-02-23,2020-02-29,2022-10-13
2020,9,Other,0,2020-02-23,2020-02-29,2022-10-13
2020,9,VOI,0,2020-02-23,2020-02-29,2022-10-13
2020,10,Alpha,0,2020-03-01,2020-03-07,2022-10-13
2020,10,Beta,0,2020-03-01,2020-03-07,2022-10-13
2020,10,Delta,0,2020-03-01,2020-03-07,2022-10-13
2020,10,Gamma,0,2020-03-01,2020-03-07,2022-10-13
2020,10,Omicron,0,2020-03-01,2020-03-07,2022-10-13
2020,10,Other,0,2020-03-01,2020-03-07,2022-10-13
2020,10,VOI,0,2020-03-01,2020-03-07,2022-10-13
2020,11,Alpha,0,2020-03-08,2020-03-14,2022-10-13
2020,11,Beta,0,2020-03-08,2020-03-14,2022-10-13
2020,11,Delta,0,2020-03-08,2020-03-14,2022-10-13
2020,11,Gamma,0,2020-03-08,2020-03-14,2022-10-13
2020,11,Omicron,0,2020-03-08,2020-03-14,2022-10-13
2020,11,Other,0,2020-03-08,2020-03-14,2022-10-13
2020,11,VOI,0,2020-03-08,2020-03-14,2022-10-13
2020,12,Alpha,0,2020-03-15,2020-03-21,2022-10-13
2020,12,Beta,0,2020-03-15,2020-03-21,2022-10-13
2020,12,Delta,0,2020-03-15,2020-03-21,2022-10-13
2020,12,Gamma,0,2020-03-15,2020-03-21,2022-10-13
2020,12,Omicron,0,2020-03-15,2020-03-21,2022-10-13
2020,12,Other,0,2020-03-15,2020-03-21,2022-10-13
2020,12,VOI,0,2020-03-15,2020-03-21,2022-10-13
2020,13,Alpha,0,2020-03-22,2020-03-28,2022-10-13
2020,13,Beta,0,2020-03-22,2020-03-28,2022-10-13
2020,13,Delta,0,2020-03-22,2020-03-28,2022-10-13
2020,13,Gamma,0,2020-03-22,2020-03-28,2022-10-13
2020,13,Omicron,0,2020-03-22,2020-03-28,2022-10-13
2020,13,Other,0,2020-03-22,2020-03-28,2022-10-13
2020,13,VOI,0,2020-03-22,2020-03-28,2022-10-13
2020,14,Alpha,0,2020-03-29,2020-04-04,2022-10-13
2020,14,Beta,0,2020-03-29,2020-04-04,2022-10-13
2020,14,Delta,0,2020-03-29,2020-04-04,2022-10-13
2020,14,Gamma,0,2020-03-29,2020-04-04,2022-10-13
2020,14,Omicron,0,2020-03-29,2020-04-04,2022-10-13
2020,14,Other,0,2020-03-29,2020-04-04,2022-10-13
2020,14,VOI,0,2020-03-29,2020-04-04,2022-10-13
2020,15,Alpha,0,2020-04-05,2020-04-11,2022-10-13
2020,15,Beta,0,2020-04-05,2020-04-11,2022-10-13
2020,15,Delta,0,2020-04-05,2020-04-11,2022-10-13
2020,15,Gamma,0,2020-04-05,2020-04-11,2022-10-13
2020,15,Omicron,0,2020-04-05,2020-04-11,2022-10-13
2020,15,Other,0,2020-04-05,2020-04-11,2022-10-13
2020,15,VOI,0,2020-04-05,2020-04-11,2022-10-13
2020,16,Alpha,0,2020-04-12,2020-04-18,2022-10-13
2020,16,Beta,0,2020-04-12,2020-04-18,2022-10-13
2020,16,Delta,0,2020-04-12,2020-04-18,2022-10-13
2020,16,Gamma,0,2020-04-12,2020-04-18,2022-10-13
2020,16,Omicron,0,2020-04-12,2020-04-18,2022-10-13
2020,16,Other,0,2020-04-12,2020-04-18,2022-10-13
2020,16,VOI,0,2020-04-12,2020-04-18,2022-10-13
2020,17,Alpha,0,2020-04-19,2020-04-25,2022-10-13
2020,17,Beta,0,2020-04-19,2020-04-25,2022-10-13
2020,17,Delta,0,2020-04-19,2020-04-25,2022-10-13
2020,17,Gamma,0,2020-04-19,2020-04-25,2022-10-13
2020,17,Omicron,0,2020-04-19,2020-04-25,2022-10-13
2020,17,Other,0,2020-04-19,2020-04-25,2022-10-13
2020,17,VOI,1,2020-04-19,2020-04-25,2022-10-13
2020,18,Alpha,0,2020-04-26,2020-05-02,2022-10-13
2020,18,Beta,0,2020-04-26,2020-05-02,2022-10-13
2020,18,Delta,0,2020-04-26,2020-05-02,2022-10-13
2020,18,Gamma,0,2020-04-26,2020-05-02,2022-10-13
2020,18,Omicron,0,2020-04-26,2020-05-02,2022-10-13
2020,18,Other,0,2020-04-26,2020-05-02,2022-10-13
